step,iter,train/loss,val/loss,lr,mfu
0,0,4.314064025878906,4.310573101043701,0.01,-100.0
1,1,3.7887864112854004,3.8593521118164062,0.01,-100.0
2,2,5.112404823303223,5.151362419128418,0.01,-100.0
3,3,5.723995208740234,5.361060619354248,0.01,-100.0
4,4,4.798732280731201,4.987553596496582,0.01,-100.0
5,5,4.6600422859191895,4.427176475524902,0.01,-100.0
6,6,4.421113967895508,4.575295448303223,0.01,0.31517000712696175
7,7,4.2400803565979,4.5111236572265625,0.01,0.3208249053110919
8,8,4.311758041381836,4.179047584533691,0.01,0.33264398034105275
9,9,3.9651694297790527,4.074769973754883,0.01,0.34270201977160336
10,10,3.926297903060913,4.133073806762695,0.01,0.35077902023046714
