step,iter,train/loss,val/loss,lr,mfu,token_embedding_act_abs_mean,attn_act_abs_mean,mlp_act_abs_mean,lm_head_act_abs_mean
0,0,4.196464538574219,4.208746910095215,0.01,-100.0
1,1,3.499302864074707,3.5718441009521484,0.01,-100.0,0.01578338071703911,0.012491040048189461,0.04407314723357558,0.27519647032022476
2,2,3.594939947128296,3.6067185401916504,0.01,-100.0,0.01764904335141182,0.1384688662365079,0.49085966497659683,0.6171456873416901
3,3,4.394556045532227,4.292476654052734,0.01,-100.0,0.019687276799231768,1.1041057035326958,2.004531130194664,0.8218372613191605
4,4,4.089117050170898,3.885603427886963,0.01,-100.0,0.022222805302590132,2.8106932938098907,7.476823449134827,3.4915786385536194
5,5,4.55997371673584,4.327736854553223,0.01,-100.0,0.02368529699742794,4.876059383153915,5.588948488235474,2.3879923820495605
6,6,4.029934406280518,3.944255828857422,0.01,0.23236778675496558,0.024597727693617344,9.909549593925476,21.264370441436768,3.9630693197250366
7,7,3.9823999404907227,3.743852138519287,0.01,0.23252802062169886,0.025359905790537596,13.864720821380615,30.52147388458252,3.69703471660614
8,8,3.5197155475616455,3.6308417320251465,0.01,0.2326142429918132,0.02580398926511407,17.928828716278076,38.98841619491577,3.459489941596985
9,9,3.550680160522461,3.923017978668213,0.01,0.23214128640239398,0.026159506756812334,21.90283727645874,47.7378134727478,3.398557424545288
10,10,3.7130837440490723,3.609675884246826,0.01,0.2318477646513399,0.02655316237360239,26.69036555290222,56.07232618331909,3.3597787618637085
