step,iter,train/loss,val/loss,lr,mfu,token_embedding_act_abs_mean,attn_act_abs_mean,mlp_act_abs_mean,lm_head_act_abs_mean
0,0,5.340865135192871,5.246262550354004,0.01,-100.0
1,1,4.940042495727539,5.790775775909424,0.01,-100.0,0.015937999822199345,0.011662105156574398,0.04375956067815423,0.5857667475938797
2,2,7.187699317932129,7.200403213500977,0.01,-100.0,0.015435598324984312,0.3652917370200157,0.4462444819509983,3.7364569306373596
3,3,7.984463214874268,8.024535179138184,0.01,-100.0,0.017204919829964638,1.8673289567232132,2.6182126104831696,3.4783689975738525
4,4,9.734222412109375,9.66956901550293,0.01,-100.0,0.019347401335835457,4.746335327625275,5.0807077288627625,6.398043513298035
5,5,11.519096374511719,11.837182998657227,0.01,-100.0,0.020642876625061035,8.233882904052734,8.070479094982147,9.069544553756714
6,6,10.115139961242676,10.181753158569336,0.01,0.5815845923121535,0.02159628877416253,12.647424578666687,10.274082779884338,9.785046339035034
7,7,8.605610847473145,8.52358341217041,0.01,0.582490801462256,0.02258046017959714,17.920825481414795,12.170450627803802,9.278510332107544
8,8,6.853402137756348,6.879830837249756,0.01,0.5832202301937068,0.023172747809439898,23.596400499343872,13.610260486602783,7.472005605697632
9,9,9.065327644348145,8.681201934814453,0.01,0.5841328666103788,0.024009527172893286,28.27362334728241,14.119421660900116,5.153103590011597
10,10,9.034429550170898,9.027076721191406,0.01,0.5837542944176153,0.025083383079618216,32.216145038604736,14.56471997499466,3.476244270801544
