step,iter,train/loss,val/loss,lr,mfu,token_embedding_act_abs_mean,attn_act_abs_mean,mlp_act_abs_mean,lm_head_act_abs_mean
0,0,9.310813903808594,9.350354194641113,0.01,-100.0
1,1,3.8757166862487793,3.886539936065674,0.01,-100.0,0.015982952900230885,0.011862024199217558,0.043984885327517986,0.8385374695062637
2,2,22.823787689208984,22.794498443603516,0.01,-100.0,0.015046461950987577,0.6188140995800495,0.5030783452093601,2.1888808608055115
3,3,10.692571640014648,10.488182067871094,0.01,-100.0,0.016302733682096004,1.516584187746048,2.8469299376010895,5.834995269775391
4,4,19.48642349243164,19.415679931640625,0.01,-100.0,0.01796241430565715,4.520950824022293,4.175005212426186,4.928101301193237
5,5,16.184856414794922,16.43470001220703,0.01,-100.0,0.02001268696039915,9.371325492858887,7.125050604343414,12.338464498519897
6,6,22.318466186523438,22.66513442993164,0.01,0.681066564007028,0.021961667109280825,12.671996831893921,10.885424613952637,12.64596676826477
7,7,28.579273223876953,27.33321762084961,0.01,0.681461472167378,0.023456773720681667,17.684685349464417,14.864354461431503,19.122504711151123
8,8,33.06806564331055,31.47944450378418,0.01,0.6814980480078039,0.02486493159085512,23.20852494239807,18.751933455467224,22.980164527893066
9,9,31.389095306396484,31.681495666503906,0.01,0.6814435739745731,0.0259114564396441,27.882697463035583,22.52416816353798,25.7578706741333
10,10,34.108489990234375,33.58928298950195,0.01,0.6778523205497656,0.027274155523627996,32.66418707370758,26.00427120923996,28.161667346954346
