step,iter,train/loss,val/loss,lr,mfu
0,0,4.244466781616211,4.227189064025879,0.01,-100.0
1,1,3.5517497062683105,3.5458016395568848,0.01,-100.0
2,2,3.810349464416504,3.6638951301574707,0.01,-100.0
3,3,3.3652827739715576,3.9573771953582764,0.01,-100.0
4,4,7.021770000457764,6.404176235198975,0.01,-100.0
5,5,3.9909605979919434,3.98777174949646,0.01,-100.0
6,6,3.8091373443603516,3.8990259170532227,0.01,0.21121637480459138
7,7,3.5106918811798096,3.612912893295288,0.01,0.2126552115779174
8,8,3.544656753540039,3.5229053497314453,0.01,0.21405813604477428
9,9,3.5185203552246094,3.7060132026672363,0.01,0.21756681571004532
10,10,3.5585412979125977,3.6293857097625732,0.01,0.22032758034230818
