step,iter,train/loss,val/loss,lr,mfu,token_embedding_act_abs_mean,attn_act_abs_mean,mlp_act_abs_mean,lm_head_act_abs_mean
0,0,4.27651309967041,4.265756607055664,0.01,-100.0
1,1,4.109196662902832,4.075467109680176,0.01,-100.0,0.0160339935682714,0.011839439393952489,0.04434631206095219,0.5823493748903275
2,2,5.428066730499268,5.271224021911621,0.01,-100.0,0.017263351008296013,0.20538572035729885,0.5393407046794891,2.9255813360214233
3,3,5.709733963012695,6.010055065155029,0.01,-100.0,0.01930544711649418,1.7222816497087479,3.373304098844528,3.9746264219284058
4,4,5.951642036437988,6.0261383056640625,0.01,-100.0,0.020922699011862278,4.49766132235527,10.238117218017578,8.010185718536377
5,5,5.8001933097839355,5.759953022003174,0.01,-100.0,0.021774668246507645,9.245556473731995,18.138212084770203,10.455203294754028
6,6,4.965987205505371,5.179304122924805,0.01,0.5993318373132692,0.02217814652249217,14.292949199676514,26.51145851612091,11.496302843093872
7,7,4.218130588531494,4.127738952636719,0.01,0.600655919332566,0.022837945725768805,19.689321875572205,35.026790142059326,11.988413572311401
8,8,4.537234306335449,4.084928035736084,0.01,0.601489875399093,0.023533238098025322,25.21144461631775,43.139076471328735,12.04510235786438
9,9,4.369227409362793,4.490303993225098,0.01,0.5946414995650231,0.02437422564253211,30.100356340408325,50.65611696243286,11.719586610794067
10,10,4.479490756988525,4.430131912231445,0.01,0.5914897755880978,0.025054998695850372,34.80826687812805,58.34101176261902,11.89182448387146
