step,iter,train/loss,val/loss,lr,mfu
0,0,4.677145957946777,4.632857799530029,0.01,-100.0
1,1,13.35915470123291,13.434115409851074,0.01,-100.0
2,2,12.01630973815918,12.200861930847168,0.01,-100.0
3,3,12.857586860656738,13.044166564941406,0.01,-100.0
4,4,15.98134708404541,17.94737434387207,0.01,-100.0
5,5,18.728200912475586,18.20207405090332,0.01,-100.0
6,6,15.920265197753906,17.01315689086914,0.01,0.6061757296352656
7,7,20.043209075927734,21.350830078125,0.01,0.606163295850388
8,8,22.121328353881836,22.973514556884766,0.01,0.605554036470574
9,9,19.339160919189453,19.819271087646484,0.01,0.6063354408002175
10,10,18.85538101196289,19.836021423339844,0.01,0.6068191288394925
