step,iter,train/loss,val/loss,lr,mfu
0,0,4.6772780418396,4.663273334503174,0.01,-100.0
1,1,10.883703231811523,11.964042663574219,0.01,-100.0
2,2,12.03553295135498,11.343658447265625,0.01,-100.0
3,3,13.305299758911133,13.9133882522583,0.01,-100.0
4,4,18.66069793701172,20.864065170288086,0.01,-100.0
5,5,22.662185668945312,22.192283630371094,0.01,-100.0
6,6,24.851530075073242,26.08358383178711,0.01,0.6093758190186849
7,7,26.125282287597656,26.769771575927734,0.01,0.6100976124531348
8,8,25.264619827270508,25.86006736755371,0.01,0.6108375522415215
9,9,29.830585479736328,29.912918090820312,0.01,0.6111645434701738
10,10,29.937137603759766,30.33888816833496,0.01,0.6116730070925255
