step,iter,train/loss,val/loss,lr,mfu
0,0,4.43706750869751,4.474224090576172,0.01,-100.0
1,1,7.786412239074707,8.344468116760254,0.01,-100.0
2,2,5.994791030883789,6.030413627624512,0.01,-100.0
3,3,8.574970245361328,8.482135772705078,0.01,-100.0
4,4,9.221213340759277,9.725896835327148,0.01,-100.0
5,5,9.245513916015625,9.417426109313965,0.01,-100.0
6,6,7.590489387512207,7.4678521156311035,0.01,0.5023442763721383
7,7,8.170742988586426,8.047382354736328,0.01,0.5012439411375631
8,8,8.820772171020508,9.461074829101562,0.01,0.5037329450458871
9,9,8.394636154174805,8.366174697875977,0.01,0.5005986306535734
10,10,7.560057640075684,8.008232116699219,0.01,0.5000210197354681
