step,iter,train/loss,val/loss,lr,mfu,token_embedding_act_abs_mean,attn_act_abs_mean,mlp_act_abs_mean,lm_head_act_abs_mean
0,0,5.489426612854004,5.398308277130127,0.01,-100.0
1,1,3.884342670440674,4.023088455200195,0.01,-100.0,0.015962057281285524,0.010848746460396796,0.043743896298110485,0.5898681282997131
2,2,9.311222076416016,9.280060768127441,0.01,-100.0,0.015314842341467738,2.8471232801675797,3.972003757953644,3.5915247797966003
3,3,10.119684219360352,10.025238037109375,0.01,-100.0,0.016138770151883364,38.02513766288757,40.20441007614136,3.883414089679718
4,4,10.190431594848633,9.988683700561523,0.01,-100.0,0.01754420343786478,85.49907493591309,78.32118892669678,6.950412750244141
5,5,8.075758934020996,8.230727195739746,0.01,-100.0,0.01858194125816226,145.1292839050293,104.19602108001709,6.690446138381958
6,6,7.676230430603027,7.935360908508301,0.01,0.6007093626888609,0.019332341849803925,222.04840278625488,117.5504207611084,4.900996565818787
7,7,8.939360618591309,8.90926742553711,0.01,0.6011357603031794,0.02014792338013649,310.75174140930176,135.99222373962402,3.8162580132484436
8,8,8.616683959960938,8.438840866088867,0.01,0.6004859779100601,0.020925051998347044,404.03173065185547,177.5606632232666,4.546859264373779
9,9,8.178468704223633,8.119577407836914,0.01,0.6008696308435946,0.02150579448789358,502.03227615356445,227.02931022644043,5.9950631856918335
10,10,7.9382829666137695,7.96879768371582,0.01,0.6003281196729326,0.022067751735448837,589.9342460632324,265.2912788391113,7.076765656471252
