step,iter,train/loss,val/loss,lr,mfu,token_embedding_act_abs_mean,attn_act_abs_mean,mlp_act_abs_mean,lm_head_act_abs_mean
0,0,4.197175979614258,4.183584213256836,0.01,-100.0
1,1,3.3441131114959717,3.4762210845947266,0.01,-100.0,0.015975482296198606,0.011317201424390078,0.04396145651116967,0.5807930678129196
2,2,3.7388803958892822,3.8033759593963623,0.01,-100.0,0.017796874046325684,0.14203094597905874,0.3366254884749651,2.4031407833099365
3,3,4.545982360839844,4.496007442474365,0.01,-100.0,0.02078904490917921,1.6932186484336853,4.736355751752853,8.159244298934937
4,4,4.1049275398254395,4.338929176330566,0.01,-100.0,0.022110634483397007,4.427226543426514,9.304078042507172,2.1861579418182373
5,5,3.814265012741089,4.360226631164551,0.01,-100.0,0.023128203582018614,7.460089147090912,24.2133309841156,10.341434001922607
6,6,3.9007253646850586,3.92777419090271,0.01,0.585994783205469,0.02382650040090084,10.400791585445404,38.6843843460083,12.979275703430176
7,7,3.765805721282959,3.700045585632324,0.01,0.5863964667045098,0.024168820586055517,13.280208110809326,52.71339464187622,13.843624830245972
8,8,3.476534843444824,3.653506278991699,0.01,0.5854716323700712,0.02423227159306407,16.298379600048065,62.94477987289429,13.770545721054077
9,9,3.808913230895996,3.8288211822509766,0.01,0.5855655245358603,0.024444418027997017,19.078803062438965,76.60915184020996,13.007585763931274
10,10,3.702820301055908,3.7278590202331543,0.01,0.5860635606085388,0.024738068226724863,21.86652237176895,91.09527206420898,12.635343074798584
