step,iter,train/loss,val/loss,lr,mfu,token_embedding_act_abs_mean,attn_act_abs_mean,mlp_act_abs_mean,lm_head_act_abs_mean
0,0,4.457961559295654,4.499349594116211,0.01,-100.0
1,1,3.815402030944824,3.904977560043335,0.01,-100.0,0.015975994523614645,0.011393777444027364,0.04397530294954777,0.8486094176769257
2,2,5.823227882385254,6.063712120056152,0.01,-100.0,0.016292336862534285,0.35662249103188515,0.5219563841819763,7.5453726053237915
3,3,5.697162628173828,5.701676368713379,0.01,-100.0,0.01742574293166399,1.6811500191688538,2.8727656602859497,8.31056523323059
4,4,6.419618129730225,6.572131156921387,0.01,-100.0,0.018474613316357136,2.4751122146844864,7.21219676733017,5.912053465843201
5,5,6.406329154968262,6.489046096801758,0.01,-100.0,0.019121242687106133,4.770971119403839,10.204450249671936,6.445287585258484
6,6,6.810433387756348,6.947172164916992,0.01,0.6957344911263845,0.019572819583117962,7.812995195388794,15.296945452690125,8.813575506210327
7,7,5.912529945373535,5.988768577575684,0.01,0.6959474234326067,0.019953887443989515,10.19764643907547,22.754262685775757,11.141158819198608
8,8,5.468574047088623,5.33615779876709,0.01,0.6961723076147946,0.020445676054805517,13.760978102684021,27.591687440872192,10.874379634857178
9,9,4.819773197174072,4.788565158843994,0.01,0.6968566117193691,0.021000074222683907,17.875376164913177,31.72054409980774,10.247889757156372
10,10,4.513736248016357,4.610788345336914,0.01,0.6971027754569107,0.02161668986082077,22.747151732444763,36.076141119003296,10.014122247695923
