step,iter,train/loss,val/loss,lr,mfu,token_embedding_act_abs_mean,attn_act_abs_mean,mlp_act_abs_mean,lm_head_act_abs_mean
0,0,4.165555953979492,4.180296897888184,0.01,-100.0
1,1,3.4072561264038086,3.4328134059906006,0.01,-100.0,0.015975994523614645,0.011384662764612585,0.04397512087598443,0.8489632606506348
2,2,3.9310567378997803,3.684730291366577,0.01,-100.0,0.017792638391256332,0.20254838280379772,0.4782317318022251,5.481797695159912
3,3,7.0761613845825195,6.972844123840332,0.01,-100.0,0.020551685709506273,0.7909236811101437,3.643020510673523,15.474714279174805
4,4,4.183150291442871,4.171731948852539,0.01,-100.0,0.02164645865559578,5.087522059679031,7.4311522245407104,14.04355525970459
5,5,3.5589420795440674,3.7096729278564453,0.01,-100.0,0.02192971669137478,6.021458059549332,19.986011266708374,12.726991176605225
6,6,3.4118566513061523,3.5819640159606934,0.01,0.611674124020562,0.02228987868875265,8.220841407775879,28.58685874938965,17.993756771087646
7,7,3.5924105644226074,3.7141923904418945,0.01,0.6118712197784912,0.02283831685781479,10.98708713054657,37.460901498794556,19.939769744873047
8,8,3.6508336067199707,3.6698496341705322,0.01,0.6117697562668137,0.02347977738827467,13.638184487819672,46.211100578308105,20.890539169311523
9,9,3.6240313053131104,3.6526970863342285,0.01,0.6117143772708624,0.023799468763172626,15.492902755737305,52.922794342041016,21.86505889892578
10,10,3.4234118461608887,3.5608420372009277,0.01,0.6114161952044497,0.02398641873151064,10.043428778648376,45.36859893798828,21.737510204315186
