step,iter,train/loss,val/loss,lr,mfu,token_embedding_act_abs_mean,attn_act_abs_mean,mlp_act_abs_mean,lm_head_act_abs_mean
0,0,9.345550537109375,9.517135620117188,0.01,-100.0
1,1,3.889157772064209,3.816455364227295,0.01,-100.0,0.015946989879012108,0.011891043628565967,0.04390480928122997,0.8457475900650024
2,2,8.596752166748047,8.894000053405762,0.01,-100.0,0.014981456333771348,18.31625497341156,13.629852175712585,2.621668756008148
3,3,14.756549835205078,14.557462692260742,0.01,-100.0,0.0161889661103487,82.70959758758545,28.809555530548096,3.525113046169281
4,4,14.698064804077148,15.907437324523926,0.01,-100.0,0.018071185797452927,369.5078468322754,284.0119438171387,15.320692539215088
5,5,20.58325958251953,19.705669403076172,0.01,-100.0,0.019927844870835543,694.247917175293,491.9975242614746,20.880876541137695
6,6,20.51076316833496,20.017230987548828,0.01,0.6933527074437039,0.02149593038484454,942.0438919067383,722.8882522583008,23.780937671661377
7,7,26.44715118408203,26.0341739654541,0.01,0.6929198251560688,0.0230047469958663,1219.8247528076172,957.3814163208008,25.401121616363525
8,8,22.078399658203125,22.124591827392578,0.01,0.6913468699895764,0.02471507154405117,1383.7847442626953,1205.847915649414,26.3067364692688
9,9,25.88015365600586,26.78182601928711,0.01,0.6913343474741891,0.0261490847915411,1490.0309295654297,1459.5364074707031,27.19558095932007
10,10,25.44455337524414,26.090829849243164,0.01,0.6913076383270638,0.02743222564458847,1269.425449371338,1684.9173431396484,26.585150718688965
