step,iter,train/loss,val/loss,lr,mfu
0,0,4.267453670501709,4.2701287269592285,0.01,-100.0
1,1,3.811452865600586,3.907142162322998,0.01,-100.0
2,2,5.555484294891357,5.631100177764893,0.01,-100.0
3,3,5.586814880371094,5.805365085601807,0.01,-100.0
4,4,6.076892852783203,6.169836521148682,0.01,-100.0
5,5,5.124750137329102,5.568637847900391,0.01,-100.0
6,6,4.633674144744873,4.615652084350586,0.01,0.4397908592006305
7,7,4.531048774719238,4.358613014221191,0.01,0.43753501939819694
8,8,4.842341423034668,4.788848876953125,0.01,0.43550760960445095
9,9,4.216355323791504,4.412985801696777,0.01,0.43054704193542065
10,10,4.108768939971924,4.45242977142334,0.01,0.4268682008161143
