step,iter,train/loss,val/loss,lr,mfu
0,0,4.540627479553223,4.487105369567871,0.01,-100.0
1,1,13.211650848388672,13.51506233215332,0.01,-100.0
2,2,13.795049667358398,13.890684127807617,0.01,-100.0
3,3,10.628618240356445,10.261816024780273,0.01,-100.0
4,4,14.10139274597168,14.656525611877441,0.01,-100.0
5,5,13.512162208557129,14.859443664550781,0.01,-100.0
6,6,16.444507598876953,15.277030944824219,0.01,0.557141206185819
7,7,16.28007698059082,16.215065002441406,0.01,0.5597442252221916
8,8,14.544902801513672,15.042150497436523,0.01,0.5625864971316427
9,9,15.221075057983398,15.442436218261719,0.01,0.5652894932588715
10,10,18.39813232421875,17.972074508666992,0.01,0.5678292621736624
