step,iter,train/loss,val/loss,lr,mfu
0,0,4.405109882354736,4.392048358917236,0.01,-100.0
1,1,3.769131660461426,3.633140802383423,0.01,-100.0
2,2,5.107328414916992,5.127089977264404,0.01,-100.0
3,3,3.834235429763794,3.582050323486328,0.01,-100.0
4,4,4.5270676612854,4.50248908996582,0.01,-100.0
5,5,4.127388000488281,4.269301414489746,0.01,-100.0
6,6,4.401700496673584,4.3335161209106445,0.01,0.4249756758163162
7,7,6.510187149047852,6.507196426391602,0.01,0.4215834128851604
8,8,5.97471809387207,6.090500831604004,0.01,0.41612464957506157
9,9,4.683867454528809,4.936273097991943,0.01,0.3927016995636307
10,10,4.534701347351074,4.58860445022583,0.01,0.39146600470891924
