step,iter,train/loss,val/loss,lr,mfu
0,0,4.465823173522949,4.436186790466309,0.01,-100.0
1,1,6.746006011962891,6.579761981964111,0.01,-100.0
2,2,8.67235279083252,8.759040832519531,0.01,-100.0
3,3,6.199856758117676,6.999865531921387,0.01,-100.0
4,4,5.014555931091309,5.251446723937988,0.01,-100.0
5,5,7.06901741027832,6.8821563720703125,0.01,-100.0
6,6,8.045547485351562,7.873022079467773,0.01,0.554879233236392
7,7,7.546205997467041,7.381374359130859,0.01,0.5549724654631181
8,8,6.559720516204834,6.705723285675049,0.01,0.5549562245553803
9,9,7.110896587371826,7.485415458679199,0.01,0.5549883871414399
10,10,7.163854598999023,6.8635663986206055,0.01,0.5552141828452226
