step,iter,train/loss,val/loss,lr,mfu
0,0,4.2201151847839355,4.211944580078125,0.01,-100.0
1,1,3.5213985443115234,3.6200788021087646,0.01,-100.0
2,2,3.819370746612549,3.8184828758239746,0.01,-100.0
3,3,3.6286892890930176,3.6083428859710693,0.01,-100.0
4,4,8.72815227508545,8.408097267150879,0.01,-100.0
5,5,3.7759366035461426,3.8276309967041016,0.01,-100.0
6,6,3.5651142597198486,3.7025742530822754,0.01,0.24127880894336137
7,7,3.338742971420288,3.5820813179016113,0.01,0.24205033921735633
8,8,3.6602158546447754,3.54581618309021,0.01,0.2424412077140059
9,9,3.629396438598633,3.5879087448120117,0.01,0.2412599413140848
10,10,3.438983917236328,3.5425989627838135,0.01,0.24195225069962553
