Overriding config with config/train_gpt2.py:
# config for training GPT-2 (124M) down to very nice loss of ~2.85 on 1 node of 8X A100 40GB
# launch as the following (e.g. in a screen session) and wait ~5 days:
# $ torchrun --standalone --nproc_per_node=8 train.py config/train_gpt2.py

wandb_log = True
wandb_project = 'owt'
wandb_run_name='gpt2-124M'

# these make the total batch size be ~0.5M
# 12 batch size * 1024 block size * 5 gradaccum * 8 GPUs = 491,520
batch_size = 12
block_size = 1024
gradient_accumulation_steps = 5 * 8

# this makes total number of tokens be 300B
max_iters = 6000
lr_decay_iters = 6000

# eval stuff
eval_interval = 1000
eval_iters = 200
log_interval = 10

# weight decay
weight_decay = 1e-1

[W Utils.hpp:135] Warning: Environment variable NCCL_ASYNC_ERROR_HANDLING is deprecated; use TORCH_NCCL_ASYNC_ERROR_HANDLING instead (function getCvarInt)
tokens per iteration will be: 491,520
Resuming training from out
number of parameters: 123.59M
num decayed parameter tensors: 50, with 124,354,560 parameters
num non-decayed parameter tensors: 25, with 19,200 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
[rank0]:[W Utils.hpp:108] Warning: Environment variable NCCL_ASYNC_ERROR_HANDLING is deprecated; use TORCH_NCCL_ASYNC_ERROR_HANDLING instead (function getCvarString)
wandb: Currently logged in as: newton-sander (seek-ae). Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.17.5
wandb: Run data is saved locally in /home/ubuntu/workspace/nanoGPT/wandb/run-20240801_150833-mvtm5kj1
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run gpt2-124M
wandb: ⭐️ View project at https://wandb.ai/seek-ae/owt
wandb: 🚀 View run at https://wandb.ai/seek-ae/owt/runs/mvtm5kj1
iter 1720: loss 3.8814, time 9828.10ms, mfu 13.70%
iter 1730: loss 3.9143, time 9827.56ms, mfu 13.70%
iter 1740: loss 3.8430, time 9827.76ms, mfu 13.70%
iter 1750: loss 3.6526, time 9828.12ms, mfu 13.70%
iter 1760: loss 3.8180, time 9827.35ms, mfu 13.70%
iter 1770: loss 3.7495, time 9827.85ms, mfu 13.70%
iter 1780: loss 3.7232, time 9827.04ms, mfu 13.70%
iter 1790: loss 3.9550, time 9828.18ms, mfu 13.70%
iter 1800: loss 3.8777, time 9827.38ms, mfu 13.70%
iter 1810: loss 3.7807, time 9826.99ms, mfu 13.70%
iter 1820: loss 3.8399, time 9827.89ms, mfu 13.70%
iter 1830: loss 3.8135, time 9827.37ms, mfu 13.70%
iter 1840: loss 3.8076, time 9827.51ms, mfu 13.70%
iter 1850: loss 3.9829, time 9828.06ms, mfu 13.70%
iter 1860: loss 3.8927, time 9828.58ms, mfu 13.70%
iter 1870: loss 3.8748, time 9828.82ms, mfu 13.70%
iter 1880: loss 3.8915, time 9827.92ms, mfu 13.70%
iter 1890: loss 3.8771, time 9828.75ms, mfu 13.70%
iter 1900: loss 3.8769, time 9826.87ms, mfu 13.70%
iter 1910: loss 3.8971, time 9828.72ms, mfu 13.70%
iter 1920: loss 3.8107, time 9827.68ms, mfu 13.70%
iter 1930: loss 3.9938, time 9828.35ms, mfu 13.70%
iter 1940: loss 3.8450, time 9827.82ms, mfu 13.70%
iter 1950: loss 3.9339, time 9827.14ms, mfu 13.70%
iter 1960: loss 3.8823, time 9827.44ms, mfu 13.70%
iter 1970: loss 3.4348, time 9828.87ms, mfu 13.70%
iter 1980: loss 3.7272, time 9829.07ms, mfu 13.70%
iter 1990: loss 3.8560, time 9829.21ms, mfu 13.70%
step 2000: train loss 3.7822, val loss 3.7927
saving checkpoint to out
iter 2000: loss 3.8760, time 52134.33ms, mfu 12.59%
iter 2010: loss 3.7214, time 9828.17ms, mfu 12.70%
iter 2020: loss 3.9343, time 9826.96ms, mfu 12.80%
iter 2030: loss 3.8544, time 9827.12ms, mfu 12.89%
iter 2040: loss 3.8150, time 9827.77ms, mfu 12.97%
iter 2050: loss 3.6605, time 9827.45ms, mfu 13.05%
iter 2060: loss 3.7704, time 9827.54ms, mfu 13.11%
iter 2070: loss 3.6327, time 9827.87ms, mfu 13.17%
iter 2080: loss 3.7158, time 9828.67ms, mfu 13.22%
iter 2090: loss 3.4749, time 9828.58ms, mfu 13.27%
iter 2100: loss 3.7943, time 9827.52ms, mfu 13.31%
iter 2110: loss 3.6685, time 9827.80ms, mfu 13.35%
iter 2120: loss 3.6952, time 9828.33ms, mfu 13.39%
iter 2130: loss 3.6452, time 9827.27ms, mfu 13.42%
iter 2140: loss 3.7374, time 9826.83ms, mfu 13.45%
iter 2150: loss 3.7363, time 9827.21ms, mfu 13.47%
iter 2160: loss 3.6559, time 9827.50ms, mfu 13.50%
iter 2170: loss 3.6657, time 9827.26ms, mfu 13.52%
iter 2180: loss 3.8755, time 9826.33ms, mfu 13.54%
iter 2190: loss 3.6074, time 9827.15ms, mfu 13.55%
iter 2200: loss 3.7358, time 9826.27ms, mfu 13.57%
iter 2210: loss 3.4431, time 9826.67ms, mfu 13.58%
iter 2220: loss 3.6262, time 9827.15ms, mfu 13.59%
iter 2230: loss 3.5130, time 9827.39ms, mfu 13.60%
iter 2240: loss 3.7627, time 9828.01ms, mfu 13.61%
iter 2250: loss 3.1351, time 9827.50ms, mfu 13.62%
iter 2260: loss 3.6535, time 9827.34ms, mfu 13.63%
iter 2270: loss 3.8011, time 9827.36ms, mfu 13.64%
iter 2280: loss 3.6408, time 9828.53ms, mfu 13.64%
iter 2290: loss 3.5500, time 9826.78ms, mfu 13.65%
iter 2300: loss 3.6724, time 9826.95ms, mfu 13.66%
iter 2310: loss 3.7445, time 9827.87ms, mfu 13.66%
iter 2320: loss 3.9214, time 9828.41ms, mfu 13.66%
iter 2330: loss 3.7977, time 9829.35ms, mfu 13.67%
iter 2340: loss 3.5939, time 9827.65ms, mfu 13.67%
iter 2350: loss 3.5453, time 9827.35ms, mfu 13.67%
iter 2360: loss 3.8007, time 9827.30ms, mfu 13.68%
iter 2370: loss 3.6053, time 9827.24ms, mfu 13.68%
iter 2380: loss 3.6972, time 9827.11ms, mfu 13.68%
iter 2390: loss 3.6861, time 9826.69ms, mfu 13.68%
iter 2400: loss 3.6914, time 9826.86ms, mfu 13.69%
iter 2410: loss 3.6736, time 9827.17ms, mfu 13.69%
iter 2420: loss 3.5946, time 9826.67ms, mfu 13.69%
iter 2430: loss 3.6889, time 9827.45ms, mfu 13.69%
iter 2440: loss 3.5356, time 9828.14ms, mfu 13.69%
iter 2450: loss 3.4830, time 9827.70ms, mfu 13.69%
iter 2460: loss 3.6725, time 9828.58ms, mfu 13.69%
iter 2470: loss 3.6982, time 9827.57ms, mfu 13.69%
iter 2480: loss 3.5805, time 9826.86ms, mfu 13.70%
iter 2490: loss 3.4566, time 9827.15ms, mfu 13.70%
iter 2500: loss 3.7437, time 9827.24ms, mfu 13.70%
iter 2510: loss 3.6859, time 9826.86ms, mfu 13.70%
iter 2520: loss 3.5092, time 9826.74ms, mfu 13.70%
iter 2530: loss 3.5744, time 9826.51ms, mfu 13.70%
iter 2540: loss 3.6582, time 9827.24ms, mfu 13.70%
iter 2550: loss 3.5498, time 9827.40ms, mfu 13.70%
iter 2560: loss 3.6870, time 9827.74ms, mfu 13.70%
iter 2570: loss 3.5840, time 9827.85ms, mfu 13.70%
iter 2580: loss 3.6118, time 9828.58ms, mfu 13.70%
iter 2590: loss 3.4971, time 9828.09ms, mfu 13.70%
iter 2600: loss 3.6096, time 9825.83ms, mfu 13.70%
iter 2610: loss 3.6202, time 9827.90ms, mfu 13.70%
iter 2620: loss 3.5503, time 9828.34ms, mfu 13.70%
iter 2630: loss 3.4085, time 9827.17ms, mfu 13.70%
iter 2640: loss 3.7346, time 9826.86ms, mfu 13.70%
iter 2650: loss 3.7242, time 9827.20ms, mfu 13.70%
iter 2660: loss 3.6834, time 9827.05ms, mfu 13.70%
iter 2670: loss 3.4459, time 9827.50ms, mfu 13.70%
iter 2680: loss 3.5343, time 9827.15ms, mfu 13.70%
iter 2690: loss 3.5810, time 9826.69ms, mfu 13.70%
iter 2700: loss 3.6427, time 9827.49ms, mfu 13.70%
iter 2710: loss 3.5291, time 9827.17ms, mfu 13.70%
iter 2720: loss 3.4935, time 9825.79ms, mfu 13.70%
iter 2730: loss 3.5050, time 9826.46ms, mfu 13.70%
iter 2740: loss 3.5919, time 9826.65ms, mfu 13.70%
iter 2750: loss 3.5899, time 9827.27ms, mfu 13.70%
iter 2760: loss 3.6015, time 9826.63ms, mfu 13.70%
iter 2770: loss 3.6427, time 9828.61ms, mfu 13.70%
iter 2780: loss 3.5826, time 9827.23ms, mfu 13.70%
iter 2790: loss 3.4790, time 9828.31ms, mfu 13.70%
iter 2800: loss 3.7009, time 9827.76ms, mfu 13.70%
iter 2810: loss 3.6591, time 9827.98ms, mfu 13.70%
iter 2820: loss 3.4233, time 9827.41ms, mfu 13.70%
iter 2830: loss 3.7146, time 9826.58ms, mfu 13.70%
iter 2840: loss 3.4332, time 9827.80ms, mfu 13.70%
iter 2850: loss 3.5194, time 9826.29ms, mfu 13.70%
iter 2860: loss 3.7126, time 9828.22ms, mfu 13.70%
iter 2870: loss 3.5509, time 9826.70ms, mfu 13.70%
iter 2880: loss 3.5730, time 9827.74ms, mfu 13.70%
iter 2890: loss 3.5112, time 9827.30ms, mfu 13.70%
iter 2900: loss 3.4087, time 9826.20ms, mfu 13.70%
iter 2910: loss 3.5903, time 9827.47ms, mfu 13.70%
iter 2920: loss 3.4830, time 9827.55ms, mfu 13.70%
iter 2930: loss 3.8397, time 9827.20ms, mfu 13.70%
iter 2940: loss 3.4939, time 9826.79ms, mfu 13.70%
iter 2950: loss 3.5006, time 9825.38ms, mfu 13.70%
iter 2960: loss 3.5677, time 9828.00ms, mfu 13.70%
iter 2970: loss 3.5951, time 9827.10ms, mfu 13.70%
iter 2980: loss 3.4789, time 9827.19ms, mfu 13.70%
iter 2990: loss 3.6326, time 9827.09ms, mfu 13.70%
step 3000: train loss 3.5271, val loss 3.5350
saving checkpoint to out
iter 3000: loss 3.5211, time 52137.56ms, mfu 12.59%
iter 3010: loss 3.5619, time 9826.43ms, mfu 12.70%
iter 3020: loss 3.3910, time 9827.36ms, mfu 12.80%
iter 3030: loss 3.4354, time 9827.56ms, mfu 12.89%
iter 3040: loss 3.5721, time 9828.14ms, mfu 12.97%
iter 3050: loss 3.2769, time 9826.70ms, mfu 13.05%
iter 3060: loss 3.5662, time 9827.76ms, mfu 13.11%
iter 3070: loss 3.5110, time 9826.60ms, mfu 13.17%
iter 3080: loss 3.3923, time 9827.34ms, mfu 13.22%
iter 3090: loss 3.2857, time 9827.50ms, mfu 13.27%
iter 3100: loss 3.4838, time 9828.37ms, mfu 13.31%
iter 3110: loss 3.3999, time 9827.48ms, mfu 13.35%
iter 3120: loss 3.6029, time 9828.50ms, mfu 13.39%
