timestamp,gpu_index,temperature_C,utilization_gpu_percent,power_W
2025-09-24T03:41:47.010Z,4, 25, 0, 73.18
2025-09-24T03:41:47.010Z,5, 22, 0, 73.54
2025-09-24T03:41:47.010Z,6, 24, 0, 74.35
2025-09-24T03:41:47.010Z,7, 23, 0, 73.39
2025-09-24T03:41:47.334Z,0, 23, 0, 73.42
2025-09-24T03:41:47.334Z,1, 42, 0, 81.40
2025-09-24T03:41:47.334Z,2, 24, 0, 80.99
2025-09-24T03:41:47.334Z,3, 23, 0, 72.18
2025-09-24T03:41:47.334Z,4, 25, 0, 73.17
2025-09-24T03:41:47.334Z,5, 22, 0, 73.54
2025-09-24T03:41:47.334Z,6, 24, 0, 74.36
2025-09-24T03:41:47.334Z,7, 23, 0, 73.38
2025-09-24T03:41:47.666Z,0, 23, 0, 73.42
2025-09-24T03:41:47.666Z,1, 42, 0, 81.40
2025-09-24T03:41:47.666Z,2, 24, 0, 80.99
2025-09-24T03:41:47.666Z,3, 23, 0, 72.16
2025-09-24T03:41:47.666Z,4, 25, 0, 73.15
2025-09-24T03:41:47.666Z,5, 22, 0, 73.53
2025-09-24T03:41:47.666Z,6, 24, 0, 74.36
2025-09-24T03:41:47.666Z,7, 23, 0, 73.38
2025-09-24T03:41:48.003Z,0, 23, 0, 73.42
2025-09-24T03:41:48.003Z,1, 42, 0, 81.43
2025-09-24T03:41:48.003Z,2, 24, 0, 80.99
2025-09-24T03:41:48.003Z,3, 23, 0, 72.20
2025-09-24T03:41:48.003Z,4, 25, 0, 73.10
2025-09-24T03:41:48.003Z,5, 22, 0, 73.52
2025-09-24T03:41:48.003Z,6, 24, 0, 74.36
2025-09-24T03:41:48.003Z,7, 23, 0, 73.40
2025-09-24T03:41:48.333Z,0, 23, 0, 73.41
2025-09-24T03:41:48.333Z,1, 42, 0, 81.42
2025-09-24T03:41:48.333Z,2, 24, 0, 80.97
2025-09-24T03:41:48.333Z,3, 23, 0, 72.16
2025-09-24T03:41:48.333Z,4, 25, 0, 73.04
2025-09-24T03:41:48.333Z,5, 22, 0, 73.51
2025-09-24T03:41:48.333Z,6, 24, 0, 74.34
2025-09-24T03:41:48.333Z,7, 23, 0, 73.37
2025-09-24T03:41:48.630Z,0, 23, 0, 73.40
2025-09-24T03:41:48.630Z,1, 42, 0, 81.42
2025-09-24T03:41:48.630Z,2, 24, 0, 80.98
2025-09-24T03:41:48.630Z,3, 23, 0, 72.15
2025-09-24T03:41:48.630Z,4, 25, 0, 73.02
2025-09-24T03:41:48.630Z,5, 22, 0, 73.50
2025-09-24T03:41:48.630Z,6, 24, 0, 74.35
2025-09-24T03:41:48.630Z,7, 23, 0, 73.39
2025-09-24T03:41:48.935Z,0, 23, 0, 73.42
2025-09-24T03:41:48.935Z,1, 42, 0, 81.43
2025-09-24T03:41:48.935Z,2, 24, 0, 81.01
2025-09-24T03:41:48.935Z,3, 23, 0, 72.16
2025-09-24T03:41:48.935Z,4, 25, 0, 73.03
2025-09-24T03:41:48.935Z,5, 22, 0, 73.50
2025-09-24T03:41:48.935Z,6, 24, 0, 74.36
2025-09-24T03:41:48.935Z,7, 23, 0, 73.41
2025-09-24T03:41:49.273Z,0, 23, 0, 73.41
2025-09-24T03:41:49.273Z,1, 42, 0, 81.42
2025-09-24T03:41:49.273Z,2, 24, 0, 81.00
2025-09-24T03:41:49.273Z,3, 23, 0, 72.14
2025-09-24T03:41:49.273Z,4, 25, 0, 73.06
2025-09-24T03:41:49.273Z,5, 22, 0, 73.50
2025-09-24T03:41:49.273Z,6, 24, 0, 74.36
2025-09-24T03:41:49.273Z,7, 23, 0, 73.42
2025-09-24T03:41:49.577Z,0, 23, 0, 73.40
2025-09-24T03:41:49.577Z,1, 42, 0, 81.39
2025-09-24T03:41:49.577Z,2, 24, 0, 81.03
2025-09-24T03:41:49.577Z,3, 23, 0, 72.12
2025-09-24T03:41:49.577Z,4, 25, 0, 73.01
2025-09-24T03:41:49.577Z,5, 22, 0, 73.48
2025-09-24T03:41:49.577Z,6, 24, 0, 74.36
2025-09-24T03:41:49.577Z,7, 23, 0, 73.44
2025-09-24T03:41:49.911Z,0, 23, 0, 73.38
2025-09-24T03:41:49.911Z,1, 42, 0, 81.37
2025-09-24T03:41:49.911Z,2, 24, 0, 81.01
2025-09-24T03:41:49.911Z,3, 23, 0, 72.19
2025-09-24T03:41:49.911Z,4, 25, 0, 73.04
2025-09-24T03:41:49.911Z,5, 22, 0, 73.49
2025-09-24T03:41:49.911Z,6, 24, 0, 74.35
2025-09-24T03:41:49.911Z,7, 23, 0, 73.38
2025-09-24T03:41:50.231Z,0, 23, 0, 73.41
2025-09-24T03:41:50.231Z,1, 42, 0, 81.36
2025-09-24T03:41:50.231Z,2, 24, 0, 81.02
2025-09-24T03:41:50.231Z,3, 23, 0, 72.14
2025-09-24T03:41:50.231Z,4, 24, 0, 73.02
2025-09-24T03:41:50.231Z,5, 22, 0, 73.47
2025-09-24T03:41:50.231Z,6, 24, 0, 74.36
2025-09-24T03:41:50.231Z,7, 23, 0, 73.36
2025-09-24T03:41:50.531Z,0, 23, 0, 73.43
2025-09-24T03:41:50.531Z,1, 42, 0, 81.40
2025-09-24T03:41:50.531Z,2, 24, 0, 81.03
2025-09-24T03:41:50.531Z,3, 23, 0, 72.17
2025-09-24T03:41:50.531Z,4, 24, 0, 73.03
2025-09-24T03:41:50.531Z,5, 22, 0, 73.49
2025-09-24T03:41:50.531Z,6, 24, 0, 74.32
2025-09-24T03:41:50.531Z,7, 23, 0, 73.35
2025-09-24T03:41:50.863Z,0, 23, 0, 73.44
2025-09-24T03:41:50.863Z,1, 42, 0, 81.39
2025-09-24T03:41:50.863Z,2, 24, 0, 81.02
2025-09-24T03:41:50.863Z,3, 23, 0, 72.16
2025-09-24T03:41:50.863Z,4, 25, 0, 73.00
2025-09-24T03:41:50.863Z,5, 22, 0, 73.50
2025-09-24T03:41:50.863Z,6, 24, 0, 74.35
2025-09-24T03:41:50.863Z,7, 23, 0, 73.39
2025-09-24T03:41:51.179Z,0, 23, 0, 73.42
2025-09-24T03:41:51.179Z,1, 42, 0, 81.41
2025-09-24T03:41:51.179Z,2, 24, 0, 81.00
2025-09-24T03:41:51.179Z,3, 23, 0, 72.12
2025-09-24T03:41:51.179Z,4, 24, 0, 73.00
2025-09-24T03:41:51.179Z,5, 22, 0, 73.49
2025-09-24T03:41:51.179Z,6, 24, 0, 74.35
2025-09-24T03:41:51.179Z,7, 23, 0, 73.40
2025-09-24T03:41:51.491Z,0, 23, 0, 73.43
2025-09-24T03:41:51.491Z,1, 42, 0, 81.42
2025-09-24T03:41:51.491Z,2, 24, 0, 81.01
2025-09-24T03:41:51.491Z,3, 23, 0, 72.17
2025-09-24T03:41:51.491Z,4, 25, 0, 72.97
2025-09-24T03:41:51.491Z,5, 22, 0, 73.51
2025-09-24T03:41:51.491Z,6, 24, 0, 74.37
2025-09-24T03:41:51.491Z,7, 23, 0, 73.39
2025-09-24T03:41:51.815Z,0, 23, 0, 73.41
2025-09-24T03:41:51.815Z,1, 42, 0, 81.43
2025-09-24T03:41:51.815Z,2, 24, 0, 81.02
2025-09-24T03:41:51.815Z,3, 23, 0, 72.14
2025-09-24T03:41:51.815Z,4, 25, 0, 73.00
2025-09-24T03:41:51.815Z,5, 22, 0, 73.50
2025-09-24T03:41:51.815Z,6, 24, 0, 74.35
2025-09-24T03:41:51.815Z,7, 23, 0, 73.36
2025-09-24T03:41:52.134Z,0, 23, 0, 73.44
2025-09-24T03:41:52.134Z,1, 42, 0, 81.40
2025-09-24T03:41:52.134Z,2, 24, 0, 80.97
2025-09-24T03:41:52.134Z,3, 23, 0, 72.16
2025-09-24T03:41:52.134Z,4, 24, 0, 73.03
2025-09-24T03:41:52.134Z,5, 22, 0, 73.50
2025-09-24T03:41:52.134Z,6, 24, 0, 74.34
2025-09-24T03:41:52.134Z,7, 23, 0, 73.39
2025-09-24T03:41:52.462Z,0, 23, 0, 73.43
2025-09-24T03:41:52.462Z,1, 42, 0, 81.38
2025-09-24T03:41:52.462Z,2, 24, 0, 80.82
2025-09-24T03:41:52.462Z,3, 23, 0, 72.14
2025-09-24T03:41:52.462Z,4, 24, 0, 73.03
2025-09-24T03:41:52.462Z,5, 22, 0, 73.48
2025-09-24T03:41:52.462Z,6, 24, 0, 74.35
2025-09-24T03:41:52.462Z,7, 23, 0, 73.35
2025-09-24T03:41:52.780Z,0, 23, 0, 73.43
2025-09-24T03:41:52.780Z,1, 42, 0, 81.35
2025-09-24T03:41:52.780Z,2, 24, 0, 80.44
2025-09-24T03:41:52.780Z,3, 23, 0, 72.14
2025-09-24T03:41:52.780Z,4, 24, 0, 73.04
2025-09-24T03:41:52.780Z,5, 22, 0, 73.48
2025-09-24T03:41:52.780Z,6, 24, 0, 74.33
2025-09-24T03:41:52.780Z,7, 23, 0, 73.36
2025-09-24T03:41:53.126Z,0, 23, 0, 73.42
2025-09-24T03:41:53.126Z,1, 42, 0, 81.35
2025-09-24T03:41:53.126Z,2, 24, 0, 80.02
2025-09-24T03:41:53.126Z,3, 23, 0, 72.15
2025-09-24T03:41:53.126Z,4, 25, 0, 73.01
2025-09-24T03:41:53.126Z,5, 22, 0, 73.47
2025-09-24T03:41:53.126Z,6, 24, 0, 74.34
2025-09-24T03:41:53.126Z,7, 23, 0, 73.36
2025-09-24T03:41:53.466Z,0, 23, 0, 73.40
2025-09-24T03:41:53.466Z,1, 42, 0, 81.36
2025-09-24T03:41:53.466Z,2, 24, 0, 79.69
2025-09-24T03:41:53.466Z,3, 23, 0, 72.21
2025-09-24T03:41:53.466Z,4, 24, 0, 73.01
2025-09-24T03:41:53.466Z,5, 22, 0, 73.48
2025-09-24T03:41:53.466Z,6, 24, 0, 74.31
2025-09-24T03:41:53.466Z,7, 23, 0, 73.37
2025-09-24T03:41:53.814Z,0, 23, 0, 73.43
2025-09-24T03:41:53.814Z,1, 42, 0, 81.39
2025-09-24T03:41:53.814Z,2, 24, 0, 79.49
2025-09-24T03:41:53.814Z,3, 23, 0, 72.18
2025-09-24T03:41:53.814Z,4, 24, 0, 73.01
2025-09-24T03:41:53.814Z,5, 22, 0, 73.47
2025-09-24T03:41:53.814Z,6, 24, 0, 74.36
