run_name,seed,device,wandb_log,wandb_project,batch_size,block_size,max_iters,eval_interval,eval_iters,learning_rate,min_lr,warmup_iters,lr_decay_iters,weight_decay,grad_clip,vocab_size,bias,log_interval,n_layer,n_head,n_embd,dropout,norm_type,norm_placement,linear_type,pos_encoding,residual_type,activation_type,n_params,final_train_loss,final_val_loss,training_time_sec
baseline,3740,cuda,True,nanogpt-ablations,64,256,5000,250,200,0.001,0.0001,100,5000,0.1,1.0,65,False,10,6,6,384,0.2,layernorm,pre,standard,learned,standard,gelu,10745088,0.6288482546806335,1.7041577100753784,691.49
A1_no_pos_encoding,3740,cuda,True,nanogpt-ablations,64,256,5000,250,200,0.001,0.0001,100,5000,0.1,1.0,65,False,10,6,6,384,0.2,layernorm,pre,standard,none,standard,gelu,10646784,1.053412675857544,1.5561554431915283,708.82
A2_rope,3740,cuda,True,nanogpt-ablations,64,256,5000,250,200,0.001,0.0001,100,5000,0.1,1.0,65,False,10,6,6,384,0.2,layernorm,pre,standard,rope,standard,gelu,10646784,0.5614467263221741,1.7325592041015625,850.72
A3_alibi,3740,cuda,True,nanogpt-ablations,64,256,5000,250,200,0.001,0.0001,100,5000,0.1,1.0,65,False,10,6,6,384,0.2,layernorm,pre,standard,alibi,standard,gelu,10646784,0.5341942310333252,1.8229146003723145,1317.15
B1_rmsnorm,3740,cuda,True,nanogpt-ablations,64,256,5000,250,200,0.001,0.0001,100,5000,0.1,1.0,65,False,10,6,6,384,0.2,rmsnorm,pre,standard,learned,standard,gelu,10745088,0.6333891153335571,1.6847615242004395,946.55
B2_post_ln,3740,cuda,True,nanogpt-ablations,64,256,5000,250,200,0.001,0.0001,100,5000,0.1,1.0,65,False,10,6,6,384,0.2,layernorm,post,standard,learned,standard,gelu,10745088,0.8508021831512451,1.5575546026229858,735.9
C1_1_head,3740,cuda,True,nanogpt-ablations,64,256,5000,250,200,0.001,0.0001,100,5000,0.1,1.0,65,False,10,6,1,384,0.2,layernorm,pre,standard,learned,standard,gelu,10745088,0.9040089249610901,1.5214059352874756,777.49
C2_8_heads,3740,cuda,True,nanogpt-ablations,64,256,5000,250,200,0.001,0.0001,100,5000,0.1,1.0,65,False,10,6,8,384,0.2,layernorm,pre,standard,learned,standard,gelu,10745088,0.6010086536407471,1.7093945741653442,766.59
C3_12_heads,3740,cuda,True,nanogpt-ablations,64,256,5000,250,200,0.001,0.0001,100,5000,0.1,1.0,65,False,10,6,12,384,0.2,layernorm,pre,standard,learned,standard,gelu,10745088,0.6285912394523621,1.7029708623886108,808.02
D1_relu,3740,cuda,True,nanogpt-ablations,64,256,5000,250,200,0.001,0.0001,100,5000,0.1,1.0,65,False,10,6,6,384,0.2,layernorm,pre,standard,learned,standard,relu,10745088,0.7293193936347961,1.6144522428512573,761.99
D2_swiglu,3740,cuda,True,nanogpt-ablations,64,256,5000,250,200,0.001,0.0001,100,5000,0.1,1.0,65,False,10,6,6,384,0.2,layernorm,pre,standard,learned,standard,swiglu,10745088,0.5340456962585449,1.8930504322052002,808.86
E1_scaled_residual,3740,cuda,True,nanogpt-ablations,64,256,5000,250,200,0.001,0.0001,100,5000,0.1,1.0,65,False,10,6,6,384,0.2,layernorm,pre,standard,learned,scaled,gelu,10745088,0.6329095363616943,1.6879127025604248,734.87
E2_no_residuals,3740,cuda,True,nanogpt-ablations,64,256,5000,250,200,0.001,0.0001,100,5000,0.1,1.0,65,False,10,6,6,384,0.2,layernorm,pre,standard,learned,none,gelu,10745088,3.315722942352295,3.3592374324798584,678.75
F1_context_128,3740,cuda,True,nanogpt-ablations,64,128,5000,250,200,0.001,0.0001,100,5000,0.1,1.0,65,False,10,6,6,384,0.2,layernorm,pre,standard,learned,standard,gelu,10695936,0.9456024169921875,1.5049874782562256,335.79
F2_context_512,3740,cuda,True,nanogpt-ablations,64,512,5000,250,200,0.001,0.0001,100,5000,0.1,1.0,65,False,10,6,6,384,0.2,layernorm,pre,standard,learned,standard,gelu,10843392,0.3490252196788788,2.005828619003296,1608.91
G1_ternary_weights,3740,cuda,True,nanogpt-ablations,64,256,5000,250,200,0.001,0.0001,100,5000,0.1,1.0,65,False,10,6,6,384,0.2,layernorm,pre,ternary,learned,standard,gelu,10745088,1.0265308618545532,1.4662405252456665,933.56
