run_name,seed,device,wandb_log,wandb_project,batch_size,block_size,max_iters,eval_interval,eval_iters,learning_rate,min_lr,warmup_iters,lr_decay_iters,weight_decay,grad_clip,vocab_size,bias,log_interval,n_layer,n_head,n_embd,dropout,norm_type,norm_placement,linear_type,pos_encoding,residual_type,activation_type,n_params,final_train_loss,final_val_loss,training_time_sec
baseline,2026,cuda,True,nanogpt-ablations,64,256,5000,250,200,0.001,0.0001,100,5000,0.1,1.0,65,False,10,6,6,384,0.2,layernorm,pre,standard,learned,standard,gelu,10745088,0.6433103680610657,1.6957199573516846,827.92
A1_no_pos_encoding,2026,cuda,True,nanogpt-ablations,64,256,5000,250,200,0.001,0.0001,100,5000,0.1,1.0,65,False,10,6,6,384,0.2,layernorm,pre,standard,none,standard,gelu,10646784,1.035722017288208,1.5557680130004883,892.63
A2_rope,2026,cuda,True,nanogpt-ablations,64,256,5000,250,200,0.001,0.0001,100,5000,0.1,1.0,65,False,10,6,6,384,0.2,layernorm,pre,standard,rope,standard,gelu,10646784,0.5495076179504395,1.7522807121276855,1044.14
A3_alibi,2026,cuda,True,nanogpt-ablations,64,256,5000,250,200,0.001,0.0001,100,5000,0.1,1.0,65,False,10,6,6,384,0.2,layernorm,pre,standard,alibi,standard,gelu,10646784,0.5375778079032898,1.8090397119522095,1548.22
B1_rmsnorm,2026,cuda,True,nanogpt-ablations,64,256,5000,250,200,0.001,0.0001,100,5000,0.1,1.0,65,False,10,6,6,384,0.2,rmsnorm,pre,standard,learned,standard,gelu,10745088,0.6406018137931824,1.6840013265609741,1101.52
B2_post_ln,2026,cuda,True,nanogpt-ablations,64,256,5000,250,200,0.001,0.0001,100,5000,0.1,1.0,65,False,10,6,6,384,0.2,layernorm,post,standard,learned,standard,gelu,10745088,0.8492003679275513,1.570051908493042,836.95
C1_1_head,2026,cuda,True,nanogpt-ablations,64,256,5000,250,200,0.001,0.0001,100,5000,0.1,1.0,65,False,10,6,1,384,0.2,layernorm,pre,standard,learned,standard,gelu,10745088,0.9019903540611267,1.5237518548965454,864.03
C2_8_heads,2026,cuda,True,nanogpt-ablations,64,256,5000,250,200,0.001,0.0001,100,5000,0.1,1.0,65,False,10,6,8,384,0.2,layernorm,pre,standard,learned,standard,gelu,10745088,0.6328921318054199,1.7015697956085205,814.55
C3_12_heads,2026,cuda,True,nanogpt-ablations,64,256,5000,250,200,0.001,0.0001,100,5000,0.1,1.0,65,False,10,6,12,384,0.2,layernorm,pre,standard,learned,standard,gelu,10745088,0.6217368841171265,1.7040066719055176,728.45
D1_relu,2026,cuda,True,nanogpt-ablations,64,256,5000,250,200,0.001,0.0001,100,5000,0.1,1.0,65,False,10,6,6,384,0.2,layernorm,pre,standard,learned,standard,relu,10745088,0.7475188970565796,1.591766357421875,693.31
D2_swiglu,2026,cuda,True,nanogpt-ablations,64,256,5000,250,200,0.001,0.0001,100,5000,0.1,1.0,65,False,10,6,6,384,0.2,layernorm,pre,standard,learned,standard,swiglu,10745088,0.5312626361846924,1.886714220046997,777.87
E1_scaled_residual,2026,cuda,True,nanogpt-ablations,64,256,5000,250,200,0.001,0.0001,100,5000,0.1,1.0,65,False,10,6,6,384,0.2,layernorm,pre,standard,learned,scaled,gelu,10745088,0.6451936364173889,1.6848373413085938,684.93
E2_no_residuals,2026,cuda,True,nanogpt-ablations,64,256,5000,250,200,0.001,0.0001,100,5000,0.1,1.0,65,False,10,6,6,384,0.2,layernorm,pre,standard,learned,none,gelu,10745088,3.313373327255249,3.355945348739624,636.43
F1_context_128,2026,cuda,True,nanogpt-ablations,64,128,5000,250,200,0.001,0.0001,100,5000,0.1,1.0,65,False,10,6,6,384,0.2,layernorm,pre,standard,learned,standard,gelu,10695936,0.9567761421203613,1.4929481744766235,317.07
F2_context_512,2026,cuda,True,nanogpt-ablations,64,512,5000,250,200,0.001,0.0001,100,5000,0.1,1.0,65,False,10,6,6,384,0.2,layernorm,pre,standard,learned,standard,gelu,10843392,0.36827540397644043,2.0003767013549805,1487.22
G1_ternary_weights,2026,cuda,True,nanogpt-ablations,64,256,5000,250,200,0.001,0.0001,100,5000,0.1,1.0,65,False,10,6,6,384,0.2,layernorm,pre,ternary,learned,standard,gelu,10745088,1.0511713027954102,1.4668242931365967,721.44
