step,iter,train/loss,val/loss,lr,mfu,token_embedding_act_abs_mean,attn_act_abs_mean,mlp_act_abs_mean,lm_head_act_abs_mean
0,0,4.187784194946289,4.1817626953125,0.01,-100.0
1,1,3.3963541984558105,3.3900563716888428,0.01,-100.0,0.01597706414759159,0.011790199729148299,0.04402512405067682,1.2623648643493652
2,2,3.594257354736328,3.799626350402832,0.01,-100.0,0.017778352834284306,0.1468148808926344,0.41931526362895966,10.487257480621338
3,3,6.802511692047119,6.79852294921875,0.01,-100.0,0.020409305579960346,0.9306125976145267,4.109876304864883,32.69677925109863
4,4,3.999406337738037,3.991969585418701,0.01,-100.0,0.021263585425913334,5.1588104367256165,7.723844289779663,27.032838344573975
5,5,3.666219711303711,3.6467747688293457,0.01,-100.0,0.021361747290939093,7.236252129077911,20.150402784347534,21.02854347229004
6,6,3.5599212646484375,3.4706180095672607,0.01,0.5630920405510025,0.02184773376211524,9.808679103851318,29.702566623687744,34.34487533569336
7,7,3.5280234813690186,3.4689857959747314,0.01,0.562999772030821,0.0221416256390512,12.70034921169281,39.19501352310181,39.52248764038086
8,8,3.623562812805176,3.681821823120117,0.01,0.5635499433937713,0.022644410375505686,15.639150619506836,49.00120449066162,40.308363914489746
9,9,3.6768741607666016,3.6460771560668945,0.01,0.5638372353843397,0.022909912280738354,18.01324999332428,58.42236948013306,41.54277420043945
10,10,3.6049656867980957,3.533844470977783,0.01,0.5645912303556165,0.023015846963971853,19.66776192188263,64.27748680114746,43.358123779296875
