step,iter,train/loss,val/loss,lr,mfu
0,0,4.703586578369141,4.744175910949707,0.01,-100.0
1,1,27.929698944091797,27.210041046142578,0.01,-100.0
2,2,12.236257553100586,11.879751205444336,0.01,-100.0
3,3,25.063232421875,25.26161766052246,0.01,-100.0
4,4,38.93288803100586,36.87810516357422,0.01,-100.0
5,5,52.77760314941406,54.94605255126953,0.01,-100.0
6,6,65.95459747314453,68.84385681152344,0.01,0.2831412309402157
7,7,76.10575866699219,72.55147552490234,0.01,0.2911152600642751
8,8,74.01882934570312,72.23574829101562,0.01,0.3122415403392546
9,9,53.15176010131836,54.76996994018555,0.01,0.32649926948805025
10,10,56.80598449707031,55.8052978515625,0.01,0.3364641963710798
