step,iter,train/loss,val/loss,lr,mfu
0,0,4.801904678344727,4.668237686157227,0.01,-100.0
1,1,20.376140594482422,21.033447265625,0.01,-100.0
2,2,14.03699016571045,13.944530487060547,0.01,-100.0
3,3,27.88310432434082,27.461894989013672,0.01,-100.0
4,4,35.91695785522461,36.801490783691406,0.01,-100.0
5,5,44.521827697753906,44.57381057739258,0.01,-100.0
6,6,61.71833038330078,59.91974639892578,0.01,0.3669068269826862
7,7,68.570068359375,64.84739685058594,0.01,0.3667292217756834
8,8,49.27587890625,52.07832717895508,0.01,0.3649944281862669
9,9,57.773250579833984,62.563865661621094,0.01,0.35933654883792066
10,10,40.65122985839844,42.24182891845703,0.01,0.3581557517425444
