step,iter,train/loss,val/loss,lr,mfu
0,0,4.26984167098999,4.341047286987305,0.01,-100.0
1,1,8.826539993286133,8.700485229492188,0.01,-100.0
2,2,4.64378547668457,4.773516654968262,0.01,-100.0
3,3,8.570030212402344,8.076345443725586,0.01,-100.0
4,4,9.899471282958984,9.611364364624023,0.01,-100.0
5,5,11.239839553833008,10.512592315673828,0.01,-100.0
6,6,11.17931079864502,10.631193161010742,0.01,0.5461618406647387
7,7,9.970941543579102,10.344693183898926,0.01,0.5477940894634035
8,8,10.736289978027344,10.035465240478516,0.01,0.5445508287228212
9,9,11.22592544555664,11.471922874450684,0.01,0.5446650347994934
10,10,10.787691116333008,11.337967872619629,0.01,0.546167220054142
