step,iter,train/loss,val/loss,lr,mfu,token_embedding_act_abs_mean,attn_act_abs_mean,mlp_act_abs_mean,lm_head_act_abs_mean
0,0,18.400096893310547,18.449390411376953,0.01,-100.0
1,1,4.30388879776001,4.361863136291504,0.01,-100.0,0.01594058098271489,0.011572961579076946,0.044115182012319565,1.2800199389457703
2,2,25.9693660736084,26.166200637817383,0.01,-100.0,0.014986292459070683,66.68093609809875,50.07371520996094,3.0795902609825134
3,3,54.22517395019531,52.75977325439453,0.01,-100.0,0.016137315426021814,247.79833602905273,205.80300521850586,9.855460166931152
4,4,27.17333984375,27.47148895263672,0.01,-100.0,0.01799566810950637,1250.4231872558594,317.3037414550781,29.271957397460938
5,5,24.485877990722656,24.144397735595703,0.01,-100.0,0.019420702010393143,2111.8206939697266,1000.2206497192383,10.222755670547485
6,6,33.29113006591797,32.14313507080078,0.01,0.46615356754108545,0.021004315931349993,2750.4427337646484,1722.3672790527344,23.526968479156494
7,7,42.46258544921875,41.652183532714844,0.01,0.4709258126911673,0.022666721139103174,3513.3778686523438,2412.111358642578,34.70017433166504
8,8,49.74900817871094,48.275146484375,0.01,0.4704307337001109,0.024021937046200037,4293.6025390625,3103.7083435058594,40.81671714782715
9,9,58.78998565673828,56.84551239013672,0.01,0.4773260152824763,0.025572991464287043,4958.70539855957,3781.5845947265625,47.35403537750244
10,10,63.19625473022461,61.69940948486328,0.01,0.483491964989156,0.02709051873534918,5481.756561279297,4424.2808837890625,53.80556583404541
