step,iter,train/loss,val/loss,lr,mfu,token_embedding_act_abs_mean,attn_act_abs_mean,mlp_act_abs_mean,lm_head_act_abs_mean
0,0,9.306266784667969,9.323997497558594,0.01,-100.0
1,1,3.733283758163452,3.7055795192718506,0.01,-100.0,0.015897417441010475,0.01229337404947728,0.04389913147315383,0.8731857091188431
2,2,5.893450736999512,5.710431098937988,0.01,-100.0,0.014976947801187634,18.76855754852295,13.306057810783386,2.292407989501953
3,3,20.339027404785156,19.981212615966797,0.01,-100.0,0.01619429513812065,91.5432071685791,22.26100504398346,2.462237596511841
4,4,22.996776580810547,21.647811889648438,0.01,-100.0,0.018106261268258095,300.66860580444336,87.32110500335693,10.857395648956299
5,5,19.117944717407227,20.12122344970703,0.01,-100.0,0.019908028189092875,424.76492500305176,234.69650268554688,13.308300971984863
6,6,23.70650863647461,23.184772491455078,0.01,0.6892106064672116,0.02168530086055398,705.6504364013672,397.7048988342285,20.24487829208374
7,7,26.97884750366211,23.765666961669922,0.01,0.6893363225197298,0.02334736892953515,998.7402114868164,565.1946640014648,23.658219814300537
8,8,27.005939483642578,24.53069496154785,0.01,0.6893490472303617,0.02455204026773572,1243.6503448486328,746.9920120239258,25.187703132629395
9,9,25.283981323242188,24.549013137817383,0.01,0.6891005738499033,0.02582693612203002,1444.168472290039,922.3914413452148,26.395419597625732
10,10,25.06270980834961,23.575668334960938,0.01,0.688983353233441,0.02689365576952696,1631.787109375,1119.134750366211,26.85928440093994
