step,layer_name,layer_type,shape,max_rank,threshold_rank_tau_0.01,entropy_rank_tau_0.01,stable_rank_tau_0.01,threshold_rank_tau_0.05,entropy_rank_tau_0.05,stable_rank_tau_0.05,threshold_rank_tau_0.1,entropy_rank_tau_0.1,stable_rank_tau_0.1,threshold_rank_tau_0.2,entropy_rank_tau_0.2,stable_rank_tau_0.2,threshold_rank_tau_0.5,entropy_rank_tau_0.5,stable_rank_tau_0.5
25,transformer.h.2.attn.c_attn.weight,attention,(1152x384),384,2,1.02,1.00,1,1.02,1.00,1,1.02,1.00,1,1.02,1.00,1,1.02,1.00
25,transformer.h.2.attn.c_proj.weight,attention_proj,(384x384),384,3,1.03,1.00,2,1.03,1.00,1,1.03,1.00,1,1.03,1.00,1,1.03,1.00
25,transformer.h.2.mlp.c_fc.weight,mlp,(1536x384),384,4,1.14,1.03,2,1.14,1.03,2,1.14,1.03,1,1.14,1.03,1,1.14,1.03
25,transformer.h.2.mlp.c_proj.weight,mlp,(384x1536),384,4,1.18,1.04,2,1.18,1.04,2,1.18,1.04,1,1.18,1.04,1,1.18,1.04
25,transformer.h.3.attn.c_attn.weight,attention,(1152x384),384,2,1.55,1.19,2,1.55,1.19,2,1.55,1.19,2,1.55,1.19,1,1.55,1.19
25,transformer.h.3.attn.c_proj.weight,attention_proj,(384x384),384,3,1.03,1.00,2,1.03,1.00,1,1.03,1.00,1,1.03,1.00,1,1.03,1.00
25,transformer.h.3.mlp.c_fc.weight,mlp,(1536x384),384,3,1.15,1.03,2,1.15,1.03,2,1.15,1.03,1,1.15,1.03,1,1.15,1.03
25,transformer.h.3.mlp.c_proj.weight,mlp,(384x1536),384,3,1.17,1.04,2,1.17,1.04,2,1.17,1.04,1,1.17,1.04,1,1.17,1.04
25,transformer.h.4.attn.c_attn.weight,attention,(1152x384),384,2,1.51,1.17,2,1.51,1.17,2,1.51,1.17,2,1.51,1.17,1,1.51,1.17
25,transformer.h.4.attn.c_proj.weight,attention_proj,(384x384),384,3,1.02,1.00,1,1.02,1.00,1,1.02,1.00,1,1.02,1.00,1,1.02,1.00
25,transformer.h.4.mlp.c_fc.weight,mlp,(1536x384),384,3,1.16,1.03,2,1.16,1.03,2,1.16,1.03,1,1.16,1.03,1,1.16,1.03
25,transformer.h.4.mlp.c_proj.weight,mlp,(384x1536),384,3,1.15,1.03,2,1.15,1.03,2,1.15,1.03,1,1.15,1.03,1,1.15,1.03
25,transformer.h.5.attn.c_attn.weight,attention,(1152x384),384,1,1.00,1.00,1,1.00,1.00,1,1.00,1.00,1,1.00,1.00,1,1.00,1.00
25,transformer.h.5.attn.c_proj.weight,attention_proj,(384x384),384,1,1.00,1.00,1,1.00,1.00,1,1.00,1.00,1,1.00,1.00,1,1.00,1.00
25,transformer.h.5.mlp.c_fc.weight,mlp,(1536x384),384,2,1.13,1.03,2,1.13,1.03,2,1.13,1.03,1,1.13,1.03,1,1.13,1.03
25,transformer.h.5.mlp.c_proj.weight,mlp,(384x1536),384,3,1.11,1.02,2,1.11,1.02,2,1.11,1.02,1,1.11,1.02,1,1.11,1.02
50,transformer.wte.weight,unknown,(50304x384),384,100,4.13,1.97,10,4.13,1.97,7,4.13,1.97,5,4.13,1.97,2,4.13,1.97
50,transformer.wpe.weight,unknown,(256x384),256,100,6.48,2.26,31,6.48,2.26,9,6.48,2.26,4,6.48,2.26,2,6.48,2.26
50,transformer.h.0.attn.c_attn.weight,attention,(1152x384),384,98,7.01,2.80,21,7.01,2.80,13,7.01,2.80,7,7.01,2.80,3,7.01,2.80
50,transformer.h.0.attn.c_proj.weight,attention_proj,(384x384),384,24,3.24,1.69,7,3.24,1.69,5,3.24,1.69,4,3.24,1.69,2,3.24,1.69
50,transformer.h.0.mlp.c_fc.weight,mlp,(1536x384),384,25,3.33,1.98,7,3.33,1.98,5,3.33,1.98,4,3.33,1.98,3,3.33,1.98
50,transformer.h.0.mlp.c_proj.weight,mlp,(384x1536),384,15,2.17,1.28,6,2.17,1.28,5,2.17,1.28,3,2.17,1.28,1,2.17,1.28
50,transformer.h.1.attn.c_attn.weight,attention,(1152x384),384,12,2.09,1.35,4,2.09,1.35,4,2.09,1.35,3,2.09,1.35,2,2.09,1.35
50,transformer.h.1.attn.c_proj.weight,attention_proj,(384x384),384,15,1.86,1.24,5,1.86,1.24,3,1.86,1.24,2,1.86,1.24,1,1.86,1.24
50,transformer.h.1.mlp.c_fc.weight,mlp,(1536x384),384,14,2.30,1.40,5,2.30,1.40,4,2.30,1.40,3,2.30,1.40,2,2.30,1.40
50,transformer.h.1.mlp.c_proj.weight,mlp,(384x1536),384,12,2.03,1.26,5,2.03,1.26,4,2.03,1.26,3,2.03,1.26,1,2.03,1.26
50,transformer.h.2.attn.c_attn.weight,attention,(1152x384),384,6,1.37,1.08,3,1.37,1.08,3,1.37,1.08,2,1.37,1.08,1,1.37,1.08
50,transformer.h.2.attn.c_proj.weight,attention_proj,(384x384),384,13,1.43,1.09,5,1.43,1.09,2,1.43,1.09,2,1.43,1.09,1,1.43,1.09
50,transformer.h.2.mlp.c_fc.weight,mlp,(1536x384),384,9,1.93,1.26,5,1.93,1.26,3,1.93,1.26,3,1.93,1.26,1,1.93,1.26
50,transformer.h.2.mlp.c_proj.weight,mlp,(384x1536),384,11,2.05,1.25,5,2.05,1.25,4,2.05,1.25,3,2.05,1.25,1,2.05,1.25
50,transformer.h.3.attn.c_attn.weight,attention,(1152x384),384,6,2.21,1.67,3,2.21,1.67,3,2.21,1.67,3,2.21,1.67,2,2.21,1.67
50,transformer.h.3.attn.c_proj.weight,attention_proj,(384x384),384,11,1.30,1.05,4,1.30,1.05,3,1.30,1.05,1,1.30,1.05,1,1.30,1.05
50,transformer.h.3.mlp.c_fc.weight,mlp,(1536x384),384,8,1.55,1.12,4,1.55,1.12,3,1.55,1.12,2,1.55,1.12,1,1.55,1.12
50,transformer.h.3.mlp.c_proj.weight,mlp,(384x1536),384,10,1.93,1.22,5,1.93,1.22,4,1.93,1.22,3,1.93,1.22,1,1.93,1.22
50,transformer.h.4.attn.c_attn.weight,attention,(1152x384),384,5,2.21,1.68,3,2.21,1.68,3,2.21,1.68,3,2.21,1.68,2,2.21,1.68
50,transformer.h.4.attn.c_proj.weight,attention_proj,(384x384),384,11,1.39,1.09,3,1.39,1.09,2,1.39,1.09,2,1.39,1.09,1,1.39,1.09
50,transformer.h.4.mlp.c_fc.weight,mlp,(1536x384),384,7,1.40,1.08,4,1.40,1.08,3,1.40,1.08,2,1.40,1.08,1,1.40,1.08
50,transformer.h.4.mlp.c_proj.weight,mlp,(384x1536),384,10,1.70,1.15,5,1.70,1.15,4,1.70,1.15,2,1.70,1.15,1,1.70,1.15
50,transformer.h.5.attn.c_attn.weight,attention,(1152x384),384,5,1.10,1.02,3,1.10,1.02,1,1.10,1.02,1,1.10,1.02,1,1.10,1.02
50,transformer.h.5.attn.c_proj.weight,attention_proj,(384x384),384,9,1.19,1.04,2,1.19,1.04,2,1.19,1.04,1,1.19,1.04,1,1.19,1.04
