MPID;WikiDataLink;WikipediaLink;Name;LastName;Born;SexOrGender;Occupation;Religion;AbgeordnetenwatchID
1644;http://www.wikidata.org/entity/Q1793335;https://de.wikipedia.org/wiki/Kurt_Adelmann;Kurt Adelmann;Adelmann;05.10.1930 00:00;männlich;['Werkzeugmacher', 'Politiker'];;
1645;http://www.wikidata.org/entity/Q993668;https://de.wikipedia.org/wiki/Bruno_Ponnath;Bruno Ponnath;;02.01.1931 00:00;männlich;['Politiker'];;
1646;http://www.wikidata.org/entity/Q1085475;https://de.wikipedia.org/wiki/Christoph_Maier_(Politiker,_1931);Christoph Maier;Maier;16.01.1931 00:00;männlich;['Politiker'];;
1647;http://www.wikidata.org/entity/Q1577717;https://de.wikipedia.org/wiki/Hans-J%C3%BCrgen_Jaeger;Hans-Jürgen Jaeger;Jaeger;23.01.1931 00:00;männlich;['Politiker'];;
1648;http://www.wikidata.org/entity/Q1261863;https://de.wikipedia.org/wiki/Mathilde_Berghofer-Weichner;Mathilde Berghofer-Weichner;;23.01.1931 00:00;weiblich;['Jurist', 'Politiker'];;
1649;http://www.wikidata.org/entity/Q1913588;https://de.wikipedia.org/wiki/Max_Weber_(Politiker,_1931);Max Weber (SPD);Weber;24.01.1931 00:00;männlich;['Politiker'];;
1650;http://www.wikidata.org/entity/Q1284234;https://de.wikipedia.org/wiki/Edgar_W%C3%BCrth;Edgar Würth;Würth;20.03.1931 00:00;männlich;['Politiker'];;
1651;http://www.wikidata.org/entity/Q1896886;https://de.wikipedia.org/wiki/Marianne_Rothe;Marianne Rothe;;30.03.1931 00:00;weiblich;['Politiker'];;
1652;http://www.wikidata.org/entity/Q123972;https://de.wikipedia.org/wiki/Hans_Maier_(Politiker,_1931);Hans Maier;Maier;18.06.1931 00:00;männlich;['Publizist', 'Hochschullehrer', 'Herausgeber', 'Politikwissenschaftler', 'Politiker'];;
1653;http://www.wikidata.org/entity/Q1466342;https://de.wikipedia.org/wiki/Fritz_Geisperger;Fritz Geisperger;;26.06.1931 00:00;männlich;['Politiker'];;
1654;http://www.wikidata.org/entity/Q1608587;https://de.wikipedia.org/wiki/Herbert_Kempfler;Herbert Kempfler;;11.07.1931 00:00;männlich;['Politiker', 'Richter'];;
1655;http://www.wikidata.org/entity/Q1593419;https://de.wikipedia.org/wiki/Hedwig_Westphal;Hedwig Westphal;Westphal;22.07.1931 00:00;weiblich;['Gewerkschafter', 'Politiker'];;
1656;http://www.wikidata.org/entity/Q1732974;https://de.wikipedia.org/wiki/Karl_Sch%C3%B6n_(Politiker,_1931);Karl Schön;;17.08.1931 00:00;männlich;['Politiker'];;
1657;http://www.wikidata.org/entity/Q15435813;https://de.wikipedia.org/wiki/Nikolaus_Graf_Hendrikoff;Nikolaus Graf Hendrikoff;;20.09.1931 00:00;männlich;['Politiker'];;
1658;http://www.wikidata.org/entity/Q1563785;https://de.wikipedia.org/wiki/Paul_Kestel;Paul Kestel;;08.11.1931 00:00;männlich;['Politiker'];;
1660;http://www.wikidata.org/entity/Q63569;https://de.wikipedia.org/wiki/Max_Streibl;Max Streibl;Streibl;06.01.1932 00:00;männlich;['Politiker', 'Rechtsanwalt'];;
1661;http://www.wikidata.org/entity/Q2676459;https://de.wikipedia.org/wiki/Dietrich_Richter_(Politiker);Dietrich Richter;Richter;30.01.1932 00:00;männlich;['Politiker'];;
1662;http://www.wikidata.org/entity/Q1824318;https://de.wikipedia.org/wiki/Lieselotte_Seibel-Emmerling;Lieselotte Seibel-Emmerling;;03.02.1932 00:00;weiblich;['Politiker'];;
1663;http://www.wikidata.org/entity/Q15435198;https://de.wikipedia.org/wiki/Alfons_Weinzierl;Alfons Weinzierl;Weinzierl;13.02.1932 00:00;männlich;['Politiker'];;
1664;http://www.wikidata.org/entity/Q708481;https://de.wikipedia.org/wiki/Arthur_Auer;Arthur Auer;Auer;26.02.1932 00:00;männlich;['Politiker'];;
1666;http://www.wikidata.org/entity/Q1659166;https://de.wikipedia.org/wiki/Ilse_L%C3%B6b;Ilse Löb;Löb;05.07.1932 00:00;weiblich;['Politiker'];;
1667;http://www.wikidata.org/entity/Q1553671;https://de.wikipedia.org/wiki/Willi_Kaiser_(Politiker,_1932);Willi Kaiser;Kaiser;07.09.1932 00:00;männlich;['Politiker'];;
1668;http://www.wikidata.org/entity/Q1600567;https://de.wikipedia.org/wiki/Heinz_Leschanowsky;Heinz Leschanowsky;;23.10.1932 00:00;männlich;['Politiker'];;
1669;http://www.wikidata.org/entity/Q1330272;https://de.wikipedia.org/wiki/Elisabeth_Schnell_(Politikerin);Elisabeth Schnell;Schnell;27.10.1932 00:00;weiblich;['Politiker'];;
1670;http://www.wikidata.org/entity/Q1556186;https://de.wikipedia.org/wiki/Gustav_Matschl;Gustav Matschl;;27.12.1932 00:00;männlich;['Politiker'];;
1671;http://www.wikidata.org/entity/Q1447413;https://de.wikipedia.org/wiki/Franz_Ihle;Franz Ihle;Ihle;17.03.1933 00:00;männlich;['Politiker'];;
1672;http://www.wikidata.org/entity/Q1449755;https://de.wikipedia.org/wiki/Franz_Xaver_Werkstetter;Franz Xaver Werkstetter;;28.04.1933 00:00;männlich;['Politiker'];;
1673;http://www.wikidata.org/entity/Q1781946;https://de.wikipedia.org/wiki/Konrad_Breitrainer;Konrad Breitrainer;;03.05.1933 00:00;männlich;['Politiker'];;
1674;http://www.wikidata.org/entity/Q43811;https://de.wikipedia.org/wiki/Hans_Maurer_(Politiker,_1933);Hans Maurer;Maurer;03.05.1933 00:00;männlich;['Politiker'];;
1675;http://www.wikidata.org/entity/Q2501788;https://de.wikipedia.org/wiki/Ursula_Pausch-Gruber;Ursula Pausch-Gruber;;12.05.1933 00:00;weiblich;['Politiker'];;
1676;http://www.wikidata.org/entity/Q1598802;https://de.wikipedia.org/wiki/Heinrich_Schnell;Heinrich Schnell;Schnell;21.07.1933 00:00;männlich;['Politiker'];;
1677;http://www.wikidata.org/entity/Q1499159;https://de.wikipedia.org/wiki/Karl_Lautenschl%C3%A4ger;Karl Lautenschläger;Lautenschläger;11.10.1933 00:00;männlich;['Politiker', 'Richter'];;
1679;http://www.wikidata.org/entity/Q1264292;https://de.wikipedia.org/wiki/J%C3%BCrgen_B%C3%B6ddrich;Jürgen Böddrich;;31.10.1933 00:00;männlich;['Politiker'];;
1680;http://www.wikidata.org/entity/Q2577426;https://de.wikipedia.org/wiki/Willi_Reiland;Willi Reiland;Reiland;02.11.1933 00:00;männlich;['Politiker'];;
1681;http://www.wikidata.org/entity/Q2302843;https://de.wikipedia.org/wiki/Sophie_Rieger;Sophie Rieger;Rieger;26.12.1933 00:00;weiblich;['Politiker', 'Architekt'];;
1682;http://www.wikidata.org/entity/Q1625126;https://de.wikipedia.org/wiki/Seban_D%C3%B6nhuber;Seban Dönhuber;;14.01.1934 00:00;männlich;['Schriftsetzer', 'Politiker'];römisch-katholische Kirche;
1683;http://www.wikidata.org/entity/Q1896936;https://de.wikipedia.org/wiki/Marianne_W%C3%BCrdinger;Marianne Würdinger;;24.02.1934 00:00;weiblich;['Politiker'];;
1684;http://www.wikidata.org/entity/Q1645074;https://de.wikipedia.org/wiki/Maria_Geiss-Wittmann;Maria Geiss-Wittmann;;03.03.1934 00:00;weiblich;['Politiker'];;
1685;http://www.wikidata.org/entity/Q2581345;https://de.wikipedia.org/wiki/Willibald_Moser;Willibald Moser;Moser;20.06.1934 00:00;männlich;['Politiker'];;
