step,iter,train/loss,val/loss,lr,mfu
0,0,5.24867057800293,5.195558547973633,0.01,-100.0
1,1,23.425167083740234,23.920488357543945,0.01,-100.0
2,2,14.239639282226562,13.737386703491211,0.01,-100.0
3,3,23.907581329345703,23.52486801147461,0.01,-100.0
4,4,32.726287841796875,31.85175323486328,0.01,-100.0
5,5,42.21564483642578,42.22304153442383,0.01,-100.0
6,6,52.03044128417969,50.639278411865234,0.01,0.2621811235548558
7,7,48.6978645324707,50.135841369628906,0.01,0.2702215385786366
8,8,41.34721374511719,42.0239372253418,0.01,0.26855488120897564
9,9,43.825775146484375,45.97090148925781,0.01,0.2794924573470443
10,10,40.556488037109375,39.96173858642578,0.01,0.2937578690564696
