step,iter,train/loss,val/loss,lr,mfu
0,0,4.505946159362793,4.581302642822266,0.01,-100.0
1,1,10.564457893371582,10.64958381652832,0.01,-100.0
2,2,12.900517463684082,12.247220993041992,0.01,-100.0
3,3,9.931913375854492,10.53199577331543,0.01,-100.0
4,4,10.823205947875977,10.612109184265137,0.01,-100.0
5,5,15.35167121887207,14.705162048339844,0.01,-100.0
6,6,15.682868003845215,16.77141571044922,0.01,0.5499025769637005
7,7,14.162515640258789,15.151777267456055,0.01,0.5485191686527191
8,8,17.016517639160156,16.307819366455078,0.01,0.5492273455023755
9,9,16.81009292602539,17.912994384765625,0.01,0.5483487430968771
10,10,16.216312408447266,16.06155776977539,0.01,0.5432873987120884
