step,iter,train/loss,val/loss,lr,mfu
0,0,4.42514181137085,4.34014368057251,0.01,-100.0
1,1,14.826730728149414,15.067281723022461,0.01,-100.0
2,2,7.639835357666016,7.550062656402588,0.01,-100.0
3,3,12.227263450622559,11.851330757141113,0.01,-100.0
4,4,13.336897850036621,13.883158683776855,0.01,-100.0
5,5,15.62428092956543,16.17472267150879,0.01,-100.0
6,6,13.828540802001953,14.254924774169922,0.01,0.5461027282955877
7,7,17.6491756439209,17.711851119995117,0.01,0.5511344161607629
8,8,19.398624420166016,18.374778747558594,0.01,0.5569491859353468
9,9,21.41417694091797,21.43539810180664,0.01,0.562533704470327
10,10,19.64743423461914,19.324575424194336,0.01,0.567746314990965
