step,iter,train/loss,val/loss,lr,mfu
0,0,4.291943550109863,4.289162635803223,0.01,-100.0
1,1,3.8175148963928223,3.777769088745117,0.01,-100.0
2,2,3.71937894821167,3.6326656341552734,0.01,-100.0
3,3,3.506476402282715,3.5178561210632324,0.01,-100.0
4,4,3.6357927322387695,3.6485657691955566,0.01,-100.0
5,5,3.5338211059570312,3.512720823287964,0.01,-100.0
6,6,3.412654399871826,3.682223081588745,0.01,0.13781746693933472
7,7,3.453423500061035,3.373429298400879,0.01,0.1362582908427937
8,8,3.539496898651123,3.6513309478759766,0.01,0.13780185321777064
9,9,3.33298397064209,3.418576717376709,0.01,0.14090082088980496
10,10,3.6041338443756104,3.537731170654297,0.01,0.14705568245130765
