step,iter,train/loss,val/loss,lr,mfu
0,0,4.9016594886779785,4.925454616546631,0.01,-100.0
1,1,25.227642059326172,25.234821319580078,0.01,-100.0
2,2,14.14042854309082,14.003618240356445,0.01,-100.0
3,3,25.892261505126953,25.809785842895508,0.01,-100.0
4,4,33.97398376464844,32.06348419189453,0.01,-100.0
5,5,44.02857208251953,46.19272994995117,0.01,-100.0
6,6,56.60246276855469,50.175140380859375,0.01,0.43416281036081256
7,7,66.52928161621094,65.61689758300781,0.01,0.4201149030863669
8,8,75.27384948730469,75.40548706054688,0.01,0.40985327758717083
9,9,76.94023895263672,77.24958801269531,0.01,0.39768688272598396
10,10,70.38037872314453,70.92863464355469,0.01,0.3921093576300434
