step,iter,train/loss,val/loss,lr,mfu,token_embedding_act_abs_mean,attn_act_abs_mean,mlp_act_abs_mean,lm_head_act_abs_mean
0,0,4.206308364868164,4.223812103271484,0.01,-100.0
1,1,3.5189619064331055,3.572042942047119,0.01,-100.0,0.01597608858719468,0.011294792115222663,0.043969772290438414,0.27266641706228256
2,2,3.617262601852417,3.6084914207458496,0.01,-100.0,0.01769582135602832,0.16838489845395088,0.4859476275742054,0.7121917754411697
3,3,4.356315612792969,4.348758220672607,0.01,-100.0,0.01985779870301485,2.187123626470566,5.026906847953796,1.5073182880878448
4,4,4.063327789306641,4.095787525177002,0.01,-100.0,0.021248658187687397,4.2436158657073975,8.766099750995636,0.75282022356987
5,5,3.961010456085205,4.045615196228027,0.01,-100.0,0.022430510260164738,9.585387766361237,23.281139612197876,2.698273479938507
6,6,3.6241934299468994,3.652128219604492,0.01,0.20555793089363505,0.023249479942023754,14.104743778705597,34.384180545806885,3.2520558834075928
7,7,3.7712907791137695,3.604865312576294,0.01,0.20434664747697537,0.023791462182998657,18.64037173986435,42.5739049911499,3.364572823047638
8,8,3.7579505443573,3.942408323287964,0.01,0.20417875891071924,0.024168991018086672,22.91211473941803,51.37378978729248,3.321308672428131
9,9,3.699759006500244,3.686711311340332,0.01,0.20423647949989757,0.02453362150117755,27.52133846282959,63.19393062591553,3.191651701927185
10,10,3.5345771312713623,3.550334930419922,0.01,0.20395708282351332,0.024774010758846998,31.983494639396667,75.97850227355957,3.1898757219314575
