step,iter,train/loss,val/loss,lr,mfu
0,0,4.2346930503845215,4.242544651031494,0.01,-100.0
1,1,3.4163615703582764,3.4310574531555176,0.01,-100.0
2,2,3.9621737003326416,4.144843101501465,0.01,-100.0
3,3,4.187072277069092,4.3094916343688965,0.01,-100.0
4,4,3.664684295654297,3.8143246173858643,0.01,-100.0
5,5,3.675617218017578,3.5631942749023438,0.01,-100.0
6,6,3.5308661460876465,3.477322578430176,0.01,0.24184057294313935
7,7,3.5585436820983887,3.8188910484313965,0.01,0.24186544879070465
8,8,3.7490556240081787,3.5174407958984375,0.01,0.24216138144057775
9,9,3.4450745582580566,3.518601894378662,0.01,0.24240368621571964
10,10,3.4454216957092285,3.527064323425293,0.01,0.24262563719152497
