step,iter,train/loss,val/loss,lr,mfu
0,0,4.270192623138428,4.266933441162109,0.01,-100.0
1,1,3.6571226119995117,3.621453285217285,0.01,-100.0
2,2,3.5775279998779297,3.556857109069824,0.01,-100.0
3,3,3.659090518951416,3.6534290313720703,0.01,-100.0
4,4,3.672687530517578,3.432699680328369,0.01,-100.0
5,5,3.4607038497924805,3.4748780727386475,0.01,-100.0
6,6,3.424518585205078,3.389523506164551,0.01,0.21615658973349428
7,7,3.368144989013672,3.5951409339904785,0.01,0.21338176837287995
8,8,3.407478094100952,3.4648101329803467,0.01,0.21519535549954436
9,9,3.3245022296905518,3.4152591228485107,0.01,0.21839362784298239
10,10,3.3448293209075928,3.4256582260131836,0.01,0.20753937966129626
