step,iter,train/loss,val/loss,lr,mfu
0,0,4.363249778747559,4.377022743225098,0.01,-100.0
1,1,6.585904121398926,6.822470664978027,0.01,-100.0
2,2,9.32224178314209,9.331291198730469,0.01,-100.0
3,3,8.004430770874023,8.56031608581543,0.01,-100.0
4,4,8.243436813354492,9.624255180358887,0.01,-100.0
5,5,9.087413787841797,9.36684799194336,0.01,-100.0
6,6,8.361030578613281,8.983272552490234,0.01,0.550465381710403
7,7,7.908292770385742,8.483745574951172,0.01,0.5504774284938881
8,8,8.351551055908203,7.776994705200195,0.01,0.551073005750163
9,9,7.163697242736816,6.9863409996032715,0.01,0.5512628314556021
10,10,7.26650333404541,7.280460357666016,0.01,0.5512665402380856
