step,iter,train/loss,val/loss,lr,mfu
0,0,4.240686416625977,4.257457733154297,0.01,-100.0
1,1,3.659763813018799,3.7393383979797363,0.01,-100.0
2,2,6.130356311798096,6.137001991271973,0.01,-100.0
3,3,4.679814338684082,5.256279945373535,0.01,-100.0
4,4,4.03431510925293,4.052258014678955,0.01,-100.0
5,5,4.4558820724487305,4.870244979858398,0.01,-100.0
6,6,7.773313999176025,7.613829612731934,0.01,0.4064628407391607
7,7,7.122282028198242,5.974204063415527,0.01,0.40489778358805434
8,8,6.657463073730469,6.226202964782715,0.01,0.40300831365302164
9,9,6.074491500854492,6.1787428855896,0.01,0.4020030975859981
10,10,5.425981521606445,5.694068431854248,0.01,0.40234675841075557
