step,iter,train/loss,val/loss,lr,mfu,token_embedding_act_abs_mean,attn_act_abs_mean,mlp_act_abs_mean,lm_head_act_abs_mean
0,0,4.209827423095703,4.19477653503418,0.01,-100.0
1,1,3.5298991203308105,3.4928507804870605,0.01,-100.0,0.01601004833355546,0.014108984963968396,0.04415285121649504,0.3919137641787529
2,2,3.5025699138641357,3.687678813934326,0.01,-100.0,0.017835915554314852,0.17559109814465046,0.5035887062549591,1.3032718300819397
3,3,6.966687202453613,6.833023548126221,0.01,-100.0,0.020504225976765156,1.369708091020584,4.4973902106285095,3.5720747113227844
4,4,4.376005172729492,4.324686527252197,0.01,-100.0,0.021977397613227367,4.411026358604431,8.404024958610535,3.5832322239875793
5,5,4.188745498657227,4.025655746459961,0.01,-100.0,0.022740710992366076,6.793234646320343,20.43163013458252,3.87677139043808
6,6,3.727170467376709,3.8170313835144043,0.01,0.3833229447391025,0.02324958285316825,10.53855961561203,31.021965742111206,5.200821042060852
7,7,3.436556816101074,3.4531631469726562,0.01,0.38383339827023955,0.02351676393300295,14.56465208530426,42.747358322143555,5.697950720787048
8,8,3.390199661254883,3.6855249404907227,0.01,0.3841943712025852,0.02372521487995982,18.69966948032379,55.508070945739746,5.785619139671326
9,9,3.9398422241210938,3.767793893814087,0.01,0.3843845059804049,0.02433492010459304,22.447951793670654,68.43333053588867,5.630965352058411
10,10,3.7746548652648926,3.851956844329834,0.01,0.3835871095071197,0.024591296911239624,25.729158520698547,81.68377494812012,5.485756874084473
