step,iter,train/loss,val/loss,lr,mfu,token_embedding_act_abs_mean,attn_act_abs_mean,mlp_act_abs_mean,lm_head_act_abs_mean
0,0,4.212897300720215,4.206323623657227,0.01,-100.0
1,1,3.3468780517578125,3.427011251449585,0.01,-100.0,0.01607120456174016,0.010262150084599853,0.044047164265066385,0.2840965762734413
2,2,3.9345345497131348,3.9515926837921143,0.01,-100.0,0.01770305074751377,0.1543486900627613,0.5986199006438255,0.7216882109642029
3,3,3.8661646842956543,3.850748062133789,0.01,-100.0,0.020250978879630566,1.46603661775589,2.8742067962884903,1.734967678785324
4,4,3.4656295776367188,3.7886335849761963,0.01,-100.0,0.021996498573571444,3.8213520646095276,7.725913345813751,2.322375237941742
5,5,3.651277780532837,3.6460390090942383,0.01,-100.0,0.02296477649360895,7.509874403476715,13.501107454299927,2.4351953864097595
6,6,3.5260210037231445,3.5982937812805176,0.01,0.2275688805491654,0.02375498553737998,11.273342847824097,15.656887888908386,1.6245198249816895
7,7,3.4461984634399414,3.5605359077453613,0.01,0.22573594374138473,0.0245273495092988,15.868936419487,28.720975637435913,2.4649569392204285
8,8,3.612114906311035,3.4597620964050293,0.01,0.22641368855371052,0.024885964579880238,20.12758433818817,38.34804964065552,2.632990598678589
9,9,3.5454888343811035,3.4350898265838623,0.01,0.2268807068138868,0.025248462799936533,24.703463077545166,46.892966747283936,2.562309145927429
10,10,3.29323673248291,3.41143798828125,0.01,0.22780883111414651,0.02542513096705079,28.653048038482666,55.37747526168823,2.354481041431427
