step,iter,train/loss,val/loss,lr,mfu,token_embedding_act_abs_mean,attn_act_abs_mean,mlp_act_abs_mean,lm_head_act_abs_mean
0,0,4.212897300720215,4.206323623657227,0.01,-100.0
1,1,3.3468780517578125,3.427011251449585,0.01,-100.0,0.01607120456174016,0.010262150084599853,0.044047164265066385,0.2840965762734413
2,2,3.9345345497131348,3.9515926837921143,0.01,-100.0,0.01770305074751377,0.15434868820011616,0.5986199043691158,0.7216882109642029
3,3,3.8661646842956543,3.850748062133789,0.01,-100.0,0.020250978879630566,1.4660365656018257,2.874206766486168,1.734967589378357
4,4,3.4656295776367188,3.7886338233947754,0.01,-100.0,0.02199649903923273,3.821352005004883,7.7259132862091064,2.3223752975463867
5,5,3.651277780532837,3.6460392475128174,0.01,-100.0,0.02296477649360895,7.509874999523163,13.501107215881348,2.435195565223694
6,6,3.5260210037231445,3.5982933044433594,0.01,0.2269703268288839,0.023754985071718693,11.27334475517273,15.656888604164124,1.6245198547840118
7,7,3.4461984634399414,3.5605359077453613,0.01,0.22778014737580912,0.024527349043637514,15.868943095207214,28.720965147018433,2.4649558663368225
8,8,3.612114906311035,3.4597620964050293,0.01,0.2276133851069695,0.02488596411421895,20.127592086791992,38.348039865493774,2.6329893469810486
9,9,3.5454888343811035,3.4350898265838623,0.01,0.22614972652544016,0.02524846186861396,24.703473806381226,46.89295721054077,2.5623074173927307
10,10,3.29323673248291,3.41143798828125,0.01,0.22504282185645647,0.025425130035728216,28.653085708618164,55.377482891082764,2.354479193687439
