step,iter,train/loss,val/loss,lr,mfu,token_embedding_act_abs_mean,attn_act_abs_mean,mlp_act_abs_mean,lm_head_act_abs_mean
0,0,4.19635009765625,4.208426475524902,0.01,-100.0
1,1,3.499937057495117,3.5710182189941406,0.01,-100.0,0.01578338071703911,0.012490384804550558,0.04407013999298215,0.2753053680062294
2,2,3.639209270477295,3.6689558029174805,0.01,-100.0,0.017657209653407335,0.14094604179263115,0.48663707077503204,0.6227499395608902
3,3,4.397595405578613,4.2980451583862305,0.01,-100.0,0.019744117744266987,1.1573833674192429,1.8805798143148422,0.7386306822299957
4,4,4.251262664794922,4.114527702331543,0.01,-100.0,0.02231532894074917,2.7089581936597824,11.988810777664185,3.5626686811447144
5,5,4.209522247314453,3.998629570007324,0.01,-100.0,0.02371576800942421,5.141241550445557,18.54810881614685,3.927669405937195
6,6,3.7082953453063965,3.6548995971679688,0.01,0.15904552302681516,0.024428374599665403,7.63702255487442,21.72691822052002,3.6379846930503845
7,7,3.682992696762085,3.5485005378723145,0.01,0.1624148238189867,0.024823700543493032,9.852054238319397,15.366726636886597,2.5491158962249756
8,8,3.459604024887085,3.515045404434204,0.01,0.16130751968326892,0.025048131123185158,13.97161877155304,23.337465524673462,2.6477988958358765
9,9,3.4585487842559814,3.866067409515381,0.01,0.16111458988601807,0.025172877591103315,18.25445032119751,32.318629026412964,2.735600769519806
10,10,3.5470871925354004,3.5196287631988525,0.01,0.16203955219542931,0.02532030176371336,22.677677869796753,41.02275085449219,2.573524296283722
