Sample Generation,_runtime,train/step_loss,iter,_timestamp,lr,_step,train/loss,val/loss,seed
,12.2308017,,0.0,1779625257.0527463,9.900990099009901e-06,0,4.239273548126221,4.238309383392334,3242
,12.3344466,4.2371416091918945,0.0,1779625257.1579287,,1,,,3242
,13.217834,3.1509335041046143,10.0,1779625258.0410588,,2,,,3242
,14.1014072,2.774975299835205,20.0,1779625258.9248896,,3,,,3242
,14.9890979,2.6150262355804443,30.0,1779625259.8124144,,4,,,3242
,15.8810535,2.558985471725464,40.0,1779625260.704535,,5,,,3242
,16.7729717,2.5353140830993652,50.0,1779625261.5962977,,6,,,3242
,17.6636362,2.490574598312378,60.0,1779625262.4864702,,7,,,3242
,18.5539437,2.4923722743988037,70.0,1779625263.3770819,,8,,,3242
,19.4438801,2.489823818206787,80.0,1779625264.267155,,9,,,3242
,20.3367669,2.4891185760498047,90.0,1779625265.1592472,,10,,,3242
,21.2297871,2.466777801513672,100.0,1779625266.0528996,,11,,,3242
,22.1217199,2.45904541015625,110.0,1779625266.9450057,,12,,,3242
,23.0127157,2.451510429382324,120.0,1779625267.8359916,,13,,,3242
,23.9057916,2.4322307109832764,130.0,1779625268.7288713,,14,,,3242
,24.8034562,2.407411813735962,140.0,1779625269.6269357,,15,,,3242
,25.7085994,2.3815884590148926,150.0,1779625270.532083,,16,,,3242
,26.6145579,2.3909456729888916,160.0,1779625271.437441,,17,,,3242
,27.5077649,2.3619682788848877,170.0,1779625272.3305635,,18,,,3242
,28.3965413,2.3405816555023193,180.0,1779625273.2194014,,19,,,3242
,29.2885129,2.2954487800598145,190.0,1779625274.111994,,20,,,3242
,30.1786059,2.2877724170684814,200.0,1779625275.001654,,21,,,3242
,31.0754682,2.261579751968384,210.0,1779625275.898819,,22,,,3242
,31.9765972,2.249772548675537,220.0,1779625276.8000546,,23,,,3242
,32.8687758,2.203953742980957,230.0,1779625277.6919987,,24,,,3242
,33.767432,2.179551601409912,240.0,1779625278.590914,,25,,,3242
