_step,val/loss,Sample Generation,lr,_runtime,_timestamp,iter,train/loss,train/step_loss,seed
0,4.249083042144775,,9.900990099009901e-06,11.9044534,1779715577.8897138,0.0,4.250411033630371,,6242
1,,,,12.0068876,1779715577.9921362,0.0,,4.251081466674805,6242
2,,,,12.8788589,1779715578.8646097,10.0,,3.391031265258789,6242
3,,,,13.7645621,1779715579.7503164,20.0,,3.3510618209838867,6242
4,,,,14.6478622,1779715580.633609,30.0,,3.293889045715332,6242
5,,,,15.5253622,1779715581.510572,40.0,,3.3290138244628906,6242
6,,,,16.4021665,1779715582.387647,50.0,,3.3074703216552734,6242
7,,,,17.3344696,1779715583.3201938,60.0,,3.307666778564453,6242
8,,,,18.2569223,1779715584.2425864,70.0,,3.3056421279907227,6242
9,,,,19.178098,1779715585.1639247,80.0,,3.3295178413391113,6242
10,,,,20.0985374,1779715586.0840323,90.0,,3.321843147277832,6242
11,,,,21.0192679,1779715587.0055282,100.0,,3.319061756134033,6242
12,,,,21.9414876,1779715587.9272444,110.0,,3.3344993591308594,6242
13,,,,22.8721568,1779715588.8578777,120.0,,3.3268332481384277,6242
14,,,,23.8048257,1779715589.7905798,130.0,,3.3141517639160156,6242
15,,,,24.7379983,1779715590.723754,140.0,,3.344007968902588,6242
16,,,,25.6761488,1779715591.6619031,150.0,,3.293638229370117,6242
17,,,,26.616802,1779715592.6023288,160.0,,3.295370578765869,6242
18,,,,27.5416033,1779715593.5273561,170.0,,3.3134427070617676,6242
19,,,,28.4906906,1779715594.4762037,180.0,,3.3287205696105957,6242
20,,,,29.4106414,1779715595.3961363,190.0,,3.311645984649658,6242
21,,,,30.3478507,1779715596.33311,200.0,,3.343684196472168,6242
22,,,,31.2959135,1779715597.28159,210.0,,3.3074254989624023,6242
23,,,,32.2633361,1779715598.249007,220.0,,3.294257640838623,6242
24,,,,33.2116151,1779715599.1972597,230.0,,3.306424140930176,6242
25,,,,34.1557545,1779715600.1415098,240.0,,3.2759666442871094,6242
26,3.359520196914673,,0.0009979206008271391,47.0663021,1779715613.0516183,250.0,3.3193578720092773,,6242
27,,,,47.1618196,1779715613.1465213,250.0,,3.303831100463867,6242
28,,,,48.1034575,1779715614.0892115,260.0,,3.32720947265625,6242
29,,,,49.0312536,1779715615.0166461,270.0,,3.286649703979492,6242
30,,,,49.9946967,1779715615.9804509,280.0,,3.307786464691162,6242
31,,,,50.9302815,1779715616.9160101,290.0,,3.312736988067627,6242
32,,,,51.8697072,1779715617.8553395,300.0,,3.318429470062256,6242
33,,,,52.7962039,1779715618.7819579,310.0,,3.352628231048584,6242
34,,,,53.7110602,1779715619.696811,320.0,,3.32108211517334,6242
35,,,,54.6286558,1779715620.6141798,330.0,,3.3179221153259277,6242
36,,,,55.5514852,1779715621.5371249,340.0,,3.325913906097412,6242
37,,,,56.4757603,1779715622.461515,350.0,,3.3366446495056152,6242
38,,,,57.4124345,1779715623.3981895,360.0,,3.2964677810668945,6242
39,,,,58.3470048,1779715624.3322573,370.0,,3.2918190956115723,6242
40,,,,59.2742613,1779715625.2600117,380.0,,3.3424887657165527,6242
41,,,,60.2079823,1779715626.1937325,390.0,,3.3416876792907715,6242
42,,,,61.1471423,1779715627.132792,400.0,,3.33682918548584,6242
43,,,,62.0871792,1779715628.0729308,410.0,,3.3151164054870605,6242
