val/loss,train/step_loss,Sample Generation,lr,iter,_timestamp,train/loss,_step,_runtime,seed
4.274267673492432,,,9.900990099009901e-06,0.0,1779639220.263957,4.274195671081543,0,13.0609271,3740
,4.266392707824707,,,0.0,1779639220.3744228,,1,13.1718518,3740
,3.126692771911621,,,10.0,1779639221.381491,,2,14.1777216,3740
,2.7946937084198,,,20.0,1779639222.3705287,,3,15.1672803,3740
,2.6305952072143555,,,30.0,1779639223.3546457,,4,16.1513799,3740
,2.5528757572174072,,,40.0,1779639224.3740723,,5,17.1708104,3740
,2.51568865776062,,,50.0,1779639225.4039044,,6,18.2007621,3740
,2.5145816802978516,,,60.0,1779639226.429351,,7,19.2260865,3740
,2.4839184284210205,,,70.0,1779639227.428149,,8,20.2254514,3740
,2.5031769275665283,,,80.0,1779639228.4492638,,9,21.246998,3740
,2.4812910556793213,,,90.0,1779639229.4795158,,10,22.2764341,3740
,2.4490370750427246,,,100.0,1779639230.4909256,,11,23.2879461,3740
,2.435488224029541,,,110.0,1779639231.5334387,,12,24.3301779,3740
,2.428961992263794,,,120.0,1779639232.6649773,,13,25.4631044,3740
,2.423657178878784,,,130.0,1779639233.8040605,,14,26.6007995,3740
,2.3948256969451904,,,140.0,1779639234.8892083,,15,27.6859456,3740
,2.3770251274108887,,,150.0,1779639235.9368942,,16,28.7336327,3740
,2.390805244445801,,,160.0,1779639236.9679525,,17,29.7649193,3740
,2.3387668132781982,,,170.0,1779639238.0167384,,18,30.8134738,3740
,2.3080577850341797,,,180.0,1779639239.0925057,,19,31.8892406,3740
,2.301755666732788,,,190.0,1779639240.1491895,,20,32.9459258,3740
,2.269026756286621,,,200.0,1779639241.1890318,,21,33.9857669,3740
,2.2517542839050293,,,210.0,1779639242.2328904,,22,35.0296875,3740
,2.2174971103668213,,,220.0,1779639243.285169,,23,36.0819893,3740
,2.2043349742889404,,,230.0,1779639244.327185,,24,37.123942,3740
,2.171546459197998,,,240.0,1779639245.3576176,,25,38.1543531,3740
2.1600723266601562,,,0.0009979206008271391,250.0,1779639259.6750777,2.081916570663452,26,52.4724632,3740
,2.1516056060791016,,,250.0,1779639259.7858324,,27,52.5825819,3740
,2.1098668575286865,,,260.0,1779639260.8268046,,28,53.6235413,3740
,2.074625253677368,,,270.0,1779639261.8609262,,29,54.6576624,3740
,2.0717358589172363,,,280.0,1779639262.8966537,,30,55.6933884,3740
,2.020991086959839,,,290.0,1779639263.9341366,,31,56.7309005,3740
,1.9970786571502686,,,300.0,1779639264.9812918,,32,57.7780445,3740
,1.9504337310791016,,,310.0,1779639266.0377758,,33,58.8345126,3740
,1.9991073608398438,,,320.0,1779639267.1437469,,34,59.9404856,3740
,1.9154530763626099,,,330.0,1779639268.2385674,,35,61.0353103,3740
,1.918513298034668,,,340.0,1779639269.3243341,,36,62.1210723,3740
,1.8892455101013184,,,350.0,1779639270.3618102,,37,63.158545,3740
,1.8626861572265625,,,360.0,1779639271.4107862,,38,64.2075221,3740
,1.8596516847610474,,,370.0,1779639272.4562,,39,65.2533742,3740
,1.7816948890686035,,,380.0,1779639273.5089746,,40,66.3057125,3740
,1.8001065254211426,,,390.0,1779639274.54875,,41,67.3454844,3740
,1.8279080390930176,,,400.0,1779639275.5715718,,42,68.3683081,3740
,1.7585647106170654,,,410.0,1779639276.620642,,43,69.4173767,3740
