train/step_loss,Sample Generation,lr,_step,_timestamp,iter,val/loss,train/loss,_runtime,seed
,,9.900990099009901e-06,0,1779635967.5491304,0.0,4.260336399078369,4.260482311248779,14.8114195,3740
4.257419586181641,,,1,1779635967.69482,0.0,,,14.9576552,3740
3.125697612762451,,,2,1779635968.9458148,10.0,,,16.2077494,3740
2.79142427444458,,,3,1779635970.2004128,20.0,,,17.4623473,3740
2.6346566677093506,,,4,1779635971.452635,30.0,,,18.7145695,3740
2.554290533065796,,,5,1779635972.709642,40.0,,,19.9715822,3740
2.5149197578430176,,,6,1779635973.9678853,50.0,,,21.229821,3740
2.5151870250701904,,,7,1779635975.2164242,60.0,,,22.4787412,3740
2.488978624343872,,,8,1779635976.4723825,70.0,,,23.73432,3740
2.503981351852417,,,9,1779635977.7333596,80.0,,,24.9952974,3740
2.4783902168273926,,,10,1779635978.9938767,90.0,,,26.2560898,3740
2.45697021484375,,,11,1779635980.256244,100.0,,,27.5181778,3740
2.434751033782959,,,12,1779635981.5139747,110.0,,,28.7759701,3740
2.440122127532959,,,13,1779635982.7820997,120.0,,,30.0440364,3740
2.428664445877075,,,14,1779635984.0432398,130.0,,,31.3054233,3740
2.3983614444732666,,,15,1779635985.3019042,140.0,,,32.5638396,3740
2.382908821105957,,,16,1779635986.5621154,150.0,,,33.8242123,3740
2.3866982460021973,,,17,1779635987.816315,160.0,,,35.0777452,3740
2.341214656829834,,,18,1779635989.0970316,170.0,,,36.3589662,3740
2.309917688369751,,,19,1779635990.3572023,180.0,,,37.6186324,3740
2.3122398853302,,,20,1779635991.6248286,190.0,,,38.8867649,3740
2.258544921875,,,21,1779635992.8861117,200.0,,,40.148334,3740
2.2189362049102783,,,22,1779635994.1518161,210.0,,,41.4137528,3740
2.174015998840332,,,23,1779635995.4268556,220.0,,,42.6895491,3740
2.1279237270355225,,,24,1779635996.6981702,230.0,,,43.9601059,3740
2.1054017543792725,,,25,1779635997.9664237,240.0,,,45.228359,3740
,,0.0009979206008271391,26,1779636013.5395179,250.0,2.098780393600464,2.003484010696411,60.8012545,3740
2.0666322708129883,,,27,1779636013.6702487,250.0,,,60.9321837,3740
2.0279653072357178,,,28,1779636014.9438424,260.0,,,62.2057799,3740
2.0048489570617676,,,29,1779636016.2031012,270.0,,,63.4651414,3740
1.985689401626587,,,30,1779636017.4670424,280.0,,,64.7297786,3740
1.9214885234832764,,,31,1779636018.7346992,290.0,,,65.9966353,3740
1.9169365167617798,,,32,1779636020.0111372,300.0,,,67.2738965,3740
1.8681108951568604,,,33,1779636021.2848828,310.0,,,68.546864,3740
1.9117929935455322,,,34,1779636022.552961,320.0,,,69.8148957,3740
1.8411612510681152,,,35,1779636023.825884,330.0,,,71.0878213,3740
1.8374912738800049,,,36,1779636025.0874846,340.0,,,72.3494227,3740
1.8129092454910278,,,37,1779636026.3700502,350.0,,,73.6314804,3740
1.8010051250457764,,,38,1779636027.6632876,360.0,,,74.9252225,3740
1.8032217025756836,,,39,1779636028.9358253,370.0,,,76.1977596,3740
1.7203586101531982,,,40,1779636030.2041237,380.0,,,77.4661,3740
1.7434983253479004,,,41,1779636031.4712517,390.0,,,78.7331872,3740
1.7745790481567383,,,42,1779636032.7375333,400.0,,,79.9994713,3740
1.708119511604309,,,43,1779636033.9969609,410.0,,,81.2588952,3740
1.7273286581039429,,,44,1779636035.262498,420.0,,,82.5244341,3740
1.6698538064956665,,,45,1779636036.5287507,430.0,,,83.7906897,3740
1.6745861768722534,,,46,1779636037.7920935,440.0,,,85.0541664,3740
1.6455589532852173,,,47,1779636039.0594485,450.0,,,86.3220709,3740
1.6441456079483032,,,48,1779636040.3370845,460.0,,,87.5991958,3740
1.650023102760315,,,49,1779636041.6008608,470.0,,,88.8629132,3740
1.6513397693634033,,,50,1779636042.8655772,480.0,,,90.1275298,3740
1.5986331701278687,,,51,1779636044.1320786,490.0,,,91.3940151,3740
,,0.0009852826883675631,52,1779636059.758793,500.0,1.7232835292816162,1.528873324394226,107.0207977,3740
1.6310875415802002,,,53,1779636059.8902092,500.0,,,107.152288,3740
1.5921870470046997,,,54,1779636061.1660125,510.0,,,108.4279502,3740
1.5815231800079346,,,55,1779636062.4288788,520.0,,,109.6917035,3740
1.597415566444397,,,56,1779636063.710123,530.0,,,110.9720593,3740
1.6131999492645264,,,57,1779636064.981545,540.0,,,112.2434825,3740
1.5806310176849365,,,58,1779636066.2548938,550.0,,,113.5168281,3740
1.5583685636520386,,,59,1779636067.5223057,560.0,,,114.7837359,3740
1.5213778018951416,,,60,1779636068.793497,570.0,,,116.0554326,3740
1.5181888341903687,,,61,1779636070.070197,580.0,,,117.332229,3740
1.524085283279419,,,62,1779636071.34707,590.0,,,118.6085001,3740
1.517723560333252,,,63,1779636072.620944,600.0,,,119.8828793,3740
1.5203444957733154,,,64,1779636073.9160426,610.0,,,121.1779774,3740
1.524000883102417,,,65,1779636075.2187545,620.0,,,122.4806899,3740
1.5302218198776245,,,66,1779636076.487823,630.0,,,123.7497866,3740
1.4919650554656982,,,67,1779636077.8096266,640.0,,,125.0726132,3740
1.450462818145752,,,68,1779636079.1187003,650.0,,,126.3806366,3740
1.5060752630233765,,,69,1779636080.4399626,660.0,,,127.7021711,3740
1.4947750568389893,,,70,1779636081.7205296,670.0,,,128.9819598,3740
1.4974710941314697,,,71,1779636083.0056627,680.0,,,130.2675986,3740
1.447394609451294,,,72,1779636084.304618,690.0,,,131.5666765,3740
1.4403810501098633,,,73,1779636085.585056,700.0,,,132.8464862,3740
1.4546641111373901,,,74,1779636086.864295,710.0,,,134.126232,3740
1.4179455041885376,,,75,1779636088.139207,720.0,,,135.4011423,3740
1.449535846710205,,,76,1779636089.4056635,730.0,,,136.6675999,3740
1.4198246002197266,,,77,1779636090.6800883,740.0,,,137.9425778,3740
,,0.0009614856803571157,78,1779636106.342726,750.0,1.5840715169906616,1.3626176118850708,153.6047791,3740
1.4223464727401733,,,79,1779636106.472959,750.0,,,153.7352206,3740
1.4254509210586548,,,80,1779636107.747074,760.0,,,155.0090094,3740
1.428511142730713,,,81,1779636109.0205293,770.0,,,156.2825682,3740
1.4488482475280762,,,82,1779636110.293512,780.0,,,157.5564316,3740
1.4445606470108032,,,83,1779636111.563944,790.0,,,158.8261342,3740
1.4052174091339111,,,84,1779636112.8594618,800.0,,,160.1213996,3740
1.4099842309951782,,,85,1779636114.2272692,810.0,,,161.4892033,3740
1.3890268802642822,,,86,1779636115.6154184,820.0,,,162.8775387,3740
1.4311234951019287,,,87,1779636117.0222778,830.0,,,164.2842145,3740
1.3997684717178345,,,88,1779636118.3729877,840.0,,,165.6351981,3740
1.3928380012512207,,,89,1779636119.727405,850.0,,,166.990018,3740
1.3842157125473022,,,90,1779636121.0844047,860.0,,,168.3465292,3740
1.3853824138641357,,,91,1779636122.4466794,870.0,,,169.7087547,3740
1.4325289726257324,,,92,1779636123.8056064,880.0,,,171.0675612,3740
1.390939712524414,,,93,1779636125.1677814,890.0,,,172.4300055,3740
1.319420337677002,,,94,1779636126.5256524,900.0,,,173.7875875,3740
1.3317607641220093,,,95,1779636127.8666875,910.0,,,175.1286248,3740
1.3825219869613647,,,96,1779636129.2095888,920.0,,,176.4715258,3740
1.3593621253967285,,,97,1779636130.5728762,930.0,,,177.8350196,3740
1.3766783475875854,,,98,1779636131.9312134,940.0,,,179.1933501,3740
1.3501877784729004,,,99,1779636133.3153973,950.0,,,180.5773797,3740
1.3590915203094482,,,100,1779636134.7820382,960.0,,,182.0439745,3740
