iter,_runtime,lr,_step,_timestamp,Sample Generation,val/loss,train/loss,train/step_loss,seed
0.0,12.8337542,9.900990099009901e-06,0,1779638443.1650236,,4.272741317749023,4.272465229034424,,3740
0.0,12.9600485,,1,1779638443.2917051,,,,4.258576393127441,3740
10.0,13.9526716,,2,1779638444.2843525,,,,3.1275155544281006,3740
20.0,14.9407287,,3,1779638445.2724087,,,,2.790346622467041,3740
30.0,15.9396026,,4,1779638446.271285,,,,2.6327476501464844,3740
40.0,16.925319000000002,,5,1779638447.2569747,,,,2.5562329292297363,3740
50.0,17.9233161,,6,1779638448.2549937,,,,2.5188965797424316,3740
60.0,18.906414,,7,1779638449.237121,,,,2.516077995300293,3740
70.0,19.8925216,,8,1779638450.2242022,,,,2.488194227218628,3740
80.0,20.905927900000002,,9,1779638451.2376084,,,,2.5008249282836914,3740
90.0,21.9032479,,10,1779638452.2349308,,,,2.4781088829040527,3740
100.0,22.8978489,,11,1779638453.2296236,,,,2.4428932666778564,3740
110.0,23.9359587,,12,1779638454.2671468,,,,2.4420669078826904,3740
120.0,24.9311734,,13,1779638455.2628555,,,,2.4289517402648926,3740
130.0,25.991184,,14,1779638456.32262,,,,2.4263038635253906,3740
140.0,26.9910246,,15,1779638457.3232121,,,,2.4005045890808105,3740
150.0,28.0487121,,16,1779638458.3803954,,,,2.384190559387207,3740
160.0,29.0656336,,17,1779638459.397315,,,,2.3788042068481445,3740
170.0,30.101734,,18,1779638460.4332771,,,,2.3349554538726807,3740
180.0,31.1457095,,19,1779638461.4772956,,,,2.3147542476654053,3740
190.0,32.1368775,,20,1779638462.4685583,,,,2.312814235687256,3740
200.0,33.1627856,,21,1779638463.4944677,,,,2.26576828956604,3740
210.0,34.1968443,,22,1779638464.5285254,,,,2.2457478046417236,3740
220.0,35.1955344,,23,1779638465.5272174,,,,2.2307686805725098,3740
230.0,36.2059422,,24,1779638466.5375483,,,,2.185276746749878,3740
240.0,37.211542,,25,1779638467.543224,,,,2.1491005420684814,3740
250.0,50.5798595,0.0009979206008271391,26,1779638480.9111042,,2.1393139362335205,2.0474088191986084,,3740
250.0,50.6847695,,27,1779638481.0164504,,,,2.1166837215423584,3740
260.0,51.6844289,,28,1779638482.0151076,,,,2.0758652687072754,3740
270.0,52.6978549,,29,1779638483.0294197,,,,2.058396816253662,3740
280.0,53.7197567,,30,1779638484.0514376,,,,2.0281295776367188,3740
290.0,54.7316552,,31,1779638485.0631814,,,,1.9724130630493164,3740
300.0,55.7308516,,32,1779638486.0622442,,,,1.9625766277313232,3740
310.0,56.7265457,,33,1779638487.0579522,,,,1.916305661201477,3740
320.0,57.7333584,,34,1779638488.0655458,,,,1.958986520767212,3740
330.0,58.7728544,,35,1779638489.104537,,,,1.8687421083450317,3740
340.0,59.7777948,,36,1779638490.10945,,,,1.869847059249878,3740
350.0,60.8111288,,37,1779638491.1428106,,,,1.8531063795089722,3740
360.0,61.8171199,,38,1779638492.1487994,,,,1.828598141670227,3740
370.0,62.8117024,,39,1779638493.1433837,,,,1.8085081577301025,3740
380.0,63.8128186,,40,1779638494.1444998,,,,1.7544949054718018,3740
390.0,64.8145511,,41,1779638495.1456816,,,,1.7571678161621094,3740
400.0,65.8338128,,42,1779638496.165282,,,,1.782458782196045,3740
410.0,66.8276505,,43,1779638497.159332,,,,1.7224024534225464,3740
420.0,67.8308487,,44,1779638498.1625304,,,,1.728613018989563,3740
430.0,68.8282289,,45,1779638499.1599116,,,,1.6889411211013794,3740
440.0,69.8289388,,46,1779638500.1606205,,,,1.689522624015808,3740
450.0,70.8355844,,47,1779638501.1672676,,,,1.6569463014602661,3740
460.0,71.8341146,,48,1779638502.165798,,,,1.6658767461776733,3740
470.0,72.8245094,,49,1779638503.1561923,,,,1.6613539457321167,3740
480.0,73.8184318,,50,1779638504.1501153,,,,1.6666682958602905,3740
490.0,74.8321102,,51,1779638505.1637833,,,,1.6043845415115356,3740
500.0,88.2361823,0.0009852826883675631,52,1779638518.56739,,1.7354410886764526,1.5483523607254028,,3740
500.0,88.3429287,,53,1779638518.6746123,,,,1.641568899154663,3740
510.0,89.3443559,,54,1779638519.675969,,,,1.594486117362976,3740
520.0,90.3487082,,55,1779638520.6801815,,,,1.5901674032211304,3740
530.0,91.3458592,,56,1779638521.676817,,,,1.6022710800170898,3740
540.0,92.3470292,,57,1779638522.6783354,,,,1.610856294631958,3740
550.0,93.3530241,,58,1779638523.6845632,,,,1.5823262929916382,3740
560.0,94.3492164,,59,1779638524.6805718,,,,1.5507832765579224,3740
570.0,95.3484371,,60,1779638525.679935,,,,1.5177603960037231,3740
580.0,96.3661794,,61,1779638526.6978624,,,,1.522806167602539,3740
590.0,97.4087416,,62,1779638527.740393,,,,1.5137637853622437,3740
600.0,98.4013121,,63,1779638528.732995,,,,1.5144401788711548,3740
610.0,99.4007945,,64,1779638529.7323785,,,,1.5199592113494873,3740
620.0,100.4021624,,65,1779638530.73384,,,,1.5217570066452026,3740
630.0,101.395861,,66,1779638531.7269502,,,,1.5157686471939087,3740
640.0,102.3980042,,67,1779638532.7296486,,,,1.4937629699707031,3740
650.0,103.4042655,,68,1779638533.735098,,,,1.451172113418579,3740
660.0,104.406893,,69,1779638534.7385738,,,,1.5066750049591064,3740
670.0,105.4085745,,70,1779638535.7401538,,,,1.4842028617858887,3740
680.0,106.4134381,,71,1779638536.7445266,,,,1.4838652610778809,3740
690.0,107.4139437,,72,1779638537.7456267,,,,1.4558788537979126,3740
700.0,108.411823,,73,1779638538.743506,,,,1.4331094026565552,3740
710.0,109.41681,,74,1779638539.7489974,,,,1.4536094665527344,3740
720.0,110.4511406,,75,1779638540.7820692,,,,1.4084017276763916,3740
730.0,111.4791762,,76,1779638541.8108559,,,,1.445156455039978,3740
740.0,112.5092276,,77,1779638542.8409069,,,,1.4105753898620605,3740
750.0,126.1145333,0.0009614856803571157,78,1779638556.4453332,,1.5785647630691528,1.35487699508667,,3740
750.0,126.2188399,,79,1779638556.5501637,,,,1.4068677425384521,3740
760.0,127.223217,,80,1779638557.554864,,,,1.4147385358810425,3740
770.0,128.2183713,,81,1779638558.549944,,,,1.4208449125289917,3740
780.0,129.2136023,,82,1779638559.5452063,,,,1.4344477653503418,3740
790.0,130.227112,,83,1779638560.5587904,,,,1.4252253770828247,3740
800.0,131.2302334,,84,1779638561.561472,,,,1.400259017944336,3740
810.0,132.2486544,,85,1779638562.5801024,,,,1.40200936794281,3740
820.0,133.2485491,,86,1779638563.5802283,,,,1.3785901069641113,3740
830.0,134.2901364,,87,1779638564.6215436,,,,1.4217603206634521,3740
840.0,135.3283626,,88,1779638565.660045,,,,1.393815279006958,3740
850.0,136.3598681,,89,1779638566.6915507,,,,1.387108564376831,3740
860.0,137.3711079,,90,1779638567.702293,,,,1.3787368535995483,3740
870.0,138.3982553,,91,1779638568.7304428,,,,1.3770654201507568,3740
880.0,139.3988104,,92,1779638569.7309978,,,,1.4257887601852417,3740
890.0,140.4134253,,93,1779638570.7438903,,,,1.3840209245681763,3740
900.0,141.4194388,,94,1779638571.7504752,,,,1.3105151653289795,3740
910.0,142.4308872,,95,1779638572.76257,,,,1.3117058277130127,3740
920.0,143.433467,,96,1779638573.7656546,,,,1.3707239627838135,3740
930.0,144.4305671,,97,1779638574.761184,,,,1.3586984872817993,3740
940.0,145.4377043,,98,1779638575.7693875,,,,1.3809071779251099,3740
950.0,146.4329315,,99,1779638576.7646127,,,,1.3502230644226074,3740
960.0,147.4390411,,100,1779638577.7707236,,,,1.3400790691375732,3740
970.0,148.4735086,,101,1779638578.8041906,,,,1.331794261932373,3740
980.0,149.4993029,,102,1779638579.8309855,,,,1.3135437965393066,3740
990.0,150.5235481,,103,1779638580.8539178,,,,1.3500921726226807,3740
1000.0,164.244853,0.0009271396472013282,104,1779638594.5765357,,1.5066537857055664,1.261071801185608,,3740
1000.0,164.3526768,,105,1779638594.6841757,,,,1.3112701177597046,3740
1010.0,165.3779506,,106,1779638595.7096071,,,,1.3363286256790161,3740
1020.0,166.4104107,,107,1779638596.742091,,,,1.3195585012435913,3740
1030.0,167.4259322,,108,1779638597.7576141,,,,1.3228747844696045,3740
1040.0,168.4980417,,109,1779638598.8297224,,,,1.3153382539749146,3740
1050.0,169.5187534,,110,1779638599.8500798,,,,1.338834524154663,3740
1060.0,170.5540037,,111,1779638600.885626,,,,1.3154493570327759,3740
1070.0,171.5951934,,112,1779638601.9266415,,,,1.3027247190475464,3740
1080.0,172.635678,,113,1779638602.967361,,,,1.2849845886230469,3740
1090.0,173.6787958,,114,1779638604.0104785,,,,1.3071666955947876,3740
1100.0,174.7201719,,115,1779638605.0518537,,,,1.3146936893463135,3740
1110.0,175.7510838,,116,1779638606.0824802,,,,1.2973464727401733,3740
1120.0,176.7697204,,117,1779638607.100768,,,,1.288068413734436,3740
