_runtime,train/step_loss,lr,_timestamp,iter,_step,val/loss,train/loss,Sample Generation,seed
23.999503699999998,,9.900990099009901e-06,1779708067.650285,0.0,0,4.275064468383789,4.282215118408203,,6242
24.1815162,4.266331672668457,,1779708067.832384,0.0,1,,,,6242
25.8248111,2.9799203872680664,,1779708069.4756815,10.0,2,,,,6242
27.463388899999998,2.6233999729156494,,1779708071.1135688,20.0,3,,,,6242
29.1030771,2.4947562217712402,,1779708072.7539134,30.0,4,,,,6242
30.7416107,2.356013059616089,,1779708074.3924792,40.0,5,,,,6242
32.3792682,2.2866432666778564,,1779708076.0301323,50.0,6,,,,6242
34.0194273,2.2374191284179688,,1779708077.6702964,60.0,7,,,,6242
35.6568566,2.192456007003784,,1779708079.3077254,70.0,8,,,,6242
37.2977629,2.1282224655151367,,1779708080.94816,80.0,9,,,,6242
38.9368566,2.106123208999634,,1779708082.5877275,90.0,10,,,,6242
40.5760277,2.072091579437256,,1779708084.2268963,100.0,11,,,,6242
42.2140945,2.0414605140686035,,1779708085.8649602,110.0,12,,,,6242
43.853616,2.001962184906006,,1779708087.5041077,120.0,13,,,,6242
45.4897475,2.001638889312744,,1779708089.140618,130.0,14,,,,6242
47.1278988,1.9437800645828247,,1779708090.7787693,140.0,15,,,,6242
48.7646571,1.8778048753738403,,1779708092.4155252,150.0,16,,,,6242
50.4015956,1.874800205230713,,1779708094.0521636,160.0,17,,,,6242
52.0411684,1.885380744934082,,1779708095.692039,170.0,18,,,,6242
53.6812452,1.8544108867645264,,1779708097.3311281,180.0,19,,,,6242
55.3210371,1.8177746534347534,,1779708098.9719076,190.0,20,,,,6242
56.958488,1.8060147762298584,,1779708100.6088638,200.0,21,,,,6242
58.5973369,1.751639723777771,,1779708102.248206,210.0,22,,,,6242
60.2351816,1.7587993144989014,,1779708103.8860304,220.0,23,,,,6242
61.8747497,1.7301790714263916,,1779708105.525183,230.0,24,,,,6242
63.5141032,1.7498427629470825,,1779708107.1645434,240.0,25,,,,6242
87.9318827,,0.0009979206008271391,1779708131.5818956,250.0,26,1.7949209213256836,1.613120436668396,,6242
88.1006177,1.732959508895874,,1779708131.7513654,250.0,27,,,,6242
89.738616,1.6800594329833984,,1779708133.38848,260.0,28,,,,6242
91.3786704,1.7039129734039307,,1779708135.0286705,270.0,29,,,,6242
93.0178477,1.682889699935913,,1779708136.6687155,280.0,30,,,,6242
94.6600429,1.6776366233825684,,1779708138.3107173,290.0,31,,,,6242
96.2991252,1.6196602582931519,,1779708139.9499967,300.0,32,,,,6242
97.9386684,1.6301672458648682,,1779708141.5893161,310.0,33,,,,6242
99.5763573,1.614160418510437,,1779708143.2269707,320.0,34,,,,6242
101.2128971,1.6276623010635376,,1779708144.863152,330.0,35,,,,6242
102.8548459,1.5771931409835815,,1779708146.5057116,340.0,36,,,,6242
104.4958135,1.5723954439163208,,1779708148.1459167,350.0,37,,,,6242
106.1356033,1.548341155052185,,1779708149.7864568,360.0,38,,,,6242
107.7757614,1.5749951601028442,,1779708151.4266305,370.0,39,,,,6242
109.4151204,1.55572509765625,,1779708153.0658913,380.0,40,,,,6242
111.0570528,1.5498794317245483,,1779708154.7077394,390.0,41,,,,6242
112.6969172,1.5166841745376587,,1779708156.3471942,400.0,42,,,,6242
114.4117596,1.5052050352096558,,1779708158.0626252,410.0,43,,,,6242
116.0926802,1.4998573064804077,,1779708159.7435496,420.0,44,,,,6242
117.7708454,1.5278594493865967,,1779708161.4217181,430.0,45,,,,6242
119.4411095,1.5086885690689087,,1779708163.091833,440.0,46,,,,6242
121.0792143,1.5211453437805176,,1779708164.7298512,450.0,47,,,,6242
122.7184156,1.5097172260284424,,1779708166.369232,460.0,48,,,,6242
124.3551998,1.51334810256958,,1779708168.0059443,470.0,49,,,,6242
126.1033204,1.490191102027893,,1779708169.7539294,480.0,50,,,,6242
127.8656301,1.494468092918396,,1779708171.5163634,490.0,51,,,,6242
153.3420396,,0.0009852826883675631,1779708196.9922955,500.0,52,1.595085620880127,1.3817945718765259,,6242
153.5109419,1.4761909246444702,,1779708197.1618118,500.0,53,,,,6242
155.1567897,1.4560039043426514,,1779708198.8071878,510.0,54,,,,6242
156.872236,1.471993088722229,,1779708200.5231035,520.0,55,,,,6242
158.6563146,1.423319935798645,,1779708202.307185,530.0,56,,,,6242
160.4369983,1.4350016117095947,,1779708204.08787,540.0,57,,,,6242
162.2272403,1.4447060823440552,,1779708205.8781095,550.0,58,,,,6242
163.9521394,1.4368488788604736,,1779708207.6019037,560.0,59,,,,6242
165.6871112,1.4443246126174927,,1779708209.3379827,570.0,60,,,,6242
167.3427755,1.4037187099456787,,1779708210.9926438,580.0,61,,,,6242
169.0167135,1.4183353185653687,,1779708212.6670427,590.0,62,,,,6242
170.6761581,1.3993523120880127,,1779708214.3275335,600.0,63,,,,6242
172.3366977,1.4318145513534546,,1779708215.9874334,610.0,64,,,,6242
173.9840294,1.4277207851409912,,1779708217.63467,620.0,65,,,,6242
175.6322382,1.384093165397644,,1779708219.282338,630.0,66,,,,6242
177.2796194,1.3956096172332764,,1779708220.9304876,640.0,67,,,,6242
178.9253544,1.3826667070388794,,1779708222.5761716,650.0,68,,,,6242
180.5729838,1.3998903036117554,,1779708224.2238505,660.0,69,,,,6242
