val/loss,_timestamp,train/step_loss,Sample Generation,lr,_step,iter,_runtime,train/loss,seed
4.0986785888671875,1779699115.2152894,,,9.900990099009901e-06,0,0.0,12.0577447,4.095602035522461,2026
,1779699115.3178174,4.135627746582031,,,1,0.0,12.1598673,,2026
,1779699116.213576,3.119074583053589,,,2,10.0,13.0556283,,2026
,1779699117.109211,2.7677462100982666,,,3,20.0,13.9512635,,2026
,1779699118.0053506,2.6347122192382812,,,4,30.0,14.8474318,,2026
,1779699118.9045243,2.5792040824890137,,,5,40.0,15.7465761,,2026
,1779699119.807784,2.5280559062957764,,,6,50.0,16.6498364,,2026
,1779699120.706725,2.5098578929901123,,,7,60.0,17.5487964,,2026
,1779699121.6098638,2.4881529808044434,,,8,70.0,18.4519126,,2026
,1779699122.514199,2.4757180213928223,,,9,80.0,19.3562507,,2026
,1779699123.4141457,2.4804341793060303,,,10,90.0,20.2562148,,2026
,1779699124.3166802,2.456038236618042,,,11,100.0,21.1588907,,2026
,1779699125.2196195,2.4538707733154297,,,12,110.0,22.0617982,,2026
,1779699126.1163952,2.407837152481079,,,13,120.0,22.9587042,,2026
,1779699127.0196748,2.4219260215759277,,,14,130.0,23.8622762,,2026
,1779699127.919596,2.4105684757232666,,,15,140.0,24.7616473,,2026
,1779699128.820148,2.37746000289917,,,16,150.0,25.6622007,,2026
,1779699129.7326684,2.385171413421631,,,17,160.0,26.5753334,,2026
,1779699130.6356268,2.373140811920166,,,18,170.0,27.47795,,2026
,1779699131.542339,2.3484721183776855,,,19,180.0,28.3843893,,2026
,1779699132.4436944,2.3141465187072754,,,20,190.0,29.2857427,,2026
,1779699133.3476768,2.28391432762146,,,21,200.0,30.1897497,,2026
,1779699134.2505612,2.242598533630371,,,22,210.0,31.0926308,,2026
,1779699135.1534636,2.2255101203918457,,,23,220.0,31.9958681,,2026
,1779699136.0545254,2.176720142364502,,,24,230.0,32.8965742,,2026
,1779699136.9663048,2.147303342819214,,,25,240.0,33.8089172,,2026
2.149209976196289,1779699149.397343,,,0.0009979206008271391,26,250.0,46.239677,2.0666229724884033,2026
,1779699149.4916875,2.110165596008301,,,27,250.0,46.3337366,,2026
,1779699150.3952796,2.0851402282714844,,,28,260.0,47.2379161,,2026
,1779699151.30921,2.05188250541687,,,29,270.0,48.1512587,,2026
,1779699152.221413,2.0820775032043457,,,30,280.0,49.0636546,,2026
,1779699153.1232548,2.0321881771087646,,,31,290.0,49.9654152,,2026
,1779699154.0320575,1.9898916482925415,,,32,300.0,50.8747097,,2026
,1779699154.9464686,1.9700769186019897,,,33,310.0,51.7885498,,2026
,1779699155.8482432,1.952235460281372,,,34,320.0,52.6902951,,2026
,1779699156.7565596,1.8973534107208252,,,35,330.0,53.5986933,,2026
,1779699157.6599622,1.8777586221694946,,,36,340.0,54.5021566,,2026
,1779699158.5713584,1.853467583656311,,,37,350.0,55.4134307,,2026
,1779699159.4825795,1.8464703559875488,,,38,360.0,56.3254397,,2026
,1779699160.3957658,1.8377448320388794,,,39,370.0,57.2388662,,2026
,1779699161.3019934,1.8244675397872925,,,40,380.0,58.1445898,,2026
,1779699162.205104,1.8254356384277344,,,41,390.0,59.0474158,,2026
,1779699163.114798,1.777763843536377,,,42,400.0,59.9569046,,2026
,1779699164.0238936,1.7398737668991089,,,43,410.0,60.8659415,,2026
,1779699164.9269428,1.7253674268722534,,,44,420.0,61.7689911,,2026
,1779699165.8354611,1.7428135871887207,,,45,430.0,62.6775297,,2026
,1779699166.7412395,1.7014639377593994,,,46,440.0,63.5832873,,2026
,1779699167.6467097,1.6938661336898804,,,47,450.0,64.4887605,,2026
,1779699168.5544474,1.693616271018982,,,48,460.0,65.3964989,,2026
,1779699169.4634085,1.655749797821045,,,49,470.0,66.3054582,,2026
,1779699170.3717523,1.6741831302642822,,,50,480.0,67.2138064,,2026
,1779699171.2788477,1.6067359447479248,,,51,490.0,68.1209346,,2026
1.7416378259658813,1779699183.7516146,,,0.0009852826883675631,52,500.0,80.5941064,1.5516142845153809,2026
,1779699183.8461835,1.6235724687576294,,,53,500.0,80.6882556,,2026
,1779699184.7506003,1.643712043762207,,,54,510.0,81.5927875,,2026
,1779699185.657634,1.5765734910964966,,,55,520.0,82.4996833,,2026
,1779699186.5636606,1.5755832195281982,,,56,530.0,83.4059874,,2026
,1779699187.473232,1.5719194412231445,,,57,540.0,84.3154338,,2026
,1779699188.3825524,1.5895836353302002,,,58,550.0,85.2246039,,2026
,1779699189.2878373,1.5401325225830078,,,59,560.0,86.1301781,,2026
,1779699190.1988432,1.5421775579452515,,,60,570.0,87.0412917,,2026
,1779699191.108613,1.5530802011489868,,,61,580.0,87.9510533,,2026
,1779699192.0174217,1.5580750703811646,,,62,590.0,88.8594729,,2026
,1779699192.9261484,1.5393582582473755,,,63,600.0,89.7682011,,2026
,1779699193.8337321,1.5319501161575317,,,64,610.0,90.6758279,,2026
,1779699194.7436562,1.5480949878692627,,,65,620.0,91.586721,,2026
,1779699195.6947124,1.5123178958892822,,,66,630.0,92.5370189,,2026
,1779699196.6315908,1.5017813444137573,,,67,640.0,93.4740575,,2026
,1779699197.6293716,1.486937403678894,,,68,650.0,94.4717341,,2026
,1779699198.65639,1.5029313564300537,,,69,660.0,95.4985109,,2026
