_step,val/loss,lr,train/loss,Sample Generation,_runtime,iter,_timestamp,train/step_loss,seed
0,4.299291133880615,9.900990099009901e-06,4.306077480316162,,6.3800079,0.0,1779643028.9188702,,3740
1,,,,,6.4330358,0.0,1779643028.971833,4.292972564697266,3740
2,,,,,6.8525785,10.0,1779643029.39194,3.190948486328125,3740
3,,,,,7.2651469,20.0,1779643029.8045046,2.7586121559143066,3740
4,,,,,7.6789982,30.0,1779643030.2183614,2.6249630451202393,3740
5,,,,,8.0982429,40.0,1779643030.6375725,2.575788974761963,3740
6,,,,,8.5213772,50.0,1779643031.0606654,2.5316600799560547,3740
7,,,,,8.9452611,60.0,1779643031.4845865,2.4910950660705566,3740
8,,,,,9.3666776,70.0,1779643031.9059572,2.512108564376831,3740
9,,,,,9.7888839,80.0,1779643032.3277526,2.4634010791778564,3740
10,,,,,10.211458,90.0,1779643032.7508204,2.477736473083496,3740
11,,,,,10.6288772,100.0,1779643033.1682432,2.4090416431427,3740
12,,,,,11.0523029,110.0,1779643033.5914977,2.4389522075653076,3740
13,,,,,11.4767832,120.0,1779643034.015613,2.399137258529663,3740
14,,,,,11.8975059,130.0,1779643034.4368715,2.3859004974365234,3740
15,,,,,12.3266673,140.0,1779643034.8659363,2.3584628105163574,3740
16,,,,,12.7488206,150.0,1779643035.2881815,2.2833151817321777,3740
17,,,,,13.1600135,160.0,1779643035.6992538,2.3048226833343506,3740
18,,,,,13.5821364,170.0,1779643036.1215005,2.239549160003662,3740
19,,,,,14.007669,180.0,1779643036.5453088,2.1909327507019043,3740
20,,,,,14.4333604,190.0,1779643036.972725,2.162872791290283,3740
21,,,,,14.8628223,200.0,1779643037.4019625,2.145129680633545,3740
22,,,,,15.2862022,210.0,1779643037.8255668,2.088563919067383,3740
23,,,,,15.704582,220.0,1779643038.2436268,2.0572335720062256,3740
24,,,,,16.1274566,230.0,1779643038.6667671,2.102520704269409,3740
25,,,,,16.5550805,240.0,1779643039.0944462,2.048231363296509,3740
26,2.055234670639038,0.0009979206008271391,1.9577255249023438,,22.705132,250.0,1779643045.244184,,3740
27,,,,,22.7544212,250.0,1779643045.293688,1.948179841041565,3740
28,,,,,23.1743647,260.0,1779643045.7130952,2.013619899749756,3740
29,,,,,23.597588299999998,270.0,1779643046.1369545,2.011495590209961,3740
30,,,,,24.0180038,280.0,1779643046.5561955,1.9750587940216064,3740
31,,,,,24.4385914,290.0,1779643046.9784622,1.9598135948181152,3740
32,,,,,24.8641498,300.0,1779643047.403515,1.920664668083191,3740
33,,,,,25.2864205,310.0,1779643047.8255272,1.9363746643066406,3740
34,,,,,25.7066573,320.0,1779643048.2453127,1.8607194423675537,3740
35,,,,,26.1326172,330.0,1779643048.6719825,1.8564015626907349,3740
36,,,,,26.5686988,340.0,1779643049.1071918,1.8837897777557373,3740
37,,,,,26.9917558,350.0,1779643049.5311222,1.8552485704421997,3740
38,,,,,27.4143156,360.0,1779643049.9530013,1.8085248470306396,3740
39,,,,,27.8361403,370.0,1779643050.375506,1.7755851745605469,3740
40,,,,,28.2613222,380.0,1779643050.8006866,1.8355143070220947,3740
41,,,,,28.6828279,390.0,1779643051.2219102,1.8050521612167358,3740
42,,,,,29.1075179,400.0,1779643051.6468768,1.7769805192947388,3740
43,,,,,29.5372612,410.0,1779643052.075626,1.7447426319122314,3740
44,,,,,29.9539267,420.0,1779643052.4932413,1.7434232234954834,3740
45,,,,,30.3710733,430.0,1779643052.9103858,1.7427343130111694,3740
46,,,,,30.7970537,440.0,1779643053.3364205,1.7722018957138062,3740
47,,,,,31.2262824,450.0,1779643053.766153,1.6644494533538818,3740
48,,,,,31.6438002,460.0,1779643054.183155,1.7475991249084473,3740
49,,,,,32.0741791,470.0,1779643054.6135447,1.700215220451355,3740
50,,,,,32.5002389,480.0,1779643055.0394688,1.7369972467422485,3740
51,,,,,32.920638,490.0,1779643055.4600003,1.6672059297561646,3740
52,1.7993203401565552,0.0009852826883675631,1.6159117221832275,,39.0670611,500.0,1779643061.605948,,3740
53,,,,,39.1142293,500.0,1779643061.6526957,1.6613236665725708,3740
54,,,,,39.5496937,510.0,1779643062.0890605,1.668708086013794,3740
55,,,,,39.9705691,520.0,1779643062.5104399,1.6777335405349731,3740
56,,,,,40.4022814,530.0,1779643062.941468,1.6761384010314941,3740
57,,,,,40.8334554,540.0,1779643063.37211,1.6984905004501343,3740
58,,,,,41.253141,550.0,1779643063.7922313,1.6676626205444336,3740
59,,,,,41.6699279,560.0,1779643064.2092826,1.6110812425613403,3740
60,,,,,42.0942201,570.0,1779643064.6335204,1.6605141162872314,3740
61,,,,,42.5225891,580.0,1779643065.0617719,1.614298701286316,3740
62,,,,,42.9485104,590.0,1779643065.4878418,1.611493468284607,3740
63,,,,,43.3705339,600.0,1779643065.90987,1.609582543373108,3740
64,,,,,43.7986927,610.0,1779643066.338057,1.6170322895050049,3740
65,,,,,44.2213537,620.0,1779643066.7607393,1.599595069885254,3740
66,,,,,44.647143,630.0,1779643067.1854208,1.5896354913711548,3740
67,,,,,45.0726746,640.0,1779643067.6120412,1.6021854877471924,3740
68,,,,,45.5010792,650.0,1779643068.0400712,1.587235689163208,3740
69,,,,,45.9275199,660.0,1779643068.4662037,1.582413673400879,3740
70,,,,,46.3517659,670.0,1779643068.8908656,1.602502703666687,3740
71,,,,,46.7822549,680.0,1779643069.3210711,1.5684741735458374,3740
72,,,,,47.2064228,690.0,1779643069.7456932,1.568421721458435,3740
73,,,,,47.6368939,700.0,1779643070.176765,1.5779708623886108,3740
74,,,,,48.062706,710.0,1779643070.6020722,1.546568512916565,3740
