val/loss,_timestamp,train/step_loss,iter,train/loss,lr,Sample Generation,_step,_runtime,seed
4.302549839019775,1779710990.3557274,,0.0,4.308450698852539,9.900990099009901e-06,,0,12.7104267,6242
,1779710990.468071,4.301934242248535,0.0,,,,1,12.8221249,6242
,1779710991.4606988,3.121035099029541,10.0,,,,2,13.8145109,6242
,1779710992.4062383,2.7530910968780518,20.0,,,,3,14.7604566,6242
,1779710993.3548021,2.6184301376342773,30.0,,,,4,15.7087135,6242
,1779710994.2992167,2.546739101409912,40.0,,,,5,16.6534535,6242
,1779710995.3143384,2.5259573459625244,50.0,,,,6,17.6681294,6242
,1779710996.3076673,2.503171920776367,60.0,,,,7,18.6622507,6242
,1779710997.3470843,2.4886131286621094,70.0,,,,8,19.7008765,6242
,1779710998.3340387,2.4834842681884766,80.0,,,,9,20.687829,6242
,1779710999.3974104,2.4804325103759766,90.0,,,,10,21.7512037,6242
,1779711000.4938245,2.483508825302124,100.0,,,,11,22.8476173,6242
,1779711001.4603183,2.463466167449951,110.0,,,,12,23.8141095,6242
,1779711002.420319,2.4458959102630615,120.0,,,,13,24.7748932,6242
,1779711003.4478104,2.4043853282928467,130.0,,,,14,25.8016031,6242
,1779711004.4139569,2.3972578048706055,140.0,,,,15,26.7677481,6242
,1779711005.3953075,2.389319896697998,150.0,,,,16,27.749461,6242
,1779711006.4706645,2.3062026500701904,160.0,,,,17,28.8244569,6242
,1779711007.4403696,2.2713890075683594,170.0,,,,18,29.7941587,6242
,1779711008.4371364,2.242299795150757,180.0,,,,19,30.7909272,6242
,1779711009.447462,2.200603723526001,190.0,,,,20,31.8017252,6242
,1779711010.4449487,2.1583988666534424,200.0,,,,21,32.7989144,6242
,1779711011.4439094,2.154749631881714,210.0,,,,22,33.7977013,6242
,1779711012.4619975,2.1356828212738037,220.0,,,,23,34.8157908,6242
,1779711013.4630709,2.130716562271118,230.0,,,,24,35.8168614,6242
,1779711014.4686522,2.1078360080718994,240.0,,,,25,36.8229229,6242
2.0727057456970215,1779711027.8396964,,250.0,1.960581660270691,0.0009979206008271391,,26,50.1934522,6242
,1779711027.9388654,2.1009905338287354,250.0,,,,27,50.2926588,6242
,1779711028.9203143,2.070948600769043,260.0,,,,28,51.2741037,6242
,1779711029.903303,2.0796947479248047,270.0,,,,29,52.2570962,6242
,1779711030.8918848,2.0207953453063965,280.0,,,,30,53.2456787,6242
,1779711031.874866,2.0491466522216797,290.0,,,,31,54.2293742,6242
,1779711032.84394,2.012274742126465,300.0,,,,32,55.1977311,6242
,1779711033.822409,1.959533452987671,310.0,,,,33,56.1764745,6242
,1779711034.830947,1.9883575439453125,320.0,,,,34,57.1853039,6242
,1779711035.8046575,1.9502369165420532,330.0,,,,35,58.1584499,6242
,1779711036.7966866,1.953265905380249,340.0,,,,36,59.1506299,6242
,1779711037.7821307,1.9216389656066895,350.0,,,,37,60.1365936,6242
,1779711038.7567196,1.9294488430023193,360.0,,,,38,61.1106229,6242
,1779711039.7514348,1.926491618156433,370.0,,,,39,62.1052239,6242
,1779711040.732017,1.8972927331924438,380.0,,,,40,63.0858144,6242
,1779711041.715801,1.9315465688705444,390.0,,,,41,64.0705527,6242
,1779711042.703668,1.8767749071121216,400.0,,,,42,65.057459,6242
,1779711043.6884205,1.8629741668701172,410.0,,,,43,66.0427724,6242
,1779711044.674064,1.8524941205978394,420.0,,,,44,67.0279393,6242
,1779711045.6573098,1.837870717048645,430.0,,,,45,68.0111027,6242
,1779711046.642926,1.8359650373458862,440.0,,,,46,68.996719,6242
,1779711047.6374664,1.8095239400863647,450.0,,,,47,69.9915615,6242
,1779711048.626868,1.8272804021835327,460.0,,,,48,70.9806591,6242
,1779711049.620051,1.8168565034866333,470.0,,,,49,71.9740066,6242
,1779711050.6025093,1.8234957456588745,480.0,,,,50,72.9563034,6242
,1779711051.596012,1.766985297203064,490.0,,,,51,73.9498042,6242
1.8074144124984741,1779711065.188427,,500.0,1.6322975158691406,0.0009852826883675631,,52,87.5427148,6242
,1779711065.302606,1.811326026916504,500.0,,,,53,87.6563961,6242
,1779711066.3852487,1.7736825942993164,510.0,,,,54,88.7390661,6242
,1779711067.4290621,1.7823840379714966,520.0,,,,55,89.7828555,6242
