val/loss,_step,Sample Generation,lr,_timestamp,train/loss,train/step_loss,iter,_runtime,seed
4.181488513946533,0,,9.900990099009901e-06,1779702690.141117,4.19017219543457,,0.0,6.3695956,2026
,1,,,1779702690.2022214,,4.221002578735352,0.0,6.4303069,2026
,2,,,1779702690.5978913,,3.1018943786621094,10.0,6.8259744,2026
,3,,,1779702690.995581,,2.771871328353882,20.0,7.2236654,2026
,4,,,1779702691.3910203,,2.6520164012908936,30.0,7.6199059,2026
,5,,,1779702691.7903357,,2.5583224296569824,40.0,8.0184272,2026
,6,,,1779702692.1867697,,2.5414557456970215,50.0,8.4149276,2026
,7,,,1779702692.5828466,,2.4935035705566406,60.0,8.8109355,2026
,8,,,1779702692.977355,,2.4855055809020996,70.0,9.2054435,2026
,9,,,1779702693.371569,,2.471616744995117,80.0,9.5996547,2026
,10,,,1779702693.7677426,,2.462127685546875,90.0,9.9958284,2026
,11,,,1779702694.1658852,,2.4346272945404053,100.0,10.3940867,2026
,12,,,1779702694.5627546,,2.4193687438964844,110.0,10.7908419,2026
,13,,,1779702694.9586303,,2.39481258392334,120.0,11.186716,2026
,14,,,1779702695.355563,,2.3484079837799072,130.0,11.5836467,2026
,15,,,1779702695.7525122,,2.3356804847717285,140.0,11.980595,2026
,16,,,1779702696.150643,,2.3003458976745605,150.0,12.3787287,2026
,17,,,1779702696.544031,,2.252617359161377,160.0,12.7728451,2026
,18,,,1779702696.9385927,,2.2124648094177246,170.0,13.1666804,2026
,19,,,1779702697.3357592,,2.196042060852051,180.0,13.5638457,2026
,20,,,1779702697.7312331,,2.143634796142578,190.0,13.9595039,2026
,21,,,1779702698.1290374,,2.1122074127197266,200.0,14.3571476,2026
,22,,,1779702698.5266573,,2.0752005577087402,210.0,14.754745,2026
,23,,,1779702698.9238799,,2.094947576522827,220.0,15.1520138,2026
,24,,,1779702699.320749,,2.0325076580047607,230.0,15.5498338,2026
,25,,,1779702699.719388,,2.021077871322632,240.0,15.9474715,2026
2.034119129180908,26,,0.0009979206008271391,1779702705.6749346,1.929640293121338,,250.0,21.9031527,2026
,27,,,1779702705.720126,,2.0127127170562744,250.0,21.9482118,2026
,28,,,1779702706.1168664,,2.0053658485412598,260.0,22.3449515,2026
,29,,,1779702706.5128477,,1.957820177078247,270.0,22.7409353,2026
,30,,,1779702706.906372,,1.9505289793014526,280.0,23.1344629,2026
,31,,,1779702707.3038666,,1.8697501420974731,290.0,23.5319527,2026
,32,,,1779702707.7016616,,1.9236423969268799,300.0,23.9292406,2026
,33,,,1779702708.0988145,,1.8578797578811646,310.0,24.3268995,2026
,34,,,1779702708.495419,,1.9129351377487183,320.0,24.7236793,2026
,35,,,1779702708.8930275,,1.855750322341919,330.0,25.1211282,2026
,36,,,1779702709.2893455,,1.8185296058654785,340.0,25.5176357,2026
,37,,,1779702709.6876748,,1.8232651948928833,350.0,25.9160287,2026
,38,,,1779702710.0855913,,1.8698924779891968,360.0,26.3136773,2026
,39,,,1779702710.4819076,,1.7906134128570557,370.0,26.710682,2026
,40,,,1779702710.8776379,,1.8066234588623047,380.0,27.1057243,2026
,41,,,1779702711.2730238,,1.7844066619873047,390.0,27.5017773,2026
,42,,,1779702711.671294,,1.7700603008270264,400.0,27.8993792,2026
,43,,,1779702712.0686858,,1.791341781616211,410.0,28.2968472,2026
,44,,,1779702712.4646251,,1.7655138969421387,420.0,28.6935891,2026
,45,,,1779702712.8629053,,1.7389435768127441,430.0,29.0910166,2026
,46,,,1779702713.2596803,,1.7261937856674194,440.0,29.4877698,2026
,47,,,1779702713.6561177,,1.707090139389038,450.0,29.8842029,2026
,48,,,1779702714.0554433,,1.7225908041000366,460.0,30.283528,2026
,49,,,1779702714.4530468,,1.7255278825759888,470.0,30.6811332,2026
,50,,,1779702714.8505828,,1.6684495210647583,480.0,31.0788152,2026
,51,,,1779702715.2479024,,1.6842204332351685,490.0,31.4761179,2026
1.790836215019226,52,,0.0009852826883675631,1779702721.171527,1.600083589553833,,500.0,37.3998938,2026
,53,,,1779702721.2163055,,1.6672114133834839,500.0,37.445245,2026
,54,,,1779702721.612106,,1.669238567352295,510.0,37.8401916,2026
,55,,,1779702722.007621,,1.6742068529129028,520.0,38.2357049,2026
,56,,,1779702722.405181,,1.6403062343597412,530.0,38.6334683,2026
,57,,,1779702722.8024266,,1.6281813383102417,540.0,39.0305424,2026
,58,,,1779702723.2001584,,1.6199026107788086,550.0,39.4282455,2026
,59,,,1779702723.5971613,,1.6066186428070068,560.0,39.8255071,2026
,60,,,1779702723.9963467,,1.6137948036193848,570.0,40.2244332,2026
,61,,,1779702724.3930337,,1.6197803020477295,580.0,40.6217928,2026
,62,,,1779702724.7902114,,1.6035927534103394,590.0,41.0184745,2026
,63,,,1779702725.187704,,1.6458842754364014,600.0,41.4158169,2026
,64,,,1779702725.5830634,,1.6158326864242554,610.0,41.8111478,2026
,65,,,1779702725.9776094,,1.5856698751449585,620.0,42.2064359,2026
,66,,,1779702726.3732932,,1.595214605331421,630.0,42.6013788,2026
,67,,,1779702726.7722127,,1.6228454113006592,640.0,43.0004586,2026
,68,,,1779702727.170662,,1.5693570375442505,650.0,43.3987474,2026
,69,,,1779702727.5669935,,1.6030000448226929,660.0,43.7956304,2026
,70,,,1779702727.964782,,1.5685971975326538,670.0,44.1928691,2026
,71,,,1779702728.3629837,,1.5824646949768066,680.0,44.5910987,2026
,72,,,1779702728.760303,,1.5719327926635742,690.0,44.9883897,2026
,73,,,1779702729.1576416,,1.5470726490020752,700.0,45.3857268,2026
,74,,,1779702729.5548186,,1.5602728128433228,710.0,45.7829408,2026
,75,,,1779702729.9507077,,1.5262682437896729,720.0,46.1787916,2026
,76,,,1779702730.3464363,,1.525867223739624,730.0,46.5745257,2026
,77,,,1779702730.7420204,,1.578721523284912,740.0,46.9701076,2026
1.6641180515289307,78,,0.0009614856803571157,1779702736.67511,1.4560868740081787,,750.0,52.9042057,2026
,79,,,1779702736.7213,,1.5273840427398682,750.0,52.9493842,2026
,80,,,1779702737.115506,,1.508014440536499,760.0,53.3435935,2026
,81,,,1779702737.510485,,1.5440411567687988,770.0,53.738826,2026
,82,,,1779702737.9080217,,1.5357662439346313,780.0,54.13615,2026
,83,,,1779702738.3056815,,1.5238122940063477,790.0,54.5340409,2026
,84,,,1779702738.7032373,,1.5230356454849243,800.0,54.9313236,2026
,85,,,1779702739.1009192,,1.5127570629119873,810.0,55.3291452,2026
,86,,,1779702739.4983432,,1.518920660018921,820.0,55.7265035,2026
,87,,,1779702739.8946612,,1.4430310726165771,830.0,56.1227469,2026
,88,,,1779702740.2920654,,1.464048147201538,840.0,56.5201566,2026
,89,,,1779702740.6882505,,1.5137720108032227,850.0,56.9172101,2026
,90,,,1779702741.0865715,,1.494824767112732,860.0,57.3146546,2026
,91,,,1779702741.4812648,,1.524823546409607,870.0,57.7096319,2026
,92,,,1779702741.8775895,,1.4626166820526123,880.0,58.1056768,2026
,93,,,1779702742.2755587,,1.4587322473526,890.0,58.5036438,2026
,94,,,1779702742.6720512,,1.455974817276001,900.0,58.9001366,2026
,95,,,1779702743.068429,,1.4773962497711182,910.0,59.2965132,2026
,96,,,1779702743.46605,,1.424453616142273,920.0,59.6941379,2026
,97,,,1779702743.8629618,,1.4447749853134155,930.0,60.0914356,2026
,98,,,1779702744.2608964,,1.467380404472351,940.0,60.4889814,2026
,99,,,1779702744.6570888,,1.4859429597854614,950.0,60.8851741,2026
,100,,,1779702745.0543296,,1.4441736936569214,960.0,61.2827938,2026
,101,,,1779702745.4482849,,1.4449880123138428,970.0,61.6767612,2026
,102,,,1779702745.844286,,1.4271526336669922,980.0,62.0729204,2026
,103,,,1779702746.24145,,1.4447693824768066,990.0,62.4702454,2026
1.5960111618041992,104,,0.0009271396472013282,1779702752.1416202,1.3780382871627808,,1000.0,68.3703765,2026
,105,,,1779702752.1874793,,1.4514029026031494,1000.0,68.4155831,2026
,106,,,1779702752.5861537,,1.4707469940185547,1010.0,68.8142383,2026
,107,,,1779702752.9814916,,1.4486799240112305,1020.0,69.2095895,2026
,108,,,1779702753.3778296,,1.4264156818389893,1030.0,69.6059169,2026
,109,,,1779702753.7737217,,1.4438588619232178,1040.0,70.0018161,2026
,110,,,1779702754.171679,,1.4224802255630493,1050.0,70.3997627,2026
,111,,,1779702754.5687587,,1.4140582084655762,1060.0,70.7974487,2026
,112,,,1779702754.9669266,,1.4285221099853516,1070.0,71.1950113,2026
,113,,,1779702755.3631217,,1.4489673376083374,1080.0,71.591207,2026
,114,,,1779702755.760606,,1.4346084594726562,1090.0,71.9887023,2026
,115,,,1779702756.156641,,1.4595837593078613,1100.0,72.385374,2026
,116,,,1779702756.5513558,,1.3958622217178345,1110.0,72.7804101,2026
,117,,,1779702756.9475482,,1.3539679050445557,1120.0,73.1756372,2026
,118,,,1779702757.3437936,,1.4283806085586548,1130.0,73.5718805,2026
,119,,,1779702757.7400095,,1.3848143815994263,1140.0,73.9681177,2026
,120,,,1779702758.1381276,,1.403328537940979,1150.0,74.366707,2026
,121,,,1779702758.5348556,,1.3876092433929443,1160.0,74.7629416,2026
,122,,,1779702758.9330795,,1.402367115020752,1170.0,75.1611661,2026
,123,,,1779702759.330395,,1.3968303203582764,1180.0,75.5584847,2026
,124,,,1779702759.72686,,1.3930037021636963,1190.0,75.9551005,2026
,125,,,1779702760.1247187,,1.3986783027648926,1200.0,76.3528054,2026
,126,,,1779702760.5216203,,1.3986318111419678,1210.0,76.7497193,2026
,127,,,1779702760.916019,,1.4155323505401611,1220.0,77.144222,2026
,128,,,1779702761.3117833,,1.367661476135254,1230.0,77.5399514,2026
,129,,,1779702761.7089148,,1.433434009552002,1240.0,77.9370002,2026
1.553175926208496,130,,0.000883125098683892,1779702767.618617,1.3224928379058838,,1250.0,83.8467004,2026
,131,,,1779702767.6636887,,1.3828423023223877,1250.0,83.8917994,2026
,132,,,1779702768.0588572,,1.3597606420516968,1260.0,84.2869434,2026
,133,,,1779702768.45317,,1.3789821863174438,1270.0,84.6814943,2026
,134,,,1779702768.8470001,,1.4032983779907227,1280.0,85.0754669,2026
,135,,,1779702769.2448006,,1.402999997138977,1290.0,85.473652,2026
,136,,,1779702769.6427686,,1.373376488685608,1300.0,85.8703476,2026
,137,,,1779702770.0410056,,1.3772594928741455,1310.0,86.2690914,2026
,138,,,1779702770.4386563,,1.3867290019989014,1320.0,86.6667411,2026
,139,,,1779702770.835754,,1.370455265045166,1330.0,87.0640826,2026
,140,,,1779702771.2331498,,1.35603928565979,1340.0,87.4612496,2026
,141,,,1779702771.6313028,,1.3823292255401611,1350.0,87.8593862,2026
,142,,,1779702772.0290337,,1.3845877647399902,1360.0,88.2571168,2026
,143,,,1779702772.4259665,,1.356269121170044,1370.0,88.6546492,2026
,144,,,1779702772.8251066,,1.3845295906066895,1380.0,89.0531923,2026
,145,,,1779702773.21991,,1.382158637046814,1390.0,89.4486431,2026
,146,,,1779702773.6156971,,1.3586249351501465,1400.0,89.8437796,2026
,147,,,1779702774.0112197,,1.3377041816711426,1410.0,90.2393039,2026
,148,,,1779702774.4066331,,1.3665038347244263,1420.0,90.6354489,2026
,149,,,1779702774.8038864,,1.3351542949676514,1430.0,91.032869,2026
,150,,,1779702775.2011473,,1.4021990299224854,1440.0,91.4293816,2026
,151,,,1779702775.6005158,,1.344986915588379,1450.0,91.8286038,2026
,152,,,1779702775.9975805,,1.2863385677337646,1460.0,92.2257843,2026
,153,,,1779702776.3944952,,1.2817049026489258,1470.0,92.6234619,2026
,154,,,1779702776.79187,,1.3377012014389038,1480.0,93.0199798,2026
,155,,,1779702777.1883204,,1.3230855464935303,1490.0,93.4164053,2026
1.5130088329315186,156,,0.0008305704108364302,1779702783.1127923,1.2766987085342407,,1500.0,99.3409385,2026
,157,,,1779702783.15761,,1.2933048009872437,1500.0,99.3857561,2026
,158,,,1779702783.55312,,1.347118616104126,1510.0,99.7812043,2026
,159,,,1779702783.9474113,,1.3471527099609375,1520.0,100.1764009,2026
,160,,,1779702784.3448021,,1.3732064962387085,1530.0,100.5728908,2026
,161,,,1779702784.7413516,,1.361048936843872,1540.0,100.9694372,2026
,162,,,1779702785.13835,,1.3162524700164795,1550.0,101.3664358,2026
,163,,,1779702785.534555,,1.3189839124679565,1560.0,101.762934,2026
,164,,,1779702785.9323063,,1.322121262550354,1570.0,102.1606287,2026
,165,,,1779702786.3282108,,1.3684684038162231,1580.0,102.5562966,2026
,166,,,1779702786.7244425,,1.340771198272705,1590.0,102.9525266,2026
,167,,,1779702787.1191094,,1.3018015623092651,1600.0,103.3471969,2026
,168,,,1779702787.5145123,,1.3072845935821533,1610.0,103.7425963,2026
,169,,,1779702787.9095857,,1.3359348773956299,1620.0,104.1378198,2026
,170,,,1779702788.3069143,,1.3158594369888306,1630.0,104.5350009,2026
,171,,,1779702788.7044904,,1.3114900588989258,1640.0,104.9325753,2026
,172,,,1779702789.1008706,,1.3069374561309814,1650.0,105.3294504,2026
,173,,,1779702789.4994562,,1.3036174774169922,1660.0,105.7275701,2026
,174,,,1779702789.8951576,,1.341503381729126,1670.0,106.1232405,2026
,175,,,1779702790.2904692,,1.3256996870040894,1680.0,106.518681,2026
,176,,,1779702790.685186,,1.3122618198394775,1690.0,106.9132779,2026
,177,,,1779702791.0811932,,1.2705589532852173,1700.0,107.3092783,2026
,178,,,1779702791.477647,,1.3064254522323608,1710.0,107.7058158,2026
,179,,,1779702791.873601,,1.330163598060608,1720.0,108.101963,2026
,180,,,1779702792.2710643,,1.2925479412078857,1730.0,108.4986432,2026
,181,,,1779702792.6677763,,1.3063278198242188,1740.0,108.8959658,2026
1.5060306787490845,182,,0.0007708228984017721,1779702798.6020746,1.246842622756958,,1750.0,114.8302211,2026
,183,,,1779702798.6450355,,1.311336636543274,1750.0,114.8731182,2026
,184,,,1779702799.0417066,,1.3006422519683838,1760.0,115.2697908,2026
,185,,,1779702799.439239,,1.2744510173797607,1770.0,115.6674819,2026
,186,,,1779702799.838531,,1.3501813411712646,1780.0,116.0668136,2026
,187,,,1779702800.235115,,1.3012828826904297,1790.0,116.4637484,2026
,188,,,1779702800.6334395,,1.3116346597671509,1800.0,116.8615284,2026
,189,,,1779702801.0305486,,1.2953052520751953,1810.0,117.258823,2026
,190,,,1779702801.427387,,1.2716931104660034,1820.0,117.6554739,2026
,191,,,1779702801.824763,,1.3179607391357422,1830.0,118.0528537,2026
,192,,,1779702802.219683,,1.285008192062378,1840.0,118.4484875,2026
,193,,,1779702802.614959,,1.3435940742492676,1850.0,118.8434483,2026
,194,,,1779702803.0128162,,1.2965584993362427,1860.0,119.2409418,2026
,195,,,1779702803.4105897,,1.3084417581558228,1870.0,119.6386749,2026
,196,,,1779702803.807484,,1.2876708507537842,1880.0,120.0355682,2026
,197,,,1779702804.204646,,1.2623785734176636,1890.0,120.4328233,2026
,198,,,1779702804.601533,,1.2864748239517212,1900.0,120.8301717,2026
,199,,,1779702804.9975662,,1.3052868843078613,1910.0,121.2265964,2026
,200,,,1779702805.393905,,1.3256897926330566,1920.0,121.622993,2026
,201,,,1779702805.7922492,,1.2534881830215454,1930.0,122.0207477,2026
,202,,,1779702806.189533,,1.2902590036392212,1940.0,122.417616,2026
,203,,,1779702806.5856266,,1.2847034931182861,1950.0,122.8143124,2026
,204,,,1779702806.9849825,,1.262044906616211,1960.0,123.2130678,2026
,205,,,1779702807.3835318,,1.2797843217849731,1970.0,123.6116172,2026
,206,,,1779702807.7815425,,1.2998343706130981,1980.0,124.009659,2026
,207,,,1779702808.179181,,1.2696043252944946,1990.0,124.4072664,2026
1.5011978149414062,208,,0.0007054142744895884,1779702814.1004126,1.2128615379333496,,2000.0,130.3279916,2026
,209,,,1779702814.1444287,,1.257627010345459,2000.0,130.3725433,2026
,210,,,1779702814.541182,,1.2917041778564453,2010.0,130.7692838,2026
,211,,,1779702814.9380248,,1.2904356718063354,2020.0,131.1661109,2026
,212,,,1779702815.335309,,1.2982287406921387,2030.0,131.5635264,2026
,213,,,1779702815.7329674,,1.283992052078247,2040.0,131.9611628,2026
,214,,,1779702816.1297576,,1.2654274702072144,2050.0,132.3580202,2026
,215,,,1779702816.5248282,,1.2811837196350098,2060.0,132.7534085,2026
,216,,,1779702816.9217722,,1.2725694179534912,2070.0,133.1498802,2026
,217,,,1779702817.3187292,,1.3033367395401,2080.0,133.5470709,2026
,218,,,1779702817.7142074,,1.2825607061386108,2090.0,133.9422929,2026
,219,,,1779702818.1145537,,1.2732328176498413,2100.0,134.3426385,2026
,220,,,1779702818.5217354,,1.2706948518753052,2110.0,134.7498207,2026
,221,,,1779702818.9173186,,1.2358269691467285,2120.0,135.1454073,2026
,222,,,1779702819.3145728,,1.2468630075454712,2130.0,135.5426563,2026
,223,,,1779702819.7125924,,1.259222388267517,2140.0,135.9408571,2026
,224,,,1779702820.1187756,,1.2524515390396118,2150.0,136.3468636,2026
,225,,,1779702820.5176873,,1.2415238618850708,2160.0,136.745773,2026
,226,,,1779702820.9168594,,1.259476900100708,2170.0,137.1449454,2026
,227,,,1779702821.3152354,,1.2629356384277344,2180.0,137.5433207,2026
,228,,,1779702821.712737,,1.2526222467422485,2190.0,137.9410111,2026
,229,,,1779702822.1114209,,1.2345267534255981,2200.0,138.3395071,2026
,230,,,1779702822.5085566,,1.2292406558990479,2210.0,138.7368841,2026
,231,,,1779702822.9056814,,1.2550878524780273,2220.0,139.1337667,2026
,232,,,1779702823.3043168,,1.252260684967041,2230.0,139.532402,2026
,233,,,1779702823.701647,,1.215302586555481,2240.0,139.9297303,2026
1.4786791801452637,234,,0.0006360213829156177,1779702829.655089,1.1765401363372803,,2250.0,145.8831418,2026
,235,,,1779702829.7000756,,1.21811842918396,2250.0,145.9281583,2026
,236,,,1779702830.0972157,,1.2738351821899414,2260.0,146.3253011,2026
,237,,,1779702830.4914725,,1.2350986003875732,2270.0,146.719939,2026
,238,,,1779702830.8864977,,1.275225281715393,2280.0,147.1145829,2026
,239,,,1779702831.2827115,,1.252259373664856,2290.0,147.5107992,2026
,240,,,1779702831.6784172,,1.2401624917984009,2300.0,147.9074025,2026
,241,,,1779702832.07755,,1.2496998310089111,2310.0,148.3056387,2026
,242,,,1779702832.4743423,,1.2346431016921997,2320.0,148.70242819999999,2026
,243,,,1779702832.8700278,,1.2858190536499023,2330.0,149.0983913,2026
,244,,,1779702833.2690914,,1.225684642791748,2340.0,149.4973218,2026
,245,,,1779702833.6707916,,1.251926302909851,2350.0,149.8988778,2026
,246,,,1779702834.070581,,1.2210516929626465,2360.0,150.2986893,2026
,247,,,1779702834.467826,,1.2441226243972778,2370.0,150.6967591,2026
,248,,,1779702834.8657987,,1.2305091619491577,2380.0,151.0943666,2026
,249,,,1779702835.2658863,,1.2288436889648438,2390.0,151.4946006,2026
,250,,,1779702835.6675663,,1.2150447368621826,2400.0,151.8956824,2026
,251,,,1779702836.0655773,,1.2507463693618774,2410.0,152.2939726,2026
,252,,,1779702836.4611416,,1.2583503723144531,2420.0,152.6892266,2026
,253,,,1779702836.8568366,,1.229068636894226,2430.0,153.0854837,2026
,254,,,1779702837.2528665,,1.216931939125061,2440.0,153.4809521,2026
,255,,,1779702837.6503215,,1.217354416847229,2450.0,153.8784068,2026
,256,,,1779702838.0500405,,1.1988743543624878,2460.0,154.2781255,2026
,257,,,1779702838.4483268,,1.2391775846481323,2470.0,154.6764322,2026
,258,,,1779702838.8453567,,1.2368028163909912,2480.0,155.0734415,2026
,259,,,1779702839.2451077,,1.2246607542037964,2490.0,155.4731925,2026
1.4848535060882568,260,,0.000564423209907245,1779702845.1853988,1.155358076095581,,2500.0,161.4136725,2026
,261,,,1779702845.228241,,1.1790345907211304,2500.0,161.4563241,2026
,262,,,1779702845.6235154,,1.2055671215057373,2510.0,161.851889,2026
,263,,,1779702846.0214117,,1.1834797859191895,2520.0,162.2495001,2026
,264,,,1779702846.4175928,,1.2409279346466064,2530.0,162.6456761,2026
,265,,,1779702846.8176038,,1.2089813947677612,2540.0,163.0459498,2026
,266,,,1779702847.2204287,,1.2011542320251465,2550.0,163.4492713,2026
,267,,,1779702847.617661,,1.1988037824630737,2560.0,163.8459826,2026
,268,,,1779702848.0157802,,1.2553706169128418,2570.0,164.2438693,2026
,269,,,1779702848.4168417,,1.2082278728485107,2580.0,164.6451384,2026
,270,,,1779702848.8141024,,1.2291431427001953,2590.0,165.0421896,2026
,271,,,1779702849.2134156,,1.206560492515564,2600.0,165.4415031,2026
,272,,,1779702849.6178536,,1.2065317630767822,2610.0,165.8468527,2026
,273,,,1779702850.0192266,,1.230994701385498,2620.0,166.2473108,2026
,274,,,1779702850.417895,,1.2084717750549316,2630.0,166.6459795,2026
,275,,,1779702850.814504,,1.1694672107696533,2640.0,167.0427346,2026
,276,,,1779702851.220922,,1.2293423414230347,2650.0,167.4490093,2026
,277,,,1779702851.6196194,,1.2172538042068481,2660.0,167.8477034,2026
,278,,,1779702852.01914,,1.201806902885437,2670.0,168.247225,2026
,279,,,1779702852.4178307,,1.2006611824035645,2680.0,168.6459508,2026
,280,,,1779702852.8139293,,1.1745893955230713,2690.0,169.0428303,2026
,281,,,1779702853.2113588,,1.2078627347946167,2700.0,169.4398541,2026
