train/step_loss,val/loss,lr,_step,_runtime,iter,_timestamp,train/loss,Sample Generation,seed
,4.174869537353516,9.900990099009901e-06,0,15.4321262,0.0,1779633789.9899647,4.1730265617370605,,3740
4.189957618713379,,,1,15.5512075,0.0,1779633790.1098948,,,3740
2.993513584136963,,,2,16.613287,10.0,1779633791.1713781,,,3740
2.6766743659973145,,,3,17.6725811,20.0,1779633792.2308838,,,3740
2.5716516971588135,,,4,18.7345969,30.0,1779633793.2929852,,,3740
2.532573699951172,,,5,19.796277,40.0,1779633794.3546875,,,3740
2.4226577281951904,,,6,20.855124,50.0,1779633795.4135458,,,3740
2.3629238605499268,,,7,21.9129805,60.0,1779633796.4714117,,,3740
2.303797721862793,,,8,22.9735881,70.0,1779633797.5320966,,,3740
2.2374439239501953,,,9,24.0348957,80.0,1779633798.5929625,,,3740
2.181217670440674,,,10,25.0950513,90.0,1779633799.6531816,,,3740
2.1213698387145996,,,11,26.1560594,100.0,1779633800.7145746,,,3740
2.06300950050354,,,12,27.2168342,110.0,1779633801.774748,,,3740
2.0367326736450195,,,13,28.2767542,120.0,1779633802.8354404,,,3740
1.9902299642562866,,,14,29.3379399,130.0,1779633803.896627,,,3740
1.935861349105835,,,15,30.3975265,140.0,1779633804.9557407,,,3740
1.9337915182113647,,,16,31.4549393,150.0,1779633806.01351,,,3740
1.907832384109497,,,17,32.5190509,160.0,1779633807.0777361,,,3740
1.8538999557495117,,,18,33.5807264,170.0,1779633808.1385825,,,3740
1.782806158065796,,,19,34.6407255,180.0,1779633809.1991606,,,3740
1.847802758216858,,,20,35.7051994,190.0,1779633810.2633572,,,3740
1.794488549232483,,,21,36.7686231,200.0,1779633811.32731,,,3740
1.7481422424316406,,,22,37.8369159,210.0,1779633812.3956022,,,3740
1.7334872484207153,,,23,38.9022265,220.0,1779633813.4609146,,,3740
1.7243837118148804,,,24,39.9631259,230.0,1779633814.52176,,,3740
1.6855387687683105,,,25,41.0330824,240.0,1779633815.5917673,,,3740
,1.7841256856918335,0.0009979206008271391,26,56.6276339,250.0,1779633831.1846645,1.6016182899475098,,3740
1.6940628290176392,,,27,56.7380896,250.0,1779633831.2967741,,,3740
