train/loss,iter,_step,_runtime,val/loss,train/step_loss,Sample Generation,lr,_timestamp,seed
4.273728847503662,0.0,0,12.7512063,4.273788928985596,,,9.900990099009901e-06,1779637659.4995499,3740
,0.0,1,12.8667436,,4.261909484863281,,,1779637659.615856,3740
,10.0,2,13.88297,,3.128148317337036,,,1779637660.6320877,3740
,20.0,3,14.8970757,,2.7788848876953125,,,1779637661.6466997,3740
,30.0,4,15.9050296,,2.6324808597564697,,,1779637662.653724,3740
,40.0,5,16.9120532,,2.55593204498291,,,1779637663.6611724,3740
,50.0,6,17.916593,,2.523513078689575,,,1779637664.6647127,3740
,60.0,7,18.925603,,2.5192713737487793,,,1779637665.6747227,3740
,70.0,8,19.9411025,,2.488908290863037,,,1779637666.6902208,3740
,80.0,9,20.9469097,,2.5059332847595215,,,1779637667.6959887,3740
,90.0,10,21.9647742,,2.479790210723877,,,1779637668.7137089,3740
,100.0,11,22.9803649,,2.445181369781494,,,1779637669.729484,3740
,110.0,12,23.9870757,,2.4403328895568848,,,1779637670.7361438,3740
,120.0,13,25.0072431,,2.418466806411743,,,1779637671.7562733,3740
,130.0,14,26.0251388,,2.4229695796966553,,,1779637672.7742584,3740
,140.0,15,27.0378506,,2.3798911571502686,,,1779637673.7869701,3740
,150.0,16,28.0544566,,2.344813585281372,,,1779637674.8033662,3740
,160.0,17,29.0731841,,2.3153977394104004,,,1779637675.822303,3740
,170.0,18,30.0818883,,2.2327635288238525,,,1779637676.8315127,3740
,180.0,19,31.108838,,2.2055788040161133,,,1779637677.8578968,3740
,190.0,20,32.1184008,,2.1956207752227783,,,1779637678.8674712,3740
,200.0,21,33.141891,,2.1798205375671387,,,1779637679.8910072,3740
,210.0,22,34.1691469,,2.1594204902648926,,,1779637680.91824,3740
,220.0,23,35.1869111,,2.1272449493408203,,,1779637681.936029,3740
,230.0,24,36.2134373,,2.1009879112243652,,,1779637682.962557,3740
,240.0,25,37.234179,,2.0884993076324463,,,1779637683.9832969,3740
1.9525319337844849,250.0,26,50.7281308,2.0603373050689697,,,0.0009979206008271391,1779637697.4768922,3740
,250.0,27,50.8392042,,2.0716168880462646,,,1779637697.5883222,3740
,260.0,28,51.8624918,,2.051085948944092,,,1779637698.6115444,3740
,270.0,29,52.8854603,,2.0537452697753906,,,1779637699.6345797,3740
,280.0,30,53.9044513,,2.030031681060791,,,1779637700.6535695,3740
,290.0,31,54.9166755,,1.99457848072052,,,1779637701.665795,3740
,300.0,32,55.9312249,,2.005178451538086,,,1779637702.6803403,3740
,310.0,33,56.9686287,,1.9562103748321533,,,1779637703.7177494,3740
,320.0,34,57.9872274,,2.005101203918457,,,1779637704.7363448,3740
,330.0,35,59.0077584,,1.9471327066421509,,,1779637705.7567115,3740
,340.0,36,60.0275356,,1.9546750783920288,,,1779637706.7766557,3740
,350.0,37,61.0435253,,1.9409689903259277,,,1779637707.792646,3740
,360.0,38,62.0611707,,1.9251936674118042,,,1779637708.8102696,3740
,370.0,39,63.0856505,,1.9180326461791992,,,1779637709.8347702,3740
,380.0,40,64.1095107,,1.8615435361862183,,,1779637710.8586285,3740
