Sample Generation,_timestamp,train/loss,iter,val/loss,lr,_step,_runtime,train/step_loss,seed
,1779623840.171951,4.239432334899902,0.0,4.238440990447998,9.900990099009901e-06,0,12.3802637,,3242
,1779623840.2798047,,0.0,,,1,12.487848,4.235175132751465,3242
,1779623841.1936245,,10.0,,,2,13.4016719,3.1482326984405518,3242
,1779623842.1201918,,20.0,,,3,14.3292086,2.782414436340332,3242
,1779623843.0394206,,30.0,,,4,15.2478774,2.6108222007751465,3242
,1779623843.9548469,,40.0,,,5,16.162893,2.5639405250549316,3242
,1779623844.8736763,,50.0,,,6,17.081787,2.543060541152954,3242
,1779623845.7961838,,60.0,,,7,18.0047872,2.490571975708008,3242
,1779623846.7118511,,70.0,,,8,18.9199305,2.49253511428833,3242
,1779623847.6323428,,80.0,,,9,19.8414171,2.4849276542663574,3242
,1779623848.5576077,,90.0,,,10,20.7668041,2.491326093673706,3242
,1779623849.4799967,,100.0,,,11,21.6881586,2.4621031284332275,3242
,1779623850.3954263,,110.0,,,12,22.603648,2.472599506378174,3242
,1779623851.3124971,,120.0,,,13,23.5208677,2.446749687194824,3242
,1779623852.2389343,,130.0,,,14,24.4478631,2.4235265254974365,3242
,1779623853.166073,,140.0,,,15,25.3741502,2.3985514640808105,3242
,1779623854.0823948,,150.0,,,16,26.2912133,2.3461649417877197,3242
,1779623855.021385,,160.0,,,17,27.2295846,2.3351688385009766,3242
,1779623855.9446826,,170.0,,,18,28.1532237,2.2784290313720703,3242
,1779623856.8661115,,180.0,,,19,29.0741574,2.228830575942993,3242
,1779623857.7897973,,190.0,,,20,29.9978421,2.1928858757019043,3242
,1779623858.7133174,,200.0,,,21,30.9213623,2.1706669330596924,3242
,1779623859.6312103,,210.0,,,22,31.8393224,2.151357889175415,3242
,1779623860.5575101,,220.0,,,23,32.7655591,2.139857530593872,3242
,1779623861.4886086,,230.0,,,24,33.6966585,2.1118123531341553,3242
,1779623862.4190972,,240.0,,,25,34.6276891,2.110992908477783,3242
,1779623874.9057941,1.939632534980774,250.0,2.050869941711426,0.0009979206008271391,26,47.1146567,,3242
,1779623875.0013268,,250.0,,,27,47.209534,2.0678677558898926,3242
,1779623875.9161751,,260.0,,,28,48.1244472,2.069272041320801,3242
,1779623876.8382533,,270.0,,,29,49.0462973,2.043790340423584,3242
,1779623877.7618299,,280.0,,,30,49.970025,2.0200154781341553,3242
,1779623878.6891162,,290.0,,,31,50.8971669,2.0364534854888916,3242
,1779623879.6054456,,300.0,,,32,51.8142174,2.0285284519195557,3242
,1779623880.52613,,310.0,,,33,52.7341859,2.006030321121216,3242
,1779623881.4355822,,320.0,,,34,53.6436904,1.9432156085968018,3242
,1779623882.3557377,,330.0,,,35,54.5638267,1.9316238164901733,3242
,1779623883.2728136,,340.0,,,36,55.4810058,1.9503945112228394,3242
,1779623884.1851325,,350.0,,,37,56.3948065,1.9369516372680664,3242
,1779623885.0981064,,360.0,,,38,57.3069635,1.9426721334457397,3242
,1779623886.0166686,,370.0,,,39,58.2253293,1.901487946510315,3242
,1779623886.929152,,380.0,,,40,59.1382532,1.8819260597229004,3242
,1779623887.8529418,,390.0,,,41,60.0610156,1.9151347875595093,3242
,1779623888.7751806,,400.0,,,42,60.9832664,1.871404767036438,3242
,1779623889.6930945,,410.0,,,43,61.9011408,1.8474335670471191,3242
,1779623890.605665,,420.0,,,44,62.8137559,1.8322080373764038,3242
,1779623891.5203269,,430.0,,,45,63.7292893,1.832441806793213,3242
,1779623892.4373324,,440.0,,,46,64.6448717,1.803078532218933,3242
,1779623893.3590412,,450.0,,,47,65.5671208,1.8047910928726196,3242
,1779623894.2684715,,460.0,,,48,66.4765176,1.8259658813476562,3242
,1779623895.1839478,,470.0,,,49,67.3929537,1.8154758214950562,3242
,1779623896.0971935,,480.0,,,50,68.3056642,1.8021689653396606,3242
,1779623897.00796,,490.0,,,51,69.2160063,1.793174386024475,3242
,1779623909.4522378,1.6174954175949097,500.0,1.793190598487854,0.0009852826883675631,52,81.6606519,,3242
,1779623909.5519407,,500.0,,,53,81.7607278,1.7605255842208862,3242
,1779623910.4667187,,510.0,,,54,82.6747645,1.7681323289871216,3242
,1779623911.3804102,,520.0,,,55,83.5890358,1.7473372220993042,3242
,1779623912.2963655,,530.0,,,56,84.5051788,1.7434964179992676,3242
,1779623913.213646,,540.0,,,57,85.4220944,1.717484712600708,3242
,1779623914.1285377,,550.0,,,58,86.336792,1.7369778156280518,3242
,1779623915.0531754,,560.0,,,59,87.2617224,1.67522132396698,3242
,1779623915.9742625,,570.0,,,60,88.1823092,1.6917550563812256,3242
,1779623916.8940353,,580.0,,,61,89.1021315,1.6787090301513672,3242
,1779623917.8210154,,590.0,,,62,90.0293808,1.7022185325622559,3242
,1779623918.7337384,,600.0,,,63,90.9418364,1.6648321151733398,3242
,1779623919.6476245,,610.0,,,64,91.8556702,1.68406081199646,3242
,1779623920.5642838,,620.0,,,65,92.7731335,1.6339596509933472,3242
,1779623921.4903982,,630.0,,,66,93.6994451,1.6711782217025757,3242
,1779623922.4072769,,640.0,,,67,94.615324,1.6319653987884521,3242
,1779623923.327682,,650.0,,,68,95.5357293,1.6485439538955688,3242
,1779623924.24572,,660.0,,,69,96.4547577,1.6203347444534302,3242
,1779623925.1623278,,670.0,,,70,97.3703721,1.609094500541687,3242
,1779623926.0751138,,680.0,,,71,98.2838022,1.630176305770874,3242
,1779623926.9924598,,690.0,,,72,99.2007831,1.6119147539138794,3242
,1779623927.9109159,,700.0,,,73,100.1198626,1.6332690715789795,3242
,1779623928.8290446,,710.0,,,74,101.037087,1.5987101793289185,3242
,1779623929.7502112,,720.0,,,75,101.958281,1.5723403692245483,3242
,1779623930.6669157,,730.0,,,76,102.8754696,1.589246153831482,3242
,1779623931.5888348,,740.0,,,77,103.7973881,1.5737402439117432,3242
,1779623944.0837855,1.4521293640136719,750.0,1.660900592803955,0.0009614856803571157,78,116.2929324,,3242
,1779623944.1822138,,750.0,,,79,116.391357,1.5951465368270874,3242
,1779623945.0996072,,760.0,,,80,117.3078232,1.5555537939071655,3242
,1779623946.0170734,,770.0,,,81,118.2251198,1.546168565750122,3242
,1779623946.9324188,,780.0,,,82,119.1405654,1.5290334224700928,3242
,1779623947.855114,,790.0,,,83,120.063163,1.5718497037887573,3242
,1779623948.777424,,800.0,,,84,120.9860224,1.582430362701416,3242
,1779623949.69527,,810.0,,,85,121.9033462,1.5626816749572754,3242
,1779623950.618304,,820.0,,,86,122.8269085,1.5636402368545532,3242
,1779623951.5348377,,830.0,,,87,123.7428881,1.5517730712890625,3242
,1779623952.4573755,,840.0,,,88,124.6654187,1.5373731851577759,3242
,1779623953.3793497,,850.0,,,89,125.5876916,1.5369114875793457,3242
,1779623954.3018892,,860.0,,,90,126.5102991,1.5264009237289429,3242
,1779623955.2246776,,870.0,,,91,127.4332298,1.5060899257659912,3242
,1779623956.1498635,,880.0,,,92,128.358052,1.5026136636734009,3242
,1779623957.077751,,890.0,,,93,129.2858453,1.5110880136489868,3242
,1779623957.997535,,900.0,,,94,130.2057355,1.4884812831878662,3242
,1779623958.920875,,910.0,,,95,131.1289195,1.5379453897476196,3242
,1779623959.8339503,,920.0,,,96,132.0419969,1.5179849863052368,3242
,1779623960.7487774,,930.0,,,97,132.9570803,1.4909645318984985,3242
,1779623961.6722176,,940.0,,,98,133.8804001,1.4995818138122559,3242
,1779623962.5927854,,950.0,,,99,134.8008308,1.4818572998046875,3242
,1779623963.5087187,,960.0,,,100,135.716898,1.4763020277023315,3242
,1779623964.4273846,,970.0,,,101,136.6357804,1.4704002141952515,3242
,1779623965.3424997,,980.0,,,102,137.5514169,1.4304882287979126,3242
,1779623966.264019,,990.0,,,103,138.4725742,1.4571853876113892,3242
,1779623978.7770717,1.359870433807373,1000.0,1.5725188255310059,0.0009271396472013282,104,150.9852929,,3242
,1779623978.8719692,,1000.0,,,105,151.0801135,1.4708913564682007,3242
,1779623979.7893453,,1010.0,,,106,151.9973927,1.481495976448059,3242
,1779623980.7079756,,1020.0,,,107,152.91662,1.4819786548614502,3242
,1779623981.6255052,,1030.0,,,108,153.8337623,1.4662213325500488,3242
,1779623982.5376887,,1040.0,,,109,154.7457338,1.458815097808838,3242
,1779623983.4540656,,1050.0,,,110,155.6634943,1.4637033939361572,3242
,1779623984.3698823,,1060.0,,,111,156.5780922,1.4596487283706665,3242
,1779623985.2877862,,1070.0,,,112,157.4959393,1.4575494527816772,3242
,1779623986.2031703,,1080.0,,,113,158.412619,1.4162449836730957,3242
,1779623987.1211045,,1090.0,,,114,159.3296852,1.4355806112289429,3242
,1779623988.0325067,,1100.0,,,115,160.2407823,1.4298417568206787,3242
,1779623988.9424183,,1110.0,,,116,161.1504635,1.4236900806427002,3242
,1779623989.8554592,,1120.0,,,117,162.0641353,1.4210199117660522,3242
,1779623990.7692006,,1130.0,,,118,162.9772456,1.4209858179092407,3242
,1779623991.6909368,,1140.0,,,119,163.8988652,1.4337724447250366,3242
