_runtime,Sample Generation,iter,_step,val/loss,_timestamp,train/step_loss,train/loss,lr,seed
11.4863744,,0.0,0,4.272795677185059,1779632367.6776636,,4.272511005401611,9.900990099009901e-06,3740
11.585113100000001,,0.0,1,,1779632367.7768996,4.264894485473633,,,3740
12.4385943,,10.0,2,,1779632368.6297145,3.125805616378784,,,3740
13.2963801,,20.0,3,,1779632369.48867,2.78848934173584,,,3740
14.1529235,,30.0,4,,1779632370.3452134,2.6339588165283203,,,3740
15.0094468,,40.0,5,,1779632371.2017367,2.5539278984069824,,,3740
15.8659761,,50.0,6,,1779632372.0576994,2.515653371810913,,,3740
16.720295,,60.0,7,,1779632372.9119363,2.516488552093506,,,3740
17.5768749,,70.0,8,,1779632373.7686574,2.490346670150757,,,3740
18.433482,,80.0,9,,1779632374.6248808,2.5029752254486084,,,3740
19.2906169,,90.0,10,,1779632375.4822483,2.480478286743164,,,3740
20.1444542,,100.0,11,,1779632376.3361537,2.4567220211029053,,,3740
21.0000026,,110.0,12,,1779632377.1914268,2.4360311031341553,,,3740
21.8568293,,120.0,13,,1779632378.0486152,2.436729669570923,,,3740
22.730024,,130.0,14,,1779632378.9215817,2.423851728439331,,,3740
23.610342,,140.0,15,,1779632379.80172,2.395846128463745,,,3740
24.4734203,,150.0,16,,1779632380.6648836,2.374706268310547,,,3740
25.3434501,,160.0,17,,1779632381.5352352,2.385077476501465,,,3740
26.2086649,,170.0,18,,1779632382.4004478,2.3412623405456543,,,3740
27.0634679,,180.0,19,,1779632383.2552514,2.3113045692443848,,,3740
27.929346,,190.0,20,,1779632384.120845,2.297844886779785,,,3740
28.7847088,,200.0,21,,1779632384.9764903,2.2605042457580566,,,3740
29.6616327,,210.0,22,,1779632385.8534129,2.2294795513153076,,,3740
30.5408395,,220.0,23,,1779632386.7314851,2.184481620788574,,,3740
31.4165915,,230.0,24,,1779632387.6082728,2.1385793685913086,,,3740
32.2838674,,240.0,25,,1779632388.475477,2.117861270904541,,,3740
