train/loss,train/step_loss,iter,_step,_timestamp,Sample Generation,lr,val/loss,_runtime,seed
4.275161266326904,,0.0,0,1779692873.0807848,,9.900990099009901e-06,4.266725063323975,17.2547747,2026
,4.267118453979492,0.0,1,1779692873.222588,,,,17.3965127,2026
,3.080533981323242,10.0,2,1779692874.4951158,,,,18.6692063,2026
,2.688939332962036,20.0,3,1779692875.7709413,,,,19.9454161,2026
,2.5748045444488525,30.0,4,1779692877.0650778,,,,21.2390902,2026
,2.4979171752929688,40.0,5,1779692878.4622343,,,,22.6362237,2026
,2.4560787677764893,50.0,6,1779692879.8809943,,,,24.0549175,2026
,2.381171703338623,60.0,7,1779692881.3033564,,,,25.4772718,2026
,2.2805261611938477,70.0,8,1779692882.7254853,,,,26.8994075,2026
,2.2008461952209473,80.0,9,1779692884.1469417,,,,28.3208604,2026
,2.1899569034576416,90.0,10,1779692885.5709128,,,,29.7448328,2026
,2.1380631923675537,100.0,11,1779692886.9929254,,,,31.1668398,2026
,2.0519673824310303,110.0,12,1779692888.411755,,,,32.5858682,2026
,2.0143792629241943,120.0,13,1779692889.836702,,,,34.0107846,2026
,1.975620150566101,130.0,14,1779692891.2597144,,,,35.4336632,2026
,1.9370290040969849,140.0,15,1779692892.6811395,,,,36.8550635,2026
,1.9118757247924805,150.0,16,1779692894.1035159,,,,38.2775203,2026
,1.8575067520141602,160.0,17,1779692895.5350628,,,,39.7089972,2026
,1.8234838247299194,170.0,18,1779692896.9490368,,,,41.1229532,2026
,1.8059427738189697,180.0,19,1779692898.3718624,,,,42.5457826,2026
,1.801651954650879,190.0,20,1779692899.8006318,,,,43.974553,2026
,1.7686376571655273,200.0,21,1779692901.1993628,,,,45.3732853,2026
,1.738303303718567,210.0,22,1779692902.6100316,,,,46.784041,2026
,1.7351016998291016,220.0,23,1779692904.0341277,,,,48.208083,2026
,1.6940691471099854,230.0,24,1779692905.453849,,,,49.6277718,2026
,1.7024551630020142,240.0,25,1779692906.8754797,,,,51.0494005,2026
1.588185429573059,,250.0,26,1779692926.0193374,,0.0009979206008271391,1.7682956457138062,70.1942079,2026
,1.666935682296753,250.0,27,1779692926.152616,,,,70.3265408,2026
,1.6709100008010864,260.0,28,1779692927.447342,,,,71.6212576,2026
,1.6533106565475464,270.0,29,1779692928.745174,,,,72.9193172,2026
,1.6595194339752197,280.0,30,1779692930.048618,,,,74.2225336,2026
,1.6116265058517456,290.0,31,1779692931.4518368,,,,75.6258702,2026
,1.6418834924697876,300.0,32,1779692932.871953,,,,77.0458793,2026
,1.6282461881637573,310.0,33,1779692934.295306,,,,78.4692351,2026
,1.5658326148986816,320.0,34,1779692935.7156098,,,,79.8895258,2026
,1.563354253768921,330.0,35,1779692937.138038,,,,81.311953,2026
,1.5503185987472534,340.0,36,1779692938.5603573,,,,82.7345431,2026
,1.5565892457962036,350.0,37,1779692939.9814487,,,,84.1548588,2026
,1.5299001932144165,360.0,38,1779692941.4055989,,,,85.5795159,2026
,1.5294592380523682,370.0,39,1779692942.82571,,,,87.000532,2026
,1.4937788248062134,380.0,40,1779692944.2471118,,,,88.4210729,2026
,1.4846197366714478,390.0,41,1779692945.6708608,,,,89.8442709,2026
,1.459407925605774,400.0,42,1779692947.089459,,,,91.2634812,2026
