iter,_step,train/loss,train/step_loss,lr,val/loss,_runtime,Sample Generation,_timestamp,seed
0.0,0,4.281622409820557,,9.900990099009901e-06,4.278271675109863,11.9923051,,1779701346.70251,2026
0.0,1,,4.271866321563721,,,12.0943074,,1779701346.8049297,2026
10.0,2,,3.1786892414093018,,,12.9651711,,1779701347.67528,2026
20.0,3,,2.7738852500915527,,,13.8334392,,1779701348.5434663,2026
30.0,4,,2.6404128074645996,,,14.7009295,,1779701349.4109175,2026
40.0,5,,2.5809590816497803,,,15.571638,,1779701350.281565,2026
50.0,6,,2.526333808898926,,,16.4433452,,1779701351.1534615,2026
60.0,7,,2.5115129947662354,,,17.3118237,,1779701352.021902,2026
70.0,8,,2.4908580780029297,,,18.1816601,,1779701352.8912325,2026
80.0,9,,2.480297327041626,,,19.0513532,,1779701353.761274,2026
90.0,10,,2.478670358657837,,,19.920594,,1779701354.6307106,2026
100.0,11,,2.460855484008789,,,20.7903473,,1779701355.500462,2026
110.0,12,,2.4507434368133545,,,21.661103,,1779701356.3702478,2026
120.0,13,,2.4008965492248535,,,22.5311798,,1779701357.2408779,2026
130.0,14,,2.442823886871338,,,23.3992155,,1779701358.109185,2026
140.0,15,,2.401456117630005,,,24.2691772,,1779701358.9792945,2026
150.0,16,,2.365950345993042,,,25.1373209,,1779701359.8474379,2026
160.0,17,,2.389155387878418,,,26.0062734,,1779701360.7163668,2026
170.0,18,,2.3313701152801514,,,26.875094,,1779701361.5851126,2026
180.0,19,,2.3120100498199463,,,27.7440095,,1779701362.4541247,2026
190.0,20,,2.279966115951538,,,28.6132168,,1779701363.3230722,2026
200.0,21,,2.2507259845733643,,,29.4804276,,1779701364.1905448,2026
210.0,22,,2.2257139682769775,,,30.3500589,,1779701365.0600407,2026
220.0,23,,2.1915504932403564,,,31.219042,,1779701365.9291563,2026
230.0,24,,2.153231620788574,,,32.0875046,,1779701366.797604,2026
240.0,25,,2.1194636821746826,,,32.9563569,,1779701367.6669793,2026
250.0,26,2.0361599922180176,,0.0009979206008271391,2.1225039958953857,45.0534313,,1779701379.7634606,2026
250.0,27,,2.0815134048461914,,,45.1447834,,1779701379.8545413,2026
260.0,28,,2.0575685501098633,,,46.013337,,1779701380.7234125,2026
270.0,29,,2.049110174179077,,,46.8811859,,1779701381.5913012,2026
280.0,30,,2.055943012237549,,,47.7507343,,1779701382.459852,2026
290.0,31,,2.0054523944854736,,,48.6212349,,1779701383.3313487,2026
300.0,32,,1.959439992904663,,,49.4911659,,1779701384.2007914,2026
310.0,33,,1.9460375308990479,,,50.361856,,1779701385.0719554,2026
320.0,34,,1.9073646068572998,,,51.2301167,,1779701385.940209,2026
330.0,35,,1.8716126680374146,,,52.1010077,,1779701386.8108292,2026
340.0,36,,1.8308229446411133,,,52.9707707,,1779701387.6808875,2026
350.0,37,,1.8161944150924683,,,53.8389458,,1779701388.5490618,2026
360.0,38,,1.8069219589233398,,,54.7094456,,1779701389.4195642,2026
370.0,39,,1.8026529550552368,,,55.5808145,,1779701390.2909303,2026
380.0,40,,1.790319561958313,,,56.4486164,,1779701391.1587307,2026
390.0,41,,1.79298734664917,,,57.3185827,,1779701392.0287018,2026
