iter,_runtime,train/step_loss,Sample Generation,train/loss,lr,_step,val/loss,_timestamp,seed
0.0,13.0394517,,,4.310819625854492,9.900990099009901e-06,0,4.304926872253418,1779712531.8382645,6242
0.0,13.1477642,4.301726341247559,,,,1,,1779712531.9465997,6242
10.0,14.1274725,3.1194796562194824,,,,2,,1779712532.9256308,6242
20.0,15.0744121,2.760770320892334,,,,3,,1779712533.8732457,6242
30.0,16.0250181,2.620616912841797,,,,4,,1779712534.8238518,6242
40.0,16.9863813,2.5443191528320312,,,,5,,1779712535.785215,6242
50.0,17.936238,2.525909185409546,,,,6,,1779712536.7350726,6242
60.0,18.8952231,2.4972455501556396,,,,7,,1779712537.6935635,6242
70.0,19.8788556,2.486393451690674,,,,8,,1779712538.6774085,6242
80.0,20.8991912,2.4963696002960205,,,,9,,1779712539.698023,6242
90.0,21.9122996,2.473297595977783,,,,10,,1779712540.7111332,6242
100.0,22.919678,2.4785232543945312,,,,11,,1779712541.7182302,6242
110.0,23.9117166,2.456278085708618,,,,12,,1779712542.7104578,6242
120.0,24.8869746,2.448176383972168,,,,13,,1779712543.6858087,6242
130.0,25.8547473,2.416256904602051,,,,14,,1779712544.653307,6242
140.0,26.818559,2.40893816947937,,,,15,,1779712545.6165364,6242
150.0,27.7709944,2.419327974319458,,,,16,,1779712546.5698268,6242
160.0,28.7549463,2.375072956085205,,,,17,,1779712547.5537813,6242
170.0,29.7224397,2.3511717319488525,,,,18,,1779712548.5209258,6242
180.0,30.6772142,2.361556053161621,,,,19,,1779712549.475783,6242
190.0,31.6302564,2.3029403686523438,,,,20,,1779712550.4290903,6242
200.0,32.5869414,2.2777304649353027,,,,21,,1779712551.3850424,6242
210.0,33.534484,2.2564337253570557,,,,22,,1779712552.3332431,6242
220.0,34.495736,2.2221577167510986,,,,23,,1779712553.294176,6242
230.0,35.4520412,2.214163303375244,,,,24,,1779712554.2508755,6242
240.0,36.4464945,2.197744131088257,,,,25,,1779712555.2453277,6242
250.0,50.0461437,,,2.087277889251709,0.0009979206008271391,26,2.166424036026001,1779712568.8442955,6242
250.0,50.1476577,2.1773312091827393,,,,27,,1779712568.946492,6242
260.0,51.1016052,2.138481855392456,,,,28,,1779712569.900287,6242
270.0,52.055708,2.1231274604797363,,,,29,,1779712570.854047,6242
280.0,53.0264851,2.063448905944824,,,,30,,1779712571.825071,6242
290.0,53.9850755,2.092381715774536,,,,31,,1779712572.7839084,6242
300.0,54.9362756,2.033806324005127,,,,32,,1779712573.734109,6242
310.0,55.9256634,1.9673128128051758,,,,33,,1779712574.72394,6242
320.0,56.9146514,1.9808440208435059,,,,34,,1779712575.7134774,6242
330.0,57.9073127,1.9379922151565552,,,,35,,1779712576.70598,6242
340.0,58.8929379,1.9460234642028809,,,,36,,1779712577.6917715,6242
350.0,59.8834477,1.8840718269348145,,,,37,,1779712578.6822815,6242
360.0,60.875893,1.890197992324829,,,,38,,1779712579.6744788,6242
370.0,61.8473586,1.867864966392517,,,,39,,1779712580.6461942,6242
380.0,62.8084725,1.8369661569595337,,,,40,,1779712581.607303,6242
390.0,63.7690021,1.8527766466140747,,,,41,,1779712582.5673137,6242
400.0,64.7317964,1.805566430091858,,,,42,,1779712583.5300138,6242
410.0,65.6940311,1.7851073741912842,,,,43,,1779712584.4928672,6242
420.0,66.6584829,1.7632848024368286,,,,44,,1779712585.4570625,6242
430.0,67.6154731,1.7450425624847412,,,,45,,1779712586.4142597,6242
440.0,68.5785089,1.727028727531433,,,,46,,1779712587.377166,6242
450.0,69.5340101,1.696056842803955,,,,47,,1779712588.3318567,6242
460.0,70.4918507,1.7164708375930786,,,,48,,1779712589.2906845,6242
470.0,71.453574,1.6940091848373413,,,,49,,1779712590.2524087,6242
480.0,72.4170661,1.7093490362167358,,,,50,,1779712591.2158983,6242
490.0,73.4022955,1.6347957849502563,,,,51,,1779712592.200633,6242
500.0,87.1778705,,,1.578465223312378,0.0009852826883675631,52,1.7596288919448853,1779712605.9766004,6242
500.0,87.2843438,1.6790263652801514,,,,53,,1779712606.0831492,6242
510.0,88.2579985,1.6305991411209106,,,,54,,1779712607.056833,6242
520.0,89.233856,1.6431678533554077,,,,55,,1779712608.0322437,6242
530.0,90.1871221,1.5713918209075928,,,,56,,1779712608.9859571,6242
540.0,91.1545978,1.6134424209594727,,,,57,,1779712609.9534273,6242
550.0,92.1378973,1.564599633216858,,,,58,,1779712610.9367297,6242
560.0,93.1330398,1.5786467790603638,,,,59,,1779712611.9308877,6242
570.0,94.1404308,1.5240113735198975,,,,60,,1779712612.939242,6242
580.0,95.1179636,1.5692410469055176,,,,61,,1779712613.9164534,6242
590.0,96.0891849,1.554024338722229,,,,62,,1779712614.8880196,6242
600.0,97.071317,1.508739948272705,,,,63,,1779712615.8701522,6242
610.0,98.0277894,1.5013777017593384,,,,64,,1779712616.8266234,6242
620.0,99.0208328,1.5138729810714722,,,,65,,1779712617.8194547,6242
630.0,100.0182591,1.4984170198440552,,,,66,,1779712618.8170938,6242
640.0,100.9984719,1.511516809463501,,,,67,,1779712619.797164,6242
650.0,101.9883336,1.5080358982086182,,,,68,,1779712620.787674,6242
660.0,102.9672869,1.491468071937561,,,,69,,1779712621.7655282,6242
670.0,103.952844,1.4895870685577393,,,,70,,1779712622.75168,6242
680.0,104.9312511,1.4825576543807983,,,,71,,1779712623.7298486,6242
690.0,105.9574581,1.458594799041748,,,,72,,1779712624.756236,6242
700.0,106.9448935,1.465438723564148,,,,73,,1779712625.7438025,6242
710.0,107.9402415,1.448036551475525,,,,74,,1779712626.7390747,6242
720.0,108.9455417,1.4518660306930542,,,,75,,1779712627.744372,6242
730.0,109.9311819,1.4589844942092896,,,,76,,1779712628.730016,6242
740.0,110.8987968,1.4235584735870361,,,,77,,1779712629.6972957,6242
750.0,124.4036541,,,1.375462532043457,0.0009614856803571157,78,1.5885679721832275,1779712643.2026823,6242
750.0,124.5071469,1.4498767852783203,,,,79,,1779712643.3059819,6242
760.0,125.4995898,1.4611808061599731,,,,80,,1779712644.2976203,6242
770.0,126.4888468,1.4175255298614502,,,,81,,1779712645.2876413,6242
780.0,127.5034837,1.430586576461792,,,,82,,1779712646.3017666,6242
790.0,128.4886856,1.3835186958312988,,,,83,,1779712647.2874024,6242
800.0,129.4742373,1.4240119457244873,,,,84,,1779712648.2730742,6242
810.0,130.4614157,1.423363447189331,,,,85,,1779712649.2600427,6242
820.0,131.4759351,1.4400887489318848,,,,86,,1779712650.2744946,6242
830.0,132.4660487,1.3963713645935059,,,,87,,1779712651.2645924,6242
840.0,133.4670907,1.374060034751892,,,,88,,1779712652.2653458,6242
850.0,134.4506035,1.347021460533142,,,,89,,1779712653.2494388,6242
860.0,135.4556867,1.369949460029602,,,,90,,1779712654.2538452,6242
870.0,136.4408143,1.364807367324829,,,,91,,1779712655.2394607,6242
880.0,137.4019377,1.383439540863037,,,,92,,1779712656.2001207,6242
890.0,138.4071354,1.366653561592102,,,,93,,1779712657.2059696,6242
900.0,139.4125474,1.3624904155731201,,,,94,,1779712658.211136,6242
910.0,140.4096461,1.3625749349594116,,,,95,,1779712659.2089863,6242
920.0,141.4408923,1.3867177963256836,,,,96,,1779712660.2397225,6242
930.0,142.4352872,1.3374489545822144,,,,97,,1779712661.2341197,6242
940.0,143.4024328,1.3594697713851929,,,,98,,1779712662.2008226,6242
950.0,144.3795581,1.3666852712631226,,,,99,,1779712663.1783936,6242
960.0,145.3570509,1.3921445608139038,,,,100,,1779712664.1558847,6242
970.0,146.3391925,1.3440592288970947,,,,101,,1779712665.137739,6242
980.0,147.3428437,1.371574878692627,,,,102,,1779712666.1416779,6242
990.0,148.3515851,1.3502401113510132,,,,103,,1779712667.1497505,6242
1000.0,162.1040949,,,1.2757607698440552,0.0009271396472013282,104,1.532251000404358,1779712680.9031284,6242
1000.0,162.2106019,1.3823052644729614,,,,105,,1779712681.0084717,6242
1010.0,163.2179156,1.3389403820037842,,,,106,,1779712682.016746,6242
1020.0,164.2438475,1.3418991565704346,,,,107,,1779712683.0417607,6242
1030.0,165.2409913,1.3534376621246338,,,,108,,1779712684.0395794,6242
1040.0,166.2455587,1.3377113342285156,,,,109,,1779712685.0442007,6242
1050.0,167.2429953,1.330489158630371,,,,110,,1779712686.0418265,6242
1060.0,168.2564191,1.3152155876159668,,,,111,,1779712687.0552495,6242
1070.0,169.2352938,1.309936285018921,,,,112,,1779712688.0340276,6242
1080.0,170.2294845,1.330975890159607,,,,113,,1779712689.0283175,6242
1090.0,171.2366241,1.3016818761825562,,,,114,,1779712690.035458,6242
1100.0,172.2412818,1.3275880813598633,,,,115,,1779712691.0396187,6242
1110.0,173.241625,1.3148270845413208,,,,116,,1779712692.040459,6242
1120.0,174.228761,1.3068722486495972,,,,117,,1779712693.0274456,6242
1130.0,175.2432955,1.3031623363494873,,,,118,,1779712694.0420034,6242
1140.0,176.2483266,1.3040733337402344,,,,119,,1779712695.0469716,6242
1150.0,177.2700048,1.291197657585144,,,,120,,1779712696.0687585,6242
1160.0,178.3092253,1.316359519958496,,,,121,,1779712697.107034,6242
1170.0,179.3168837,1.3022794723510742,,,,122,,1779712698.1157117,6242
1180.0,180.3068492,1.301137924194336,,,,123,,1779712699.105686,6242
1190.0,181.3189377,1.2751617431640625,,,,124,,1779712700.1173892,6242
1200.0,182.3089791,1.2813233137130737,,,,125,,1779712701.1070502,6242
1210.0,183.311298,1.2703447341918945,,,,126,,1779712702.1100917,6242
1220.0,184.330412,1.2585102319717407,,,,127,,1779712703.1290915,6242
1230.0,185.3482727,1.2474380731582642,,,,128,,1779712704.1471071,6242
1240.0,186.3244889,1.2740559577941895,,,,129,,1779712705.1233208,6242
1250.0,199.8357598,,,1.2097231149673462,0.000883125098683892,130,1.4949994087219238,1779712718.6347015,6242
1250.0,199.9454364,1.2756929397583008,,,,131,,1779712718.7437837,6242
1260.0,200.9512867,1.2337656021118164,,,,132,,1779712719.7500901,6242
1270.0,201.9714249,1.2842020988464355,,,,133,,1779712720.7707653,6242
1280.0,202.983034,1.280661940574646,,,,134,,1779712721.781363,6242
1290.0,204.0052517,1.2599161863327026,,,,135,,1779712722.8040936,6242
1300.0,205.0329925,1.3000646829605103,,,,136,,1779712723.831538,6242
1310.0,206.0453744,1.268353819847107,,,,137,,1779712724.8441064,6242
1320.0,207.0904334,1.2657980918884277,,,,138,,1779712725.888823,6242
1330.0,208.1083633,1.2748035192489624,,,,139,,1779712726.9077036,6242
1340.0,209.1168056,1.2702667713165283,,,,140,,1779712727.9156394,6242
1350.0,210.1241774,1.2537260055541992,,,,141,,1779712728.9228137,6242
1360.0,211.1325351,1.2484855651855469,,,,142,,1779712729.9313574,6242
1370.0,212.1384887,1.239877462387085,,,,143,,1779712730.9373224,6242
1380.0,213.1751363,1.253219723701477,,,,144,,1779712731.9734573,6242
1390.0,214.1876183,1.2567707300186157,,,,145,,1779712732.9864507,6242
1400.0,215.1907661,1.246355652809143,,,,146,,1779712733.9896011,6242
1410.0,216.2129433,1.2721014022827148,,,,147,,1779712735.0114157,6242
1420.0,217.1859188,1.2576292753219604,,,,148,,1779712735.9847517,6242
1430.0,218.1462134,1.2585656642913818,,,,149,,1779712736.945048,6242
1440.0,219.1104054,1.232200264930725,,,,150,,1779712737.9091241,6242
1450.0,220.1108359,1.2254201173782349,,,,151,,1779712738.909474,6242
1460.0,221.0879622,1.2134381532669067,,,,152,,1779712739.8861866,6242
1470.0,222.0655229,1.276532769203186,,,,153,,1779712740.8643568,6242
1480.0,223.0536338,1.2336115837097168,,,,154,,1779712741.8524678,6242
1490.0,224.0208572,1.2459192276000977,,,,155,,1779712742.8196938,6242
1500.0,237.4413478,,,1.1566098928451538,0.0008305704108364302,156,1.4871363639831543,1779712756.239683,6242
1500.0,237.5420987,1.2417086362838745,,,,157,,1779712756.3404822,6242
1510.0,238.506044,1.232320785522461,,,,158,,1779712757.3043754,6242
1520.0,239.463348,1.1978932619094849,,,,159,,1779712758.2617989,6242
1530.0,240.4194604,1.2199058532714844,,,,160,,1779712759.2182937,6242
1540.0,241.3757778,1.2279192209243774,,,,161,,1779712760.1737163,6242
1550.0,242.3328356,1.2289555072784424,,,,162,,1779712761.1316695,6242
1560.0,243.2871565,1.2051348686218262,,,,163,,1779712762.0864968,6242
1570.0,244.2405128,1.2160086631774902,,,,164,,1779712763.0393448,6242
1580.0,245.1960408,1.2147177457809448,,,,165,,1779712763.9941247,6242
1590.0,246.1525486,1.227488398551941,,,,166,,1779712764.9513826,6242
1600.0,247.1020777,1.2076866626739502,,,,167,,1779712765.9009125,6242
1610.0,248.0495054,1.1991556882858276,,,,168,,1779712766.8483417,6242
1620.0,249.0123618,1.185221552848816,,,,169,,1779712767.8111959,6242
1630.0,249.9642963,1.1944025754928589,,,,170,,1779712768.762867,6242
1640.0,250.9131221,1.2185410261154175,,,,171,,1779712769.7116985,6242
1650.0,251.8613289,1.1686174869537354,,,,172,,1779712770.660162,6242
1660.0,252.8093487,1.1934242248535156,,,,173,,1779712771.6081367,6242
1670.0,253.7628855,1.17234206199646,,,,174,,1779712772.5616605,6242
1680.0,254.7133831,1.1786617040634155,,,,175,,1779712773.5122125,6242
1690.0,255.6706658,1.1814634799957275,,,,176,,1779712774.4687555,6242
1700.0,256.618435,1.185274362564087,,,,177,,1779712775.4172676,6242
1710.0,257.5695999,1.191473364830017,,,,178,,1779712776.3684325,6242
1720.0,258.5153168,1.2050113677978516,,,,179,,1779712777.3141475,6242
1730.0,259.469848,1.1845729351043701,,,,180,,1779712778.268345,6242
1740.0,260.4120595,1.1775457859039307,,,,181,,1779712779.2108955,6242
1750.0,273.644422,,,1.104321837425232,0.0007708228984017721,182,1.4868890047073364,1779712792.4427621,6242
1750.0,273.7477154,1.1953555345535278,,,,183,,1779712792.5465248,6242
1760.0,274.6963424,1.191222071647644,,,,184,,1779712793.4949553,6242
1770.0,275.6523779,1.1816800832748413,,,,185,,1779712794.451213,6242
1780.0,276.5991298,1.1805367469787598,,,,186,,1779712795.3977075,6242
1790.0,277.5495849,1.1759779453277588,,,,187,,1779712796.347604,6242
1800.0,278.4947265,1.205062985420227,,,,188,,1779712797.29356,6242
1810.0,279.4470522,1.1508514881134033,,,,189,,1779712798.2452905,6242
1820.0,280.3877943,1.173648476600647,,,,190,,1779712799.186628,6242
1830.0,281.3440757,1.1987680196762085,,,,191,,1779712800.1420143,6242
1840.0,282.2894839,1.151694416999817,,,,192,,1779712801.0883179,6242
1850.0,283.2768102,1.1497766971588135,,,,193,,1779712802.0750844,6242
1860.0,284.2481824,1.1819993257522583,,,,194,,1779712803.0470166,6242
1870.0,285.2179465,1.1732674837112427,,,,195,,1779712804.0166252,6242
1880.0,286.183982,1.1415281295776367,,,,196,,1779712804.9828136,6242
1890.0,287.1607359,1.17146635055542,,,,197,,1779712805.95947,6242
1900.0,288.1474326,1.148510456085205,,,,198,,1779712806.946267,6242
1910.0,289.1135549,1.1233530044555664,,,,199,,1779712807.9120047,6242
1920.0,290.0915011,1.1380188465118408,,,,200,,1779712808.8903337,6242
1930.0,291.0634945,1.1628117561340332,,,,201,,1779712809.8617969,6242
1940.0,292.0482238,1.1684660911560059,,,,202,,1779712810.8470597,6242
1950.0,293.0160718,1.1491518020629883,,,,203,,1779712811.8149087,6242
1960.0,293.9925351,1.1157119274139404,,,,204,,1779712812.7912083,6242
1970.0,294.9669569,1.1201623678207397,,,,205,,1779712813.7657886,6242
1980.0,295.938517,1.1277546882629395,,,,206,,1779712814.736345,6242
1990.0,296.9097142,1.1381621360778809,,,,207,,1779712815.7085505,6242
2000.0,310.7277476,,,1.0564665794372559,0.0007054142744895884,208,1.4827167987823486,1779712829.5266242,6242
2000.0,310.8274593,1.1717594861984253,,,,209,,1779712829.6262884,6242
2010.0,311.8013769,1.1565929651260376,,,,210,,1779712830.6002111,6242
2020.0,312.7644318,1.1384791135787964,,,,211,,1779712831.5631456,6242
2030.0,313.730901,1.1561377048492432,,,,212,,1779712832.5296683,6242
2040.0,314.6969481,1.135265588760376,,,,213,,1779712833.4951413,6242
2050.0,315.6611907,1.1260285377502441,,,,214,,1779712834.460023,6242
2060.0,316.6277173,1.1289360523223877,,,,215,,1779712835.4265513,6242
2070.0,317.5831077,1.1434701681137085,,,,216,,1779712836.3819108,6242
2080.0,318.549786,1.1334975957870483,,,,217,,1779712837.348621,6242
2090.0,319.5052553,1.1238956451416016,,,,218,,1779712838.3034332,6242
2100.0,320.462114,1.1719805002212524,,,,219,,1779712839.2614543,6242
2110.0,321.4902193,1.1253219842910767,,,,220,,1779712840.289205,6242
2120.0,322.4923578,1.1562236547470093,,,,221,,1779712841.2907727,6242
2130.0,323.4451567,1.098901629447937,,,,222,,1779712842.2440665,6242
2140.0,324.4330297,1.1016393899917603,,,,223,,1779712843.2317312,6242
2150.0,325.4526931,1.0783798694610596,,,,224,,1779712844.251616,6242
2160.0,326.433738,1.1270769834518433,,,,225,,1779712845.2325714,6242
2170.0,327.4022772,1.1099799871444702,,,,226,,1779712846.2001107,6242
2180.0,328.3863014,1.1222562789916992,,,,227,,1779712847.185137,6242
2190.0,329.3491702,1.1103554964065552,,,,228,,1779712848.1477084,6242
2200.0,330.3182141,1.1017063856124878,,,,229,,1779712849.1170478,6242
2210.0,331.2766479,1.0712108612060547,,,,230,,1779712850.0754557,6242
