_runtime,val/loss,train/loss,train/step_loss,_step,lr,_timestamp,Sample Generation,iter,seed
12.6072471,4.369827747344971,4.3730692863464355,,0,9.900990099009901e-06,1779641612.9068139,,0.0,3740
12.714311200000001,,,4.329858779907227,1,,1779641613.0135813,,0.0,3740
13.6573311,,,3.1947240829467773,2,,1779641613.956828,,10.0,3740
14.5983054,,,2.781224012374878,3,,1779641614.8977938,,20.0,3740
15.555131,,,2.633517265319824,4,,1779641615.8533673,,30.0,3740
16.5016207,,,2.5546274185180664,5,,1779641616.8016217,,40.0,3740
17.4442285,,,2.51552414894104,6,,1779641617.7433422,,50.0,3740
18.3810863,,,2.5178279876708984,7,,1779641618.6803882,,60.0,3740
19.3562313,,,2.488172769546509,8,,1779641619.6557283,,70.0,3740
20.3280254,,,2.5058016777038574,9,,1779641620.627522,,80.0,3740
21.2732225,,,2.4731457233428955,10,,1779641621.5727177,,90.0,3740
22.2274087,,,2.4448342323303223,11,,1779641622.526905,,100.0,3740
23.1808442,,,2.4322943687438965,12,,1779641623.4803054,,110.0,3740
24.1384832,,,2.44840145111084,13,,1779641624.437979,,120.0,3740
25.0894887,,,2.4311578273773193,14,,1779641625.388984,,130.0,3740
26.0371698,,,2.3914756774902344,15,,1779641626.3366632,,140.0,3740
27.0008587,,,2.360687494277954,16,,1779641627.3003547,,150.0,3740
27.9614717,,,2.387890100479126,17,,1779641628.2609293,,160.0,3740
28.926721,,,2.316791296005249,18,,1779641629.2260168,,170.0,3740
29.878748,,,2.306159257888794,19,,1779641630.1782236,,180.0,3740
30.825966,,,2.279694080352783,20,,1779641631.1253014,,190.0,3740
31.7753045,,,2.2507009506225586,21,,1779641632.0748012,,200.0,3740
32.739872,,,2.2198336124420166,22,,1779641633.039369,,210.0,3740
33.6961906,,,2.195603132247925,23,,1779641633.9941518,,220.0,3740
34.6401604,,,2.146711587905884,24,,1779641634.939657,,230.0,3740
35.5981238,,,2.1273796558380127,25,,1779641635.8969536,,240.0,3740
48.6619613,2.116734504699707,2.026562452316284,,26,0.0009979206008271391,1779641648.9604828,,250.0,3740
48.7679532,,,2.094280242919922,27,,1779641649.067445,,250.0,3740
49.7386653,,,2.0550429821014404,28,,1779641650.0381517,,260.0,3740
50.6941071,,,2.0212044715881348,29,,1779641650.993698,,270.0,3740
51.6476035,,,2.0061824321746826,30,,1779641651.9470983,,280.0,3740
52.6076407,,,1.933847188949585,31,,1779641652.9069955,,290.0,3740
53.5744155,,,1.9322047233581543,32,,1779641653.8739107,,300.0,3740
54.5302319,,,1.8797796964645386,33,,1779641654.829668,,310.0,3740
55.4781883,,,1.9287731647491455,34,,1779641655.7776852,,320.0,3740
56.4380233,,,1.8570072650909424,35,,1779641656.7375178,,330.0,3740
57.3829598,,,1.8469446897506714,36,,1779641657.6823227,,340.0,3740
58.341416100000004,,,1.8208237886428833,37,,1779641658.6409113,,350.0,3740
59.2960798,,,1.7972376346588135,38,,1779641659.5955758,,360.0,3740
60.2520416,,,1.8051105737686157,39,,1779641660.5514407,,370.0,3740
61.2085127,,,1.7234610319137573,40,,1779641661.50796,,380.0,3740
62.1742037,,,1.7416725158691406,41,,1779641662.4736023,,390.0,3740
63.1285917,,,1.767706036567688,42,,1779641663.428088,,400.0,3740
64.0698724,,,1.7086732387542725,43,,1779641664.3698735,,410.0,3740
65.032067,,,1.7208229303359985,44,,1779641665.3315616,,420.0,3740
66.0003199,,,1.670982837677002,45,,1779641666.2996972,,430.0,3740
66.9585316,,,1.6702591180801392,46,,1779641667.2534475,,440.0,3740
67.9059866,,,1.6437515020370483,47,,1779641668.2054837,,450.0,3740
68.8526836,,,1.636040210723877,48,,1779641669.152179,,460.0,3740
69.8153102,,,1.6389095783233643,49,,1779641670.1148064,,470.0,3740
70.7784584,,,1.6514157056808472,50,,1779641671.077955,,480.0,3740
71.73025,,,1.5963681936264038,51,,1779641672.0290868,,490.0,3740
84.8287317,1.7067581415176392,1.5166244506835938,,52,0.0009852826883675631,1779641685.128413,,500.0,3740
84.9285005,,,1.6154512166976929,53,,1779641685.227008,,500.0,3740
85.8753835,,,1.5757447481155396,54,,1779641686.1748805,,510.0,3740
86.8238508,,,1.5822776556015015,55,,1779641687.1233335,,520.0,3740
87.7817966,,,1.5904227495193481,56,,1779641688.0802422,,530.0,3740
88.7302075,,,1.599256157875061,57,,1779641689.0297043,,540.0,3740
89.6821002,,,1.5685486793518066,58,,1779641689.9815974,,550.0,3740
90.6325569,,,1.5410646200180054,59,,1779641690.9320512,,560.0,3740
91.6032785,,,1.5047472715377808,60,,1779641691.90297,,570.0,3740
92.5604826,,,1.5113184452056885,61,,1779641692.8597078,,580.0,3740
93.5182771,,,1.502573013305664,62,,1779641693.8177705,,590.0,3740
94.4691281,,,1.5107052326202393,63,,1779641694.768435,,600.0,3740
95.4220239,,,1.508496642112732,64,,1779641695.721522,,610.0,3740
96.3854856,,,1.5083242654800415,65,,1779641696.684903,,620.0,3740
97.340678,,,1.5100383758544922,66,,1779641697.6401725,,630.0,3740
98.2990904,,,1.4782317876815796,67,,1779641698.5983005,,640.0,3740
99.2498723,,,1.438132882118225,68,,1779641699.5493672,,650.0,3740
100.2088953,,,1.501346468925476,69,,1779641700.5081372,,660.0,3740
101.1793834,,,1.4803184270858765,70,,1779641701.4778786,,670.0,3740
102.1328595,,,1.4778273105621338,71,,1779641702.4321682,,680.0,3740
103.0828687,,,1.434950351715088,72,,1779641703.381477,,690.0,3740
104.0544729,,,1.4196678400039673,73,,1779641704.3539684,,700.0,3740
105.0244046,,,1.4445247650146484,74,,1779641705.3238046,,710.0,3740
105.982178,,,1.4030441045761108,75,,1779641706.281243,,720.0,3740
106.9318705,,,1.4402941465377808,76,,1779641707.2313647,,730.0,3740
107.8960672,,,1.400424599647522,77,,1779641708.1948533,,740.0,3740
121.0130693,1.5804247856140137,1.3528786897659302,,78,0.0009614856803571157,1779641721.3116329,,750.0,3740
121.1117367,,,1.410880208015442,79,,1779641721.4111257,,750.0,3740
122.0630971,,,1.4113826751708984,80,,1779641722.362594,,760.0,3740
123.0146159,,,1.4111257791519165,81,,1779641723.3140478,,770.0,3740
123.9654048,,,1.4317042827606201,82,,1779641724.2646525,,780.0,3740
124.9328879,,,1.4290882349014282,83,,1779641725.2323835,,790.0,3740
125.8856139,,,1.3844574689865112,84,,1779641726.1848145,,800.0,3740
126.8417702,,,1.396369218826294,85,,1779641727.1412666,,810.0,3740
127.8071671,,,1.3763633966445923,86,,1779641728.1066635,,820.0,3740
128.7632457,,,1.418837308883667,87,,1779641729.0627422,,830.0,3740
129.7139706,,,1.386694073677063,88,,1779641730.0134673,,840.0,3740
130.6689834,,,1.376688003540039,89,,1779641730.9684796,,850.0,3740
131.619042,,,1.3713902235031128,90,,1779641731.9182003,,860.0,3740
132.5711029,,,1.3650834560394287,91,,1779641732.871104,,870.0,3740
133.5395852,,,1.420261025428772,92,,1779641733.8390822,,880.0,3740
134.4885248,,,1.385886788368225,93,,1779641734.7880151,,890.0,3740
135.4479641,,,1.3144969940185547,94,,1779641735.7474577,,900.0,3740
136.4005533,,,1.315651535987854,95,,1779641736.7000499,,910.0,3740
137.352107,,,1.372153401374817,96,,1779641737.6516774,,920.0,3740
138.3104817,,,1.346772313117981,97,,1779641738.6099763,,930.0,3740
139.2707177,,,1.3665193319320679,98,,1779641739.569956,,940.0,3740
140.2299898,,,1.3438444137573242,99,,1779641740.5292544,,950.0,3740
141.1830256,,,1.3426988124847412,100,,1779641741.481832,,960.0,3740
142.1414249,,,1.3365557193756104,101,,1779641742.4409182,,970.0,3740
143.094719,,,1.3071709871292114,102,,1779641743.3942108,,980.0,3740
144.0516414,,,1.3464378118515015,103,,1779641744.3511384,,990.0,3740
