_timestamp,lr,_step,val/loss,iter,_runtime,Sample Generation,train/loss,train/step_loss,seed
1779698296.6207068,9.900990099009901e-06,0,4.099822521209717,0.0,13.9407521,,4.096616744995117,,2026
1779698296.7405405,,1,,0.0,14.0603732,,,4.139922142028809,2026
1779698297.8343308,,2,,10.0,15.154292,,,3.116513729095459,2026
1779698298.9162886,,3,,20.0,16.2361211,,,2.7656688690185547,2026
1779698299.9854052,,4,,30.0,17.3053755,,,2.6366398334503174,2026
1779698301.0546503,,5,,40.0,18.3744852,,,2.5812911987304688,2026
1779698302.1342425,,6,,50.0,19.4540969,,,2.5283312797546387,2026
1779698303.2033608,,7,,60.0,20.5239657,,,2.516879081726074,2026
1779698304.27264,,8,,70.0,21.5924765,,,2.4941396713256836,2026
1779698305.3426797,,9,,80.0,22.6632934,,,2.477001428604126,2026
1779698306.4209242,,10,,90.0,23.7417961,,,2.4783551692962646,2026
1779698307.4953299,,11,,100.0,24.8151628,,,2.4689831733703613,2026
1779698308.5660856,,12,,110.0,25.8861505,,,2.451385021209717,2026
1779698309.634793,,13,,120.0,26.9546262,,,2.4113683700561523,2026
1779698310.7185848,,14,,130.0,28.0384196,,,2.4258031845092773,2026
1779698311.7909944,,15,,140.0,29.1110152,,,2.4188215732574463,2026
1779698312.8729722,,16,,150.0,30.1929821,,,2.384077548980713,2026
1779698313.9443183,,17,,160.0,31.2641524,,,2.3838894367218018,2026
1779698315.0239491,,18,,170.0,32.3437848,,,2.3478753566741943,2026
1779698316.0976975,,19,,180.0,33.4182293,,,2.325867176055908,2026
1779698317.1744108,,20,,190.0,34.4942433,,,2.3021233081817627,2026
1779698318.2429044,,21,,200.0,35.563213,,,2.257300615310669,2026
1779698319.317866,,22,,210.0,36.6377042,,,2.2346384525299072,2026
1779698320.3874328,,23,,220.0,37.7072667,,,2.210930585861206,2026
1779698321.4767532,,24,,230.0,38.7965853,,,2.160228967666626,2026
1779698322.612843,,25,,240.0,39.9326769,,,2.131296157836914,2026
1779698337.0217538,0.0009979206008271391,26,2.138880729675293,250.0,54.3420818,,2.053720712661743,,2026
1779698337.1362965,,27,,250.0,54.4561291,,,2.102323532104492,2026
1779698338.2216768,,28,,260.0,55.5415106,,,2.063295602798462,2026
1779698339.3051383,,29,,270.0,56.6249705,,,2.0372424125671387,2026
1779698340.3887732,,30,,280.0,57.7087644,,,2.0605762004852295,2026
1779698341.465623,,31,,290.0,58.7855384,,,2.023117780685425,2026
1779698342.5413291,,32,,300.0,59.861164,,,1.977666974067688,2026
1779698343.6498725,,33,,310.0,60.9698205,,,1.9495474100112915,2026
1779698344.8391974,,34,,320.0,62.1592176,,,1.9272040128707886,2026
1779698346.031441,,35,,330.0,63.3513257,,,1.8787894248962402,2026
1779698347.213652,,36,,340.0,64.5334886,,,1.849163293838501,2026
1779698348.3029132,,37,,350.0,65.6227588,,,1.8317383527755737,2026
1779698349.3832169,,38,,360.0,66.70315,,,1.8166240453720093,2026
1779698350.4831853,,39,,370.0,67.8030217,,,1.8158423900604248,2026
1779698351.5557692,,40,,380.0,68.8756058,,,1.7924872636795044,2026
1779698352.6293135,,41,,390.0,69.9491838,,,1.8052016496658325,2026
1779698353.7052627,,42,,400.0,71.0251086,,,1.764390230178833,2026
1779698354.7837758,,43,,410.0,72.1036082,,,1.7279926538467407,2026
1779698355.871651,,44,,420.0,73.1914902,,,1.7134367227554321,2026
1779698356.9479358,,45,,430.0,74.2679496,,,1.7258408069610596,2026
1779698358.0454783,,46,,440.0,75.3657915,,,1.692838191986084,2026
1779698359.1214957,,47,,450.0,76.4423626,,,1.6705783605575562,2026
1779698360.2123973,,48,,460.0,77.5322488,,,1.6857126951217651,2026
1779698361.3046608,,49,,470.0,78.6245489,,,1.6395111083984375,2026
1779698362.3867958,,50,,480.0,79.7066479,,,1.6683043241500854,2026
1779698363.5379858,,51,,490.0,80.8580168,,,1.591274380683899,2026
1779698378.0969503,0.0009852826883675631,52,1.7286611795425415,500.0,95.4162789,,1.5424247980117798,,2026
1779698378.2088947,,53,,500.0,95.5297064,,,1.6086137294769287,2026
1779698379.3069913,,54,,510.0,96.6268727,,,1.6369882822036743,2026
1779698380.3984954,,55,,520.0,97.7183307,,,1.5639647245407104,2026
1779698381.4870958,,56,,530.0,98.8069317,,,1.5618420839309692,2026
1779698382.5795681,,57,,540.0,99.8994033,,,1.5534695386886597,2026
1779698383.6620688,,58,,550.0,100.9821798,,,1.5856555700302124,2026
1779698384.749388,,59,,560.0,102.0692235,,,1.5343130826950073,2026
1779698385.8412757,,60,,570.0,103.1611079,,,1.5270841121673584,2026
1779698386.9260635,,61,,580.0,104.2459537,,,1.552830457687378,2026
1779698388.0102746,,62,,590.0,105.3301066,,,1.5544567108154297,2026
1779698389.1061795,,63,,600.0,106.4264077,,,1.533417820930481,2026
1779698390.19679,,64,,610.0,107.5166224,,,1.5314581394195557,2026
1779698391.3841226,,65,,620.0,108.7082446,,,1.5390520095825195,2026
1779698392.5777535,,66,,630.0,109.897589,,,1.512485384941101,2026
1779698393.7686398,,67,,640.0,111.0885575,,,1.5003150701522827,2026
1779698394.9385164,,68,,650.0,112.2583511,,,1.4871225357055664,2026
1779698396.060931,,69,,660.0,113.3810379,,,1.5024019479751587,2026
1779698397.183201,,70,,670.0,114.5030351,,,1.481650471687317,2026
1779698398.3056214,,71,,680.0,115.6254554,,,1.4613174200057983,2026
1779698399.4277487,,72,,690.0,116.7477713,,,1.4546841382980347,2026
1779698400.551426,,73,,700.0,117.8712611,,,1.4555219411849976,2026
1779698401.6692886,,74,,710.0,118.9891232,,,1.454411506652832,2026
1779698402.7923293,,75,,720.0,120.1121944,,,1.4596422910690308,2026
1779698403.915505,,76,,730.0,121.2353393,,,1.4236856698989868,2026
1779698405.0387821,,77,,740.0,122.358972,,,1.4042044878005981,2026
1779698419.4007974,0.0009614856803571157,78,1.588733196258545,750.0,136.7211752,,1.360817551612854,,2026
1779698419.5147665,,79,,750.0,136.8346257,,,1.433348298072815,2026
1779698420.6107488,,80,,760.0,137.9308822,,,1.4082800149917603,2026
1779698421.7078812,,81,,770.0,139.0277168,,,1.4241915941238403,2026
1779698422.7846003,,82,,780.0,140.1044349,,,1.4388657808303833,2026
1779698423.8729308,,83,,790.0,141.1936702,,,1.394269585609436,2026
1779698424.9521158,,84,,800.0,142.271948,,,1.3981804847717285,2026
1779698426.0432365,,85,,810.0,143.3632193,,,1.390061855316162,2026
1779698427.1309829,,86,,820.0,144.4508164,,,1.4248106479644775,2026
1779698428.2236135,,87,,830.0,145.5434493,,,1.3830987215042114,2026
1779698429.3150043,,88,,840.0,146.6348583,,,1.3707555532455444,2026
1779698430.3971066,,89,,850.0,147.7170122,,,1.3665601015090942,2026
1779698431.4927444,,90,,860.0,148.8125805,,,1.4098732471466064,2026
1779698432.6049013,,91,,870.0,149.9247386,,,1.400832176208496,2026
1779698433.6798022,,92,,880.0,150.9996339,,,1.3709716796875,2026
1779698434.7767563,,93,,890.0,152.0966089,,,1.387003779411316,2026
1779698435.8655195,,94,,900.0,153.1855989,,,1.3863431215286255,2026
1779698436.95885,,95,,910.0,154.2786861,,,1.3519630432128906,2026
1779698438.0466616,,96,,920.0,155.3664966,,,1.3587805032730103,2026
1779698439.1391695,,97,,930.0,156.4590018,,,1.3677144050598145,2026
1779698440.2377174,,98,,940.0,157.5585381,,,1.3346740007400513,2026
1779698441.320416,,99,,950.0,158.6406692,,,1.3455257415771484,2026
1779698442.4149365,,100,,960.0,159.7349328,,,1.3829307556152344,2026
1779698443.5168293,,101,,970.0,160.8368868,,,1.3205292224884033,2026
1779698444.6123815,,102,,980.0,161.9322408,,,1.3354052305221558,2026
1779698445.703294,,103,,990.0,163.0232183,,,1.3652739524841309,2026
1779698460.2652152,0.0009271396472013282,104,1.5285708904266357,1000.0,177.5854539,,1.2780455350875854,,2026
1779698460.379878,,105,,1000.0,177.6997116,,,1.3374253511428833,2026
1779698461.472229,,106,,1010.0,178.7923532,,,1.352761149406433,2026
1779698462.5571318,,107,,1020.0,179.8771021,,,1.350454330444336,2026
1779698463.654416,,108,,1030.0,180.9742509,,,1.2973644733428955,2026
1779698464.7520916,,109,,1040.0,182.0719268,,,1.3320958614349365,2026
1779698465.8489373,,110,,1050.0,183.1687736,,,1.3429356813430786,2026
1779698466.946968,,111,,1060.0,184.2668023,,,1.3307323455810547,2026
1779698468.0431652,,112,,1070.0,185.3632221,,,1.29936683177948,2026
1779698469.1400228,,113,,1080.0,186.4601342,,,1.33024001121521,2026
1779698470.3241582,,114,,1090.0,187.6441511,,,1.320960283279419,2026
1779698471.5273845,,115,,1100.0,188.8472209,,,1.3234131336212158,2026
1779698472.7334929,,116,,1110.0,190.0533507,,,1.3276855945587158,2026
1779698473.9393451,,117,,1120.0,191.2593926,,,1.2991269826889038,2026
1779698475.0831475,,118,,1130.0,192.40298,,,1.322797417640686,2026
1779698476.2133224,,119,,1140.0,193.533356,,,1.290974497795105,2026
1779698477.2986643,,120,,1150.0,194.6185232,,,1.321998119354248,2026
